"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@remix-run",4,37,190,254,4,88,"<createMemoryRouter> of module <react-router> imports <Router> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <DataStrategyFunction> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <createRouter> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <InitialEntry> from external namespace <@remix-run>",""
"@types",4,35,111,167,4,88,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<NavLink> of module <react-router-dom> imports <React.RefAttributes> from external namespace <@types>,<NavLink> of module <react-router-dom> imports <React.ForwardRefExoticComponent> from external namespace <@types>,<NavLink> of module <react-router-dom> imports <React.useContext> from external namespace <@types>",""
"@ungap",1,2,2,4,4,88,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
