"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: domains/git-history/queries/statistics/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.18.1","react-router-7.18.1","","","Matt Brophy","github-actions[bot]","Remix Run Bot",602,1181,4915,"2026-06-16","2026-06-29","2026-06-29",28,40,27,"fff84b5f20f35c347c9d6313dfc603db0eac6e19","react-router-7.18.1/typedoc.mjs",1,1,""
"react-router-7.18.1/.agents/skills",".agents/skills","react-router-7.18.1","react-router-7.18.1","Matt Brophy","Brooks Lybrand",,2,7,12,"2026-06-16","2026-06-16","2026-06-16",41,40,40,"fadd6c490cc84abc560a2413ee6fa0f2617d098d","react-router-7.18.1/.agents/skills/react-router/references/rsc.md",3,2,""
"react-router-7.18.1/.agents/skills/fix-bug","fix-bug","react-router-7.18.1/.agents/skills","skills","Matt Brophy","Brooks Lybrand",,2,1,8,"2026-03-18","2026-06-04","2026-06-04",53,130,52,"d6f3a05d4124ae9c1f2f74c599f80d091268ce0c","react-router-7.18.1/.agents/skills/fix-bug/SKILL.md",4,1,""
"react-router-7.18.1/.agents/skills/implement-rfc","implement-rfc","react-router-7.18.1/.agents/skills","skills","Matt Brophy",,,1,1,4,"2026-05-07","2026-06-04","2026-06-04",53,80,52,"fadd6c490cc84abc560a2413ee6fa0f2617d098d","react-router-7.18.1/.agents/skills/implement-rfc/SKILL.md",4,1,""
"react-router-7.18.1/.agents/skills/react-router","react-router","react-router-7.18.1/.agents/skills","skills","Brooks Lybrand",,,1,5,1,"2026-06-16","2026-06-16","2026-06-16",41,40,40,"8f364c820ef698952e4bed876d6c93c895357692","react-router-7.18.1/.agents/skills/react-router/references/rsc.md",4,1,""
"react-router-7.18.1/.agents/skills/react-router/references","references","react-router-7.18.1/.agents/skills/react-router","react-router","Brooks Lybrand",,,1,4,1,"2026-06-16","2026-06-16","2026-06-16",41,40,40,"8f364c820ef698952e4bed876d6c93c895357692","react-router-7.18.1/.agents/skills/react-router/references/rsc.md",5,1,""
"react-router-7.18.1/.github",".github","react-router-7.18.1","react-router-7.18.1","Matt Brophy","Michael Jackson","Michaël De Boey",22,19,221,"2026-05-26","2026-06-16","2026-06-16",41,61,40,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.18.1/.github/workflows/test.yml",2,1,""
"react-router-7.18.1/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","react-router-7.18.1/.github",".github","Matt Brophy","Pedro Cattori","Tim Dorr",13,3,51,"2023-01-11","2026-06-04","2026-06-04",53,1292,52,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.18.1/.github/ISSUE_TEMPLATE/documentation_isse.yml",3,1,""
"react-router-7.18.1/.github/workflows","workflows","react-router-7.18.1/.github",".github","Matt Brophy","dependabot[bot]","Michael Jackson",16,14,182,"2026-05-26","2026-06-16","2026-06-16",41,61,40,"ff4c0712f7b24d38f51f7b967d7c31aeac531bed","react-router-7.18.1/.github/workflows/test.yml",3,1,""
"react-router-7.18.1/decisions","decisions","react-router-7.18.1","react-router-7.18.1","Matt Brophy","Pedro Cattori","Michael Jackson",10,20,69,"2026-02-19","2026-06-04","2026-06-04",53,157,52,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.18.1/decisions/template.md",2,1,""
"react-router-7.18.1/docs","docs","react-router-7.18.1","react-router-7.18.1","Matt Brophy","Remix Run Bot","Ryan Florence",124,197,706,"2026-05-07","2026-06-22","2026-06-22",35,80,34,"ff6a4fea561d67b1e61002522096797afb9ff55e","react-router-7.18.1/docs/upgrading/v6.md",2,1,""
"react-router-7.18.1/docs/api","api","react-router-7.18.1/docs","docs","Matt Brophy","Remix Run Bot","Brooks Lybrand",23,109,201,"2026-05-07","2026-06-22","2026-06-22",35,80,34,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.18.1/docs/api/utils/resolvePath.md",3,1,""
"react-router-7.18.1/docs/api/components","components","react-router-7.18.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",6,11,49,"2025-03-14","2026-06-22","2026-06-22",35,500,34,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.18.1/docs/api/components/index.md",4,1,""
"react-router-7.18.1/docs/api/data-routers","data-routers","react-router-7.18.1/docs/api","api","Remix Run Bot","Matt Brophy","Ryan Florence",6,8,63,"2025-07-16","2026-06-08","2026-06-08",49,375,48,"f36a3b0862db885272911bf9f40a90187791bce1","react-router-7.18.1/docs/api/data-routers/index.md",4,1,""
"react-router-7.18.1/docs/api/declarative-routers","declarative-routers","react-router-7.18.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",4,7,33,"2025-07-15","2026-05-05","2026-05-05",83,376,82,"f450f1f62bced8626d597d4e049f51775bfae3cb","react-router-7.18.1/docs/api/declarative-routers/index.md",4,1,""
"react-router-7.18.1/docs/api/framework-conventions","framework-conventions","react-router-7.18.1/docs/api","api","Matt Brophy","Brooks Lybrand","Qz",8,8,37,"2025-06-26","2026-06-04","2026-06-04",53,395,52,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.18.1/docs/api/framework-conventions/server-modules.md",4,1,""
"react-router-7.18.1/docs/api/framework-routers","framework-routers","react-router-7.18.1/docs/api","api","Matt Brophy","Remix Run Bot","Dogxi",3,3,33,"2025-07-16","2026-06-08","2026-06-08",49,375,48,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.18.1/docs/api/framework-routers/index.md",4,1,""
"react-router-7.18.1/docs/api/hooks","hooks","react-router-7.18.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",11,32,104,"2026-05-07","2026-05-28","2026-05-28",60,80,59,"fd2fe65e06fa0e23cc93ef406d0df41064568f60","react-router-7.18.1/docs/api/hooks/useViewTransitionState.md",4,1,""
"react-router-7.18.1/docs/api/other-api","other-api","react-router-7.18.1/docs/api","api","Matt Brophy","Michaël De Boey","Mark Dalgleish",3,4,15,"2025-08-13","2026-06-15","2026-06-15",42,348,41,"fadd6c490cc84abc560a2413ee6fa0f2617d098d","react-router-7.18.1/docs/api/other-api/serve.md",4,1,""
"react-router-7.18.1/docs/api/rsc","rsc","react-router-7.18.1/docs/api","api","Matt Brophy","Remix Run Bot","Jacob Ebey",4,7,51,"2025-06-26","2026-04-09","2026-04-09",109,395,108,"fbf037a7bfe14dfb146cd534b804b62f4a0036d0","react-router-7.18.1/docs/api/rsc/routeRSCServerRequest.md",4,1,""
"react-router-7.18.1/docs/api/utils","utils","react-router-7.18.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",5,29,51,"2025-07-31","2026-06-22","2026-06-22",35,360,34,"fbf037a7bfe14dfb146cd534b804b62f4a0036d0","react-router-7.18.1/docs/api/utils/resolvePath.md",4,1,""
"react-router-7.18.1/docs/community","community","react-router-7.18.1/docs","docs","Matt Brophy","Ryan Florence","Chance Strickland",16,3,90,"2024-05-02","2026-06-16","2026-06-16",41,815,40,"fbe796a4c5f257d710b2f779235e0cbcaef25396","react-router-7.18.1/docs/community/index.md",3,1,""
"react-router-7.18.1/docs/explanation","explanation","react-router-7.18.1/docs","docs","Matt Brophy","Brooks Lybrand","Pedro Cattori",19,21,125,"2026-04-14","2026-06-04","2026-06-04",53,103,52,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.18.1/docs/explanation/type-safety.md",3,1,""
"react-router-7.18.1/docs/how-to","how-to","react-router-7.18.1/docs","docs","Matt Brophy","Ryan Florence","Brooks Lybrand",27,23,179,"2025-11-26","2026-06-16","2026-06-16",41,242,40,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.18.1/docs/how-to/webhook.md",3,1,""
"react-router-7.18.1/docs/start","start","react-router-7.18.1/docs","docs","Matt Brophy","Ryan Florence","Brooks Lybrand",57,28,246,"2025-04-28","2026-06-08","2026-06-08",49,454,48,"fde69511bbfddf5a04e00d8c8bb9a7702a32b9bf","react-router-7.18.1/docs/start/modes.md",3,1,""
"react-router-7.18.1/docs/start/data","data","react-router-7.18.1/docs/start","start","Matt Brophy","Ryan Florence","Pedro Cattori",16,10,65,"2025-04-28","2026-06-08","2026-06-08",49,454,48,"fd2fe65e06fa0e23cc93ef406d0df41064568f60","react-router-7.18.1/docs/start/data/testing.md",4,1,""
"react-router-7.18.1/docs/start/declarative","declarative","react-router-7.18.1/docs/start","start","Matt Brophy","Ryan Florence","Michael Jackson",8,5,29,"2025-03-15","2025-07-24","2025-07-24",368,499,367,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.18.1/docs/start/declarative/url-values.md",4,1,""
"react-router-7.18.1/docs/start/framework","framework","react-router-7.18.1/docs/start","start","Matt Brophy","Ryan Florence","Brooks Lybrand",41,11,198,"2024-11-13","2026-06-08","2026-06-08",49,620,48,"fde69511bbfddf5a04e00d8c8bb9a7702a32b9bf","react-router-7.18.1/docs/start/framework/testing.md",4,1,""
"react-router-7.18.1/docs/tutorials","tutorials","react-router-7.18.1/docs","docs","Matt Brophy","Brooks Lybrand","Ryan Florence",12,5,62,"2025-06-24","2026-06-04","2026-06-04",53,397,52,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.18.1/docs/tutorials/quickstart.md",3,1,""
"react-router-7.18.1/docs/upgrading","upgrading","react-router-7.18.1/docs","docs","Matt Brophy","Brooks Lybrand","Ryan Florence",21,5,112,"2024-11-14","2026-06-16","2026-06-16",41,619,40,"ff6a4fea561d67b1e61002522096797afb9ff55e","react-router-7.18.1/docs/upgrading/v6.md",3,1,""
"react-router-7.18.1/integration","integration","react-router-7.18.1","react-router-7.18.1","Matt Brophy","Mark Dalgleish","Pedro Cattori",63,184,957,"2026-06-04","2026-06-15","2026-06-15",42,52,41,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.18.1/integration/vite-unused-route-exports-test.ts",2,1,""
"react-router-7.18.1/integration/assets","assets","react-router-7.18.1/integration","integration","Matt Brophy","Chance Strickland","Kent C. Dodds",6,2,17,"2022-04-05","2022-05-17","2024-11-22",612,1573,1531,"f8b1a47883109f968702ff272a370070577ca2ed","react-router-7.18.1/integration/assets/touploadtoobig.txt",3,1,""
"react-router-7.18.1/integration/helpers","helpers","react-router-7.18.1/integration","integration","Matt Brophy","Mark Dalgleish","Pedro Cattori",24,91,329,"2026-03-23","2026-05-14","2026-05-14",74,126,73,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/vite.ts",3,1,""
"react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template","cloudflare-dev-proxy-template","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Mark Dalgleish","Jacob Ebey",10,9,69,"2025-02-24","2026-04-21","2026-04-21",97,517,96,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/app","app","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template","cloudflare-dev-proxy-template","Matt Brophy","Mark Dalgleish","Jacob Ebey",4,4,25,"2025-02-24","2025-07-24","2025-07-24",368,517,367,"f8b1a47883109f968702ff272a370070577ca2ed","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/app/routes","routes","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/app","app","Matt Brophy","Mark Dalgleish","Jacob Ebey",4,1,19,"2025-02-24","2025-02-24","2025-03-06",508,517,517,"f8b1a47883109f968702ff272a370070577ca2ed","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/app/routes/_index.tsx",6,1,""
"react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/public","public","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template","cloudflare-dev-proxy-template","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-02-24","2025-02-24","2025-03-06",508,517,517,"c838b33e3f6c41c263ee8522a336539db23d7ad5","react-router-7.18.1/integration/helpers/cloudflare-dev-proxy-template/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/rsc-vite","rsc-vite","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Jacob Ebey","Mark Dalgleish",7,15,47,"2025-08-25","2026-05-14","2026-05-14",74,335,73,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/rsc-vite/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/rsc-vite-framework","rsc-vite-framework","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Mark Dalgleish","Jacob Ebey",5,9,39,"2025-07-28","2026-04-21","2026-04-21",97,364,96,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/rsc-vite-framework/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/rsc-vite-framework/app","app","react-router-7.18.1/integration/helpers/rsc-vite-framework","rsc-vite-framework","Matt Brophy","Mark Dalgleish",,2,3,3,"2025-07-28","2025-07-28","2025-08-07",354,364,364,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.18.1/integration/helpers/rsc-vite-framework/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/rsc-vite-framework/app/routes","routes","react-router-7.18.1/integration/helpers/rsc-vite-framework/app","app","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-07-28","2025-07-28","2025-08-07",354,364,364,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.18.1/integration/helpers/rsc-vite-framework/app/routes/_index.tsx",6,1,""
"react-router-7.18.1/integration/helpers/rsc-vite-framework/public","public","react-router-7.18.1/integration/helpers/rsc-vite-framework","rsc-vite-framework","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-07-28","2025-07-28","2025-08-07",354,364,364,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.18.1/integration/helpers/rsc-vite-framework/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/rsc-vite/public","public","react-router-7.18.1/integration/helpers/rsc-vite","rsc-vite","Matt Brophy","Jacob Ebey",,2,1,4,"2025-06-26","2025-06-26","2025-07-16",376,395,395,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.18.1/integration/helpers/rsc-vite/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/rsc-vite/src","src","react-router-7.18.1/integration/helpers/rsc-vite","rsc-vite","Matt Brophy","Jacob Ebey","Mark Dalgleish",5,9,32,"2025-08-25","2026-05-14","2026-05-14",74,335,73,"fadd6c490cc84abc560a2413ee6fa0f2617d098d","react-router-7.18.1/integration/helpers/rsc-vite/src/routes/root.tsx",5,1,""
"react-router-7.18.1/integration/helpers/rsc-vite/src/config","config","react-router-7.18.1/integration/helpers/rsc-vite/src","src","Matt Brophy","Mark Dalgleish",,2,3,7,"2025-08-25","2025-08-25","2025-09-12",318,335,335,"c0a2a3bc92e569f9fa207973137fc799156c6acd","react-router-7.18.1/integration/helpers/rsc-vite/src/config/request-context.ts",6,1,""
"react-router-7.18.1/integration/helpers/rsc-vite/src/routes","routes","react-router-7.18.1/integration/helpers/rsc-vite/src","src","Matt Brophy","Jacob Ebey",,2,2,4,"2025-06-26","2025-06-26","2025-07-16",376,395,395,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.18.1/integration/helpers/rsc-vite/src/routes/root.tsx",6,1,""
"react-router-7.18.1/integration/helpers/vite-5-template","vite-5-template","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Mark Dalgleish","Pedro Cattori",8,9,81,"2024-12-17","2025-12-17","2025-12-17",222,587,221,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/vite-5-template/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/vite-5-template/app","app","react-router-7.18.1/integration/helpers/vite-5-template","vite-5-template","Matt Brophy","Mark Dalgleish","Pedro Cattori",6,3,30,"2024-12-17","2024-12-17","2024-12-20",584,587,587,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.18.1/integration/helpers/vite-5-template/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/vite-5-template/app/routes","routes","react-router-7.18.1/integration/helpers/vite-5-template/app","app","Matt Brophy","Mark Dalgleish","Pedro Cattori",6,1,21,"2024-12-17","2024-12-17","2024-12-20",584,587,587,"f8b1a47883109f968702ff272a370070577ca2ed","react-router-7.18.1/integration/helpers/vite-5-template/app/routes/_index.tsx",6,1,""
"react-router-7.18.1/integration/helpers/vite-5-template/public","public","react-router-7.18.1/integration/helpers/vite-5-template","vite-5-template","Matt Brophy","Mark Dalgleish",,2,1,3,"2024-12-17","2024-12-17","2024-12-20",584,587,587,"5115991bfaef708b91dd4793831a3b2b2825a618","react-router-7.18.1/integration/helpers/vite-5-template/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/vite-6-template","vite-6-template","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Mark Dalgleish","Pedro Cattori",7,9,46,"2024-12-17","2025-12-17","2025-12-17",222,587,221,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/vite-6-template/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/vite-6-template/app","app","react-router-7.18.1/integration/helpers/vite-6-template","vite-6-template","Matt Brophy","Mark Dalgleish",,2,3,3,"2024-12-17","2024-12-17","2024-12-20",584,587,587,"5115991bfaef708b91dd4793831a3b2b2825a618","react-router-7.18.1/integration/helpers/vite-6-template/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/vite-6-template/app/routes","routes","react-router-7.18.1/integration/helpers/vite-6-template/app","app","Matt Brophy","Mark Dalgleish",,2,1,3,"2024-12-17","2024-12-17","2024-12-20",584,587,587,"5115991bfaef708b91dd4793831a3b2b2825a618","react-router-7.18.1/integration/helpers/vite-6-template/app/routes/_index.tsx",6,1,""
"react-router-7.18.1/integration/helpers/vite-6-template/public","public","react-router-7.18.1/integration/helpers/vite-6-template","vite-6-template","Matt Brophy","Mark Dalgleish",,2,1,3,"2024-12-17","2024-12-17","2024-12-20",584,587,587,"5115991bfaef708b91dd4793831a3b2b2825a618","react-router-7.18.1/integration/helpers/vite-6-template/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/vite-7-beta-template","vite-7-beta-template","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Michaël De Boey","Mark Dalgleish",4,9,15,"2025-06-05","2025-12-17","2025-12-17",222,416,221,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/vite-7-beta-template/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/vite-7-beta-template/app","app","react-router-7.18.1/integration/helpers/vite-7-beta-template","vite-7-beta-template","Matt Brophy","Mark Dalgleish",,2,3,3,"2025-06-05","2025-06-05","2025-06-27",395,416,416,"d424be65a191065a6a47015f91164974ab715d62","react-router-7.18.1/integration/helpers/vite-7-beta-template/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/vite-7-beta-template/app/routes","routes","react-router-7.18.1/integration/helpers/vite-7-beta-template/app","app","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-06-05","2025-06-05","2025-06-27",395,416,416,"d424be65a191065a6a47015f91164974ab715d62","react-router-7.18.1/integration/helpers/vite-7-beta-template/app/routes/_index.tsx",6,1,""
"react-router-7.18.1/integration/helpers/vite-7-beta-template/public","public","react-router-7.18.1/integration/helpers/vite-7-beta-template","vite-7-beta-template","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-06-05","2025-06-05","2025-06-27",395,416,416,"d424be65a191065a6a47015f91164974ab715d62","react-router-7.18.1/integration/helpers/vite-7-beta-template/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/vite-8-template","vite-8-template","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Mark Dalgleish","Michaël De Boey",4,9,22,"2026-03-23","2026-03-23","2026-04-02",116,126,126,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/vite-8-template/vite.config.ts",4,1,""
"react-router-7.18.1/integration/helpers/vite-8-template/app","app","react-router-7.18.1/integration/helpers/vite-8-template","vite-8-template","Matt Brophy","Mark Dalgleish",,2,3,7,"2026-03-23","2026-03-23","2026-04-02",116,126,126,"c97fd4c1e43e880787986dd23352e045ff4de4c5","react-router-7.18.1/integration/helpers/vite-8-template/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/vite-8-template/app/routes","routes","react-router-7.18.1/integration/helpers/vite-8-template/app","app","Matt Brophy","Mark Dalgleish",,2,1,7,"2026-03-23","2026-03-23","2026-04-02",116,126,126,"c97fd4c1e43e880787986dd23352e045ff4de4c5","react-router-7.18.1/integration/helpers/vite-8-template/app/routes/_index.tsx",6,1,""
"react-router-7.18.1/integration/helpers/vite-8-template/public","public","react-router-7.18.1/integration/helpers/vite-8-template","vite-8-template","Matt Brophy","Mark Dalgleish",,2,1,7,"2026-03-23","2026-03-23","2026-04-02",116,126,126,"c97fd4c1e43e880787986dd23352e045ff4de4c5","react-router-7.18.1/integration/helpers/vite-8-template/public/favicon.ico",5,1,""
"react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template","vite-plugin-cloudflare-template","react-router-7.18.1/integration/helpers","helpers","Matt Brophy","Mark Dalgleish","Michael Jackson",9,14,55,"2025-02-24","2025-12-17","2025-12-17",222,517,221,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template/wrangler.toml",4,1,""
"react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template/app","app","react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template","vite-plugin-cloudflare-template","Matt Brophy","Mark Dalgleish","Michael Jackson",3,4,14,"2025-02-24","2025-07-24","2025-07-24",368,517,367,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template/app/routes/_index.tsx",5,1,""
"react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template/app/routes","routes","react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template/app","app","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-02-24","2025-02-24","2025-03-06",508,517,517,"c838b33e3f6c41c263ee8522a336539db23d7ad5","react-router-7.18.1/integration/helpers/vite-plugin-cloudflare-template/app/routes/_index.tsx",6,1,""
