"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.extension.springboot.actuator.axonserver","axonserver","axon-spring-boot-autoconfigure-5.0.2",24,5,2,3,""
"org.axonframework.update.detection","detection","axon-update-5.0.2",2,10,5,5,""
"org.axonframework.extension.springboot.util.jpa","jpa","axon-spring-boot-autoconfigure-5.0.2",1,2,1,1,""
"org.axonframework.test.server","server","axon-test-5.0.2",1,5,3,2,""
"org.axonframework.extension.springboot.service.connection","connection","axon-spring-boot-autoconfigure-5.0.2",1,11,5,6,""
"org.axonframework.common.digest","digest","axon-common-5.0.2",0,1,0,1,""
"org.axonframework.update.common","common","axon-update-5.0.2",0,2,1,1,""
"org.axonframework.common.io","io","axon-common-5.0.2",0,2,2,0,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir","axon-metrics-micrometer-5.0.2",0,2,2,0,""
"org.axonframework.extension.springboot.actuator","actuator","axon-spring-boot-autoconfigure-5.0.2",0,2,2,0,""
"org.axonframework.common.function","function","axon-common-5.0.2",0,6,6,0,""
"org.axonframework.conversion.converter","converter","axon-conversion-5.0.2",0,7,0,7,""
