"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.extension.springboot.actuator.axonserver","axonserver","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:4208","axon-spring-boot-autoconfigure-5.0.2",2,3,4,0.3333333333333333,0.1533388157894737,0.15341954022988508,8.072444041137827e-05,24,2,0.9595899417600555,0,0,9,12.723946718033403,5.232098760277343,0.2726002306874232,0,-0.10170024905177638,"","","",0,0,0,-0.152375265955925,6.535416603088379,""
"org.axonframework.extension.springboot.autoconfig","autoconfig","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:4209","axon-spring-boot-autoconfigure-5.0.2",46,658,4,0.16666666666666666,0.15000000000000002,0.15000000000000002,0,0,2,0.6009447345233929,0,0,9,12.723946718033403,5.232098760277343,0.4352886787444502,0,-0.044107960856076656,"","","",0,0,0,-0.30535560846328735,6.176429271697998,""
"org.axonframework.extension.springboot.util","util","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:4210","axon-spring-boot-autoconfigure-5.0.2",9,7,4,0,0.15095394736842108,0.15097701149425288,2.3064125831806503e-05,0,2,1,0,1,9,12.723946718033403,5.232098760277343,0,0,-0.07511063144689983,"","","",0,0,0,-0.6141184568405151,6.437448024749756,""
"org.axonframework.extension.springboot.util.jpa","jpa","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:4211","axon-spring-boot-autoconfigure-5.0.2",1,1,4,1,0.15095394736842108,0.15097701149425288,2.3064125831806503e-05,3,2,1,0,0,9,12.723946718033403,5.232098760277343,0,0,-0.08030798168091957,"","","",0,0,0,-0.3321985900402069,6.719923496246338,""
"org.axonframework.messaging.monitoring","monitoring","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7251","axon-messaging-5.0.2",57,22,5,0.509090909090909,0.26730775705618737,0.2817990462337963,0.014491289177608946,58,-1,0,1,0,20,0,0,0,0,-0.041393089537549,"","","",0,0,0,1.8503509759902954,9.193746566772461,""
"org.axonframework.messaging.monitoring.interception","interception","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7252","axon-messaging-5.0.2",5,500,5,0.7142857142857143,0.1653103810836963,0.16614376144060142,0.0008333803569051113,0,-1,0,1,0,20,0,0,0,0,-0.05294011493612516,"","","",0,0,0,1.1267898082733154,8.91647720336914,""
"org.axonframework.messaging.monitoring.configuration","configuration","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7253","axon-messaging-5.0.2",17,377,5,0.6666666666666666,0.15969182046228986,0.1603108711836933,0.0006190507214034469,3.5,-1,0,1,0,20,0,0,0,0,-0.06628490206969051,"","","",0,0,0,1.504141926765442,8.70971965789795,""
"org.axonframework.messaging.commandhandling","commandhandling","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7254","axon-messaging-5.0.2",1463,297,1,0.27816091954022987,0.5560361209408251,0.6379943174063443,0.08195819646551916,20,7,0.653225842577688,0,0,40,12.392331922310404,6.2557070662489425,0.7430733465398084,0,-0.02098006376457906,"","","",0,0,0,0.3178621232509613,12.199444770812988,""
"org.axonframework.messaging.commandhandling.distributed","distributed","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7255","axon-messaging-5.0.2",31,322,2,0.5757575757575758,0.1641747061085941,0.16696795600313288,0.002793249894538774,17,3,1,0,1,4,6.735372232971713,4.568205313640647,0,0,-0.0799714535761667,"","","",0,0,0,0.031669165939092636,9.480907440185547,""
"org.axonframework.messaging.commandhandling.annotation","annotation","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7256","axon-messaging-5.0.2",16,438,1,0.575,0.16719287923598347,0.17089926650098117,0.003706387264997696,313.9920634920635,7,1,0,0,40,12.392331922310404,6.2557070662489425,0.33208493396185496,0,-0.09714512049445573,"","","",0,0,0,1.6942776441574097,11.8928804397583,""
"org.axonframework.messaging.commandhandling.interception","interception","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7257","axon-messaging-5.0.2",5,436,1,0.6,0.15153103810836965,0.15161437614406015,8.333803569049447e-05,0,7,1,0,0,40,12.392331922310404,6.2557070662489425,0.3338339307002034,0,-0.10341953856248642,"","","",0,0,0,0.6356934905052185,11.958399772644043,""
"org.axonframework.messaging.commandhandling.gateway","gateway","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7258","axon-messaging-5.0.2",20,191,1,0.6944444444444444,0.15597075885566702,0.15645701155377936,0.0004862526981123383,0.8333333333333333,7,1,0,0,40,12.392331922310404,6.2557070662489425,0.4052826367283499,0,-0.10973312098243593,"","","",0,0,0,0.5501250624656677,11.649544715881348,""
"org.axonframework.messaging.commandhandling.retry","retry","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7259","axon-messaging-5.0.2",0,168,1,0.8,0.15000000000000002,0.15000000000000002,0,0,7,1,0,0,40,12.392331922310404,6.2557070662489425,0.29608801065203944,0,-0.10849124171591135,"","","",0,0,0,0.5399335622787476,12.000333786010742,""
"org.axonframework.messaging.commandhandling.tracing","tracing","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7260","axon-messaging-5.0.2",7,156,1,0.7333333333333333,0.15000000000000002,0.15000000000000002,0,0,7,1,0,0,40,12.392331922310404,6.2557070662489425,0.4135199647038086,0,-0.10104652205320386,"","","",0,0,0,0.987838625907898,11.947422981262207,""
"org.axonframework.messaging.commandhandling.configuration","configuration","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7261","axon-messaging-5.0.2",11,271,1,0.7111111111111111,0.15000000000000002,0.15000000000000002,0,26.915873015873014,7,0.7333185848349657,0,0,40,12.392331922310404,6.2557070662489425,0.6205741004406976,0,-0.08399517453378247,"","","",0,0,0,0.776534914970398,9.498567581176758,""
"org.axonframework.messaging.eventhandling","eventhandling","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7262","axon-messaging-5.0.2",3202,471,0,0.26707317073170733,0.5966591131791964,0.7476401154805268,0.15098100230133038,71.33333333333334,8,0.9081427957348073,0,0,11,8.597197653725743,4.951410905235786,0.6924254397710633,0,-0.0038854508790787667,"","","",0,0,0,3.7763099670410156,10.874085426330566,""
"org.axonframework.messaging.eventhandling.annotation","annotation","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7263","axon-messaging-5.0.2",21,478,1,0.5523809523809524,0.1639439607147913,0.1681235336665953,0.004179572951803989,326.91269841269826,7,1,0,0,40,12.392331922310404,6.2557070662489425,0.3247043779642616,0,-0.0647198026326114,"","","",0,0,0,2.334916830062866,11.740518569946289,""
"org.axonframework.messaging.eventhandling.replay","replay","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7264","axon-messaging-5.0.2",5,29,1,0.6,0.18009677768024798,0.18785552889449714,0.007758751214249154,0,7,0.7430286838414926,0,0,40,12.392331922310404,6.2557070662489425,0.6881023716195928,0,-0.09202176972415765,"","","",0,0,0,2.6134209632873535,10.653724670410156,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7265","axon-messaging-5.0.2",6,114,1,0.5238095238095238,0.15000000000000002,0.15000000000000002,0,0,7,0.8027254129222944,0,0,40,12.392331922310404,6.2557070662489425,0.8048966851530162,0,-0.064862092689424,"","","",0,0,0,2.9996728897094727,11.235645294189453,""
"org.axonframework.messaging.eventhandling.interception","interception","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7266","axon-messaging-5.0.2",4,218,0,0.8095238095238095,0.15355659287606446,0.15380402994710524,0.0002474370710407736,5,8,1,0,0,11,8.597197653725743,4.951410905235786,0.4214976690838332,0,-0.08818750186639202,"","","",0,0,0,3.6729609966278076,10.630836486816406,""
"org.axonframework.messaging.eventhandling.gateway","gateway","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7267","axon-messaging-5.0.2",9,102,0,0.75,0.1531270956644175,0.15337863415280725,0.0002515384883897409,2.4,7,0.9525781826059462,0,0,40,12.392331922310404,6.2557070662489425,0.3627674953150221,0,-0.12452388497889139,"","","",0,0,0,2.1207492351531982,10.855207443237305,""
"org.axonframework.messaging.eventhandling.sequencing","sequencing","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7268","axon-messaging-5.0.2",18,78,0,0.6666666666666666,0.1960036856427882,0.2101316220455999,0.014127936402811708,129.83333333333331,8,1,0,0,11,8.597197653725743,4.951410905235786,0.34930237074296805,0,-0.0911551964116773,"","","",0,0,0,4.015830039978027,10.601363182067871,""
"org.axonframework.messaging.eventhandling.conversion","conversion","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7269","axon-messaging-5.0.2",19,35,4,0.4,0.16765614724200104,0.16900224231807404,0.0013460950760730006,101.07619047619049,2,0.4216725659722585,0,0,9,12.723946718033403,5.232098760277343,0.7578179857716433,0,-0.06858585566064074,"","","",0,0,0,0.5862430334091187,7.590569019317627,""
"org.axonframework.messaging.eventhandling.processing","processing","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7270","axon-messaging-5.0.2",12,62,6,0.6410256410256411,0.19595529908928397,0.2404783075818605,0.04452300849257654,35.5,5,0.8678174543621208,0,0,11,8.890884567983449,5.404564627128738,0.8759961261005195,0,-0.08585566583865384,"","","",0,0,0,5.043173313140869,9.868515968322754,""
"org.axonframework.messaging.eventhandling.processing.streaming","streaming","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7271","axon-messaging-5.0.2",4,16,7,0.7333333333333333,0.15309527567182274,0.15325152671183798,0.00015625104001523726,31.666666666666668,8,0.6974939832679238,0,0,11,8.597197653725743,4.951410905235786,1,0,-0.07526233840024005,"","","",0,0,0,-6.638050079345703,3.032378911972046,""
"org.axonframework.messaging.eventhandling.processing.streaming.token","token","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7272","axon-messaging-5.0.2",425,16,7,0.35294117647058826,0.4781901013680157,0.6238187135036674,0.14562861213565165,130.79999999999998,5,0.7801777946372966,0,0,11,8.890884567983449,5.404564627128738,0.8819482053203662,0,-0.026154991936434224,"","","",0,0,0,5.087843418121338,9.378351211547852,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7273","axon-messaging-5.0.2",1,30,7,0.6666666666666666,0.15000000000000002,0.15000000000000002,0,0,8,0.7895649993857836,0,0,11,8.597197653725743,4.951410905235786,0.5713846583634128,0,-0.08445009808418802,"","","",0,0,0,3.8125128746032715,10.988283157348633,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store","store","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7274","axon-messaging-5.0.2",28,10,6,0.6222222222222222,0.24929375481198063,0.25828326676521574,0.008989511953235108,12.166666666666666,5,0.8358043229290356,0,0,11,8.890884567983449,5.404564627128738,0.5409029385152003,0,-0.07843372916940844,"","","",0,0,0,5.720846176147461,9.091212272644043,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:7275","axon-messaging-5.0.2",3,31,6,0.9333333333333333,0.1506513851887804,0.15066802889449712,1.6643705716717916e-05,0,5,1,0,0,11,8.890884567983449,5.404564627128738,0.38977524448377443,0,-0.10062624044228208,"","","",0,0,0,5.825799942016602,9.540824890136719,""
