"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"react-router-7.18.3/dev","dev","centralityPageRank",0.16786931818181822,""
"react-router-7.18.3/route","route","centralityPageRank",0.16676294695642094,""
"react-router-7.18.3/url","url","centralityPageRank",0.16442302945182324,""
"react-router-7.18.3/format","format","centralityPageRank",0.16429545454545455,""
"react-router-7.18.3/useJavascript","useJavascript","centralityPageRank",0.16429545454545455,""
"react-router-7.18.3/has-dependency","has-dependency","centralityPageRank",0.163470266098476,""
"react-router-7.18.3/urls","urls","centralityPageRank",0.16192536281262745,""
"react-router-7.18.3/warnings","warnings","centralityPageRank",0.1607007452817309,""
"react-router-7.18.3/errors","errors","centralityPageRank",0.16054005020113363,""
"react-router-7.18.3/normalizeSlashes","normalizeSlashes","centralityPageRank",0.15944444444444447,""
"react-router-7.18.3/params","params","centralityPageRank",0.15838147347821047,""
"react-router-7.18.3/virtual-route-modules","virtual-route-modules","centralityPageRank",0.15809523809523812,""
"react-router-7.18.3/combine-urls","combine-urls","centralityPageRank",0.15796445373371312,""
"react-router-7.18.3/styles","styles","centralityPageRank",0.15663704477809426,""
"react-router-7.18.3/headers","headers","centralityPageRank",0.15626143392726216,""
"react-router-7.18.3/actions","actions","centralityPageRank",0.15586420546011406,""
"react-router-7.18.3/load-dotenv","load-dotenv","centralityPageRank",0.1553750280032379,""
"react-router-7.18.3/optimize-deps-entries","optimize-deps-entries","centralityPageRank",0.1553750280032379,""
"react-router-7.18.3/validate-plugin-order","validate-plugin-order","centralityPageRank",0.1553750280032379,""
"react-router-7.18.3/warn-on-client-source-maps","warn-on-client-source-maps","centralityPageRank",0.1553750280032379,""
"react-router-7.18.3/prompt","prompt","centralityPageRank",0.15531250000000002,""
"react-router-7.18.3/routeMatching","routeMatching","centralityPageRank",0.15422689061379827,""
"react-router-7.18.3/virtual-route-config","virtual-route-config","centralityPageRank",0.15404761904761907,""
"react-router-7.18.3/flatten","flatten","centralityPageRank",0.1522796749295563,""
"react-router-7.18.3/unflatten","unflatten","centralityPageRank",0.1522796749295563,""
"react-router-7.18.3/errors","errors","centralityPageRank",0.15217644486344029,""
"react-router-7.18.3/copy-template","copy-template","centralityPageRank",0.152125,""
"react-router-7.18.3/navigation","navigation","centralityPageRank",0.1516605984680507,""
"react-router-7.18.3/single-fetch","single-fetch","centralityPageRank",0.15137866324679447,""
"react-router-7.18.3/with-props","with-props","centralityPageRank",0.15132740895561886,""
"react-router-7.18.3/loading-indicator","loading-indicator","centralityPageRank",0.15106250000000002,""
"react-router-7.18.3/manifest","manifest","centralityPageRank",0.15099555671671414,""
"react-router-7.18.3/turbo-stream","turbo-stream","centralityPageRank",0.1503972284671481,""
"react-router-7.18.3/serverHandoff","serverHandoff","centralityPageRank",0.15039390378479844,""
"react-router-7.18.3/entry","entry","centralityPageRank",0.1501969518923993,""
"react-router-7.18.3/future","future","centralityPageRank",0.15009090087341503,""
"react-router-7.18.3/cli","cli","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/cloudflare-dev-proxy","cloudflare-dev-proxy","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/create-react-router","create-react-router","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/defineRoutes","defineRoutes","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/fileStorage","fileStorage","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/links","links","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/plugin","plugin","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/react-router-fs-routes","react-router-fs-routes","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/route-module-annotations","route-module-annotations","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/run","run","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/serializes-to","serializes-to","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/server","server","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/stream","stream","centralityPageRank",0.15000000000000002,""
"react-router-7.18.3/tsup","tsup","centralityPageRank",0.15000000000000002,""
