"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-6.28.1","react-router",7,0,0,17,""
"react-router-6.28.1","react-router-dom",62,0,0,154,""
"react-router-6.28.1","server",6,0,0,38,""
"react-router-6.28.1","react-router-native",17,0,0,24,""
