"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.16.0","copy-template",2,0,2,33,""
"react-router-7.16.0","create-react-router",2,0,0,28,""
"react-router-7.16.0","loading-indicator",1,0,1,12,""
"react-router-7.16.0","prompt",1,0,1,2,""
"react-router-7.16.0","prompts-confirm",3,0,1,5,""
"react-router-7.16.0","prompts-multi-select",2,0,1,5,""
"react-router-7.16.0","prompts-prompt-base",2,0,8,14,""
"react-router-7.16.0","prompts-select",3,0,3,6,""
"react-router-7.16.0","prompts-text",2,0,1,8,""
"react-router-7.16.0","utils",28,0,36,28,""
"react-router-7.16.0","binaryTypes",1,0,1,0,""
"react-router-7.16.0","react-router-architect",4,0,3,0,""
"react-router-7.16.0","server",6,0,3,22,""
"react-router-7.16.0","arcTableSessionStorage",1,0,1,6,""
"react-router-7.16.0","react-router-express",3,0,3,0,""
"react-router-7.16.0","server",6,0,3,20,""
"react-router-7.16.0","react-router-node",7,0,2,0,""
"react-router-7.16.0","server",2,0,2,3,""
"react-router-7.16.0","stream",4,0,4,15,""
"react-router-7.16.0","fileStorage",2,0,1,9,""
"react-router-7.16.0","config",4,0,5,0,""
"react-router-7.16.0","invariant",1,0,0,0,""
"react-router-7.16.0","manifest",2,0,2,0,""
"react-router-7.16.0","routes",8,0,9,0,""
"react-router-7.16.0","vite",2,0,0,0,""
"react-router-7.16.0","commands",5,0,5,16,""
"react-router-7.16.0","detectPackageManager",1,0,1,1,""
"react-router-7.16.0","run",1,0,0,9,""
"react-router-7.16.0","useJavascript",1,0,1,6,""
"react-router-7.16.0","config",14,0,17,40,""
"react-router-7.16.0","format",4,0,1,0,""
"react-router-7.16.0","is-react-router-repo",1,0,2,5,""
"react-router-7.16.0","routes",15,0,25,28,""
"react-router-7.16.0","context",2,0,3,0,""
"react-router-7.16.0","generate",5,0,5,24,""
"react-router-7.16.0","typegen",3,0,5,10,""
"react-router-7.16.0","params",1,0,1,0,""
"react-router-7.16.0","route",2,0,2,0,""
"react-router-7.16.0","babel",2,0,8,1,""
"react-router-7.16.0","build",2,0,1,8,""
"react-router-7.16.0","cache",2,0,4,0,""
"react-router-7.16.0","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.16.0","cloudflare",1,0,0,0,""
"react-router-7.16.0","combine-urls",1,0,1,0,""
"react-router-7.16.0","dev",2,0,1,11,""
"react-router-7.16.0","has-dependency",1,0,2,1,""
"react-router-7.16.0","has-rsc-plugin",1,0,2,3,""
"react-router-7.16.0","load-dotenv",1,0,2,4,""
"react-router-7.16.0","node-adapter",2,0,2,5,""
"react-router-7.16.0","optimize-deps-entries",1,0,2,3,""
