"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"create-react-router","create-react-router","react-router-7.16.0",false,false,false,1,348,88,116,21,9,9,"./index.ts -> ./copy-template.ts,./index.ts -> ./loading-indicator.ts,./index.ts -> ./prompt.ts,./prompt.ts -> ./prompts-confirm.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.16.0",false,false,false,2,983,61,98,5,2,5,"./index.ts -> ./prompts-confirm.ts,./index.ts -> ./prompts-multi-select.ts,./prompt.ts -> ./prompts-prompt-base.ts,./index.ts -> ./prompts-select.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.16.0",false,false,false,3,537,50,77,1,1,1,"./index.ts -> ./prompts-prompt-base.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"react-router","react-router","react-router-7.16.0",false,false,false,1,348,88,116,210,41,50,"./index-react-server.ts -> ./dom-export.ts,./index.ts -> ./dom-export.ts,./lib/rsc/server.rsc.ts -> ./dom-export.ts,./index.ts -> ./index-react-server-client.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.16.0",false,false,false,2,983,61,98,849,36,50,"./index-react-server-client.ts -> ./dom-export.ts,./lib/context.ts -> ./dom-export.ts,./lib/errors.ts -> ./dom-export.ts,./lib/dom/dom.ts -> ./dom-export.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.16.0",false,false,false,3,537,50,77,477,36,45,"./lib/server-runtime/serverHandoff.ts -> ./dom-export.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server-client.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server.ts,./index-react-server-client.ts -> ./lib/actions.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.16.0",false,false,false,4,146,43,44,115,36,20,"./lib/server-runtime/serverHandoff.ts -> ./lib/actions.ts,./lib/server-runtime/serverHandoff.ts -> ./lib/errors.ts,./dom-export.ts -> ./lib/dom/ssr/markup.ts,./index-react-server-client.ts -> ./lib/dom/ssr/markup.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.16.0",false,false,false,5,120,36,6,119,35,5,"./dom-export.ts -> ./lib/types/utils.ts,./index-react-server-client.ts -> ./lib/types/utils.ts,./index-react-server.ts -> ./lib/types/utils.ts,./lib/context.ts -> ./lib/types/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.16.0",false,false,false,6,3,1,3,3,1,3,"./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/flatten.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/unflatten.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router-architect","react-router-architect","react-router-7.16.0",false,false,false,1,348,88,116,4,2,4,"./server.ts -> ./binaryTypes.ts,./server.ts -> ./index.ts,./index.ts -> ./server.ts,./index.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
"react-router-architect","react-router-architect","react-router-7.16.0",false,false,false,2,983,61,98,2,2,2,"./index.ts -> ./binaryTypes.ts,./server.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
"react-router-dev","react-router-dev","react-router-7.16.0",false,false,false,1,348,88,116,100,29,42,"./vite/rsc/virtual-route-config.ts -> ./routes.ts,./vite/rsc/virtual-route-config.ts -> ./config/routes.ts,./vite/rsc/virtual-route-modules.ts -> ./vite/babel.ts,./vite/rsc/virtual-route-modules.ts -> ./vite/cache.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.16.0",false,false,false,2,983,61,98,125,20,39,"./cli/commands.ts -> ./config.ts,./typegen/context.ts -> ./config.ts,./typegen/generate.ts -> ./config.ts,./vite/build.ts -> ./config.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.16.0",false,false,false,3,537,50,77,59,13,31,"./cli/run.ts -> ./config.ts,./typegen/index.ts -> ./config.ts,./cli/commands.ts -> ./manifest.ts,./config.ts -> ./routes.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.16.0",false,false,false,4,146,43,44,31,7,24,"./cli/run.ts -> ./manifest.ts,./cli/run.ts -> ./routes.ts,./config.ts -> ./config/is-react-router-repo.ts,./typegen/context.ts -> ./config/is-react-router-repo.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.16.0",false,false,false,5,120,36,6,1,1,1,"./typegen/index.ts -> ./config/is-react-router-repo.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-express","react-router-express","react-router-7.16.0",false,false,false,1,348,88,116,2,2,2,"./server.ts -> ./index.ts,./index.ts -> ./server.ts","react-router-express -> react-router-express","react-router-express -> react-router-express",""
"react-router-fs-routes","react-router-fs-routes","react-router-7.16.0",false,false,false,1,348,88,116,5,2,3,"./index.ts -> ./flatRoutes.ts,./flatRoutes.ts -> ./manifest.ts,./index.ts -> ./manifest.ts,./flatRoutes.ts -> ./normalizeSlashes.ts","react-router-fs-routes -> react-router-fs-routes","react-router-fs-routes -> react-router-fs-routes",""
"react-router-node","react-router-node","react-router-7.16.0",false,false,false,1,348,88,116,4,2,4,"./server.ts -> ./index.ts,./index.ts -> ./server.ts,./index.ts -> ./stream.ts,./index.ts -> ./sessions/fileStorage.ts","react-router-node -> react-router-node","react-router-node -> react-router-node",""
"react-router-node","react-router-node","react-router-7.16.0",false,false,false,2,983,61,98,2,1,2,"./server.ts -> ./stream.ts,./server.ts -> ./sessions/fileStorage.ts","react-router-node -> react-router-node","react-router-node -> react-router-node",""
"react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter","react-router-7.16.0",false,false,false,1,348,88,116,2,1,2,"./defineRoutes.ts -> ./manifest.ts,./defineRoutes.ts -> ./normalizeSlashes.ts","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter",""
