"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"react-router-architect","server","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/server.ts",1,1,1,""
"react-router-dev","context","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/typegen/context.ts",1,0.971003315877958,2,""
"react-router-dev","profiler","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/profiler.ts",1,0.9695080484173875,3,""
"react-router-architect","arcTableSessionStorage","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/sessions/arcTableSessionStorage.ts",0.9999996473505136,1,4,""
"react-router-architect","react-router-architect","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/index.ts",0.968319632037304,1,5,""
"react-router-architect","binaryTypes","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/binaryTypes.ts",0.968319522283208,1,6,""
"react-router-node","react-router-node","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/index.ts",0.9663629241911041,1,7,""
"react-router-dev","useJavascript","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/cli/useJavascript.ts",0.9510148881470856,0.9695080484173875,8,""
"react-router-dev","run","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/cli/run.ts",0.9510148875454713,0.9695080484173875,9,""
"react-router-node","fileStorage","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/sessions/fileStorage.ts",0.9319410251456638,1,10,""
