"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.test.extension.ProvidedAxonTestFixture","ProvidedAxonTestFixture","axon-test-5.1.2",221.00000000000003,2,1,1,""
"org.axonframework.messaging.core.MessageTypeNotResolvedException","MessageTypeNotResolvedException","axon-messaging-5.1.2",72.83333333333333,2,1,1,""
"org.axonframework.common.ProcessUtils","ProcessUtils","axon-common-5.1.2",20,2,1,1,""
"io.axoniq.framework.axonserver.connector.api.command.AxonServerCommandDispatchException","AxonServerCommandDispatchException","axon-server-connector-5.1.2",18,2,1,1,""
"org.axonframework.messaging.eventhandling.NoHandlerForEventException","NoHandlerForEventException","axon-messaging-5.1.2",10,2,1,1,""
"org.axonframework.test.matchers.ExactClassMatcher","ExactClassMatcher","axon-test-5.1.2",9.666666666666666,2,1,1,""
"org.axonframework.common.lock.DeadlockException","DeadlockException","axon-common-5.1.2",9,2,1,1,""
"org.axonframework.test.matchers.MatcherExecutionException","MatcherExecutionException","axon-test-5.1.2",6,2,1,1,""
"org.axonframework.common.configuration.AmbiguousComponentMatchException","AmbiguousComponentMatchException","axon-common-5.1.2",6,2,1,1,""
"org.axonframework.test.matchers.SequenceMatcher","SequenceMatcher","axon-test-5.1.2",4,2,1,1,""
"org.axonframework.common.lifecycle.ShutdownInProgressException","ShutdownInProgressException","axon-common-5.1.2",4,2,1,1,""
"org.axonframework.test.matchers.ExactSequenceMatcher","ExactSequenceMatcher","axon-test-5.1.2",4,2,1,1,""
"org.axonframework.test.matchers.ListWithAnyOfMatcher","ListWithAnyOfMatcher","axon-test-5.1.2",4,2,1,1,""
"org.axonframework.test.matchers.ListWithAllOfMatcher","ListWithAllOfMatcher","axon-test-5.1.2",4,2,1,1,""
"org.axonframework.eventsourcing.eventstore.EventStoreException","EventStoreException","axon-eventsourcing-5.1.2",3.8333333333333335,2,1,1,""
"org.axonframework.common.configuration.DuplicateModuleRegistrationException","DuplicateModuleRegistrationException","axon-common-5.1.2",3,2,1,1,""
"org.axonframework.common.ProcessRetriesExhaustedException","ProcessRetriesExhaustedException","axon-common-5.1.2",3,2,1,1,""
"org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException","WrongPolymorphicEntityTypeException","axon-modelling-5.1.2",2.166666666666666,2,1,1,""
"org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties","MetricsProperties","axon-metrics-micrometer-5.1.2",2,2,1,1,""
"org.axonframework.messaging.core.annotation.MessageHandlerInvocationException","MessageHandlerInvocationException","axon-messaging-5.1.2",2,2,1,1,""
