"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionOverReferencesUtilities.cypher"
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.1.2",0,23.05091489516343,2,1,1,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.1.2",0,23.05091489516343,2,1,1,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.1.2",0,7.113354909789307,2,1,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.2",0,7.015883661299967,16,15,1,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.1.2",0,5.47843145871094,2,1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema$Builder","TokenSchema$Builder","axon-messaging-5.1.2",0,2.829387618250574,2,1,1,""
"org.axonframework.common.AxonTransientException","AxonTransientException","axon-common-5.1.2",0,1.3152568688593484,9,8,1,""
"org.axonframework.common.ExceptionUtils","ExceptionUtils","axon-common-5.1.2",0,1.2778249858191941,5,4,1,""
"org.axonframework.messaging.core.retry.DoNotRetryOutcome","DoNotRetryOutcome","axon-messaging-5.1.2",0,1.2149393386719465,2,1,1,""
"org.axonframework.messaging.core.retry.RetryOutcome","RetryOutcome","axon-messaging-5.1.2",0,1.2149393386719465,2,1,1,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","axon-common-5.1.2",0,1.1003411082358174,4,3,1,""
"org.axonframework.common.DefaultIdentifierFactory","DefaultIdentifierFactory","axon-common-5.1.2",0,1.0852406768516136,2,1,1,""
"org.axonframework.messaging.core.annotation.HasHandlerAttributes","HasHandlerAttributes","axon-messaging-5.1.2",0,0.9249302974643571,6,6,0,""
"org.axonframework.test.matchers.ListMatcher","ListMatcher","axon-test-5.1.2",0,0.69024176832026,4,4,0,""
