"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",451117,27.09284489975845,""
"MODIFIES",451117,27.09284489975845,""
"UPDATES",264852,15.906281867876459,""
"CREATES",124949,7.50409290135357,""
"DELETES",86136,5.173090990331984,""
"COMMITTED",32780,1.9686765424802921,""
"RENAMES",24820,1.4906208598035648,""
"INVOKES",22756,1.3666627028883933,""
"HAS_PARENT",19906,1.1954995501712231,""
"OF_TYPE",19011,1.141748314493375,""
"DEPENDS_ON",18178,1.0917206281027076,""
"HAS_FILE",16609,0.9974908082384129,""
"HAS_COMMIT",16390,0.9843382712401461,""
"DECLARES",14589,0.8761751701722081,""
"OF_RAW_TYPE",13531,0.8126346033038693,""
"HAS",10124,0.6080195642486418,""
"HAS_NEW_NAME",9599,0.5764895098007421,""
"RETURNS",8301,0.49853520375622046,""
"READS",6113,0.3671299482666878,""
"HAS_ACTUAL_TYPE_ARGUMENT",5936,0.35649981562425304,""
"ANNOTATED_BY",5561,0.3339783481614675,""
"CHANGED_TOGETHER_WITH",4683,0.28124808567526566,""
"OF_GENERIC_TYPE",4539,0.272599842169556,""
"CONTAINS",3309,0.1987294288916195,""
"RESOLVES_TO",2698,0.16203445123892093,""
"RETURNS_GENERIC",2679,0.1608933635541398,""
"HAS_FIRST_CHILD",2512,0.1508638033773793,""
"HAS_LAST_CHILD",2512,0.1508638033773793,""
"HAS_ELEMENT",2490,0.1495425439528959,""
"WRITES",2191,0.1315854272292349,""
"REQUIRES",1748,0.10498006699986427,""
"HAS_TEXT",1692,0.10161686119208829,""
"HAS_SIBLING",1670,0.10029560176760487,""
"EXTENDS",1297,0.07789424879795422,""
"HAS_UPPER_BOUND",1038,0.06233942193699034,""
"DECLARES_TYPE_PARAMETER",842,0.05056820160977444,""
"IMPLEMENTS",839,0.050388029870072154,""
"THROWS",658,0.039517668241367675,""
"COPIES",546,0.03279125662581572,""
"HAS_KEY",523,0.031409939954764876,""
"HAS_VALUE",523,0.031409939954764876,""
"CATCHES",415,0.02492375732548265,""
"EXTENDS_GENERIC",404,0.02426312761324094,""
"HAS_AUTHOR",307,0.01843757469620042,""
"HAS_LOWER_BOUND",306,0.01837751744963299,""
"IMPLEMENTS_GENERIC",296,0.01777694498395871,""
"HAS_COMMITTER",248,0.014894197148722163,""
"IS",240,0.014413739176182737,""
"COPY_OF",206,0.012371792792890182,""
"DECLARES_DEPENDENCY",205,0.012311735546322755,""
"TO_ARTIFACT",205,0.012311735546322755,""
"HAS_TAG",147,0.008828415245411928,""
"ON_COMMIT",147,0.008828415245411928,""
"CONTAINS_VALUE",126,0.0075672130674959365,""
"HAS_COMPONENT_TYPE",109,0.006546239875849661,""
"HAS_DEFAULT",54,0.003243091314641116,""
"DECLARES_NAMESPACE",44,0.002642518848966835,""
"REQUIRES_CONCEPT",28,0.001681602903887986,""
"REQUIRES_TYPE_PARAMETER",26,0.0015614884107531298,""
"HAS_ATTRIBUTE",22,0.0013212594244834176,""
"OF_NAMESPACE",22,0.0013212594244834176,""
"HAS_CONFIGURATION",20,0.0012011449313485613,""
"IS_ARTIFACT",20,0.0012011449313485613,""
"USES_PLUGIN",20,0.0012011449313485613,""
"INCLUDES_CONCEPT",19,0.0011410876847811333,""
"HAS_ROOT_ELEMENT",15,0.0009008586985114211,""
"HAS_EXECUTION",13,0.0007807442053765649,""
"HAS_GOAL",13,0.0007807442053765649,""
"DESCRIBES",11,0.0006606297122417088,""
"HAS_SCM",11,0.0006606297122417088,""
"EXCLUDES",6,0.0003603434794045684,""
"THROWS_GENERIC",5,0.00030028623283714033,""
"HAS_HEAD",2,0.00012011449313485616,""
"HAS_BRANCH",1,6.005724656742808e-05,""
"HAS_PROPERTY",1,6.005724656742808e-05,""
