"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-test-5.0.3",6,""
"axon-common-5.0.3",15,""
"axon-tracing-opentelemetry-5.0.3",1,""
"axon-eventsourcing-5.0.3",7,""
"axon-conversion-5.0.3",5,""
"axon-messaging-5.0.3",59,""
"axon-update-5.0.3",5,""
"axon-metrics-micrometer-5.0.3",3,""
"axon-server-connector-5.0.3",5,""
"axon-modelling-5.0.3",7,""
"axon-spring-boot-autoconfigure-5.0.3",7,""
