"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-5.0.3",579,"Interface",140,""
"axon-messaging-5.0.3",579,"Class",379,""
"axon-messaging-5.0.3",579,"Annotation",26,""
"axon-messaging-5.0.3",579,"Enum",8,""
"axon-common-5.0.3",156,"Class",104,""
"axon-common-5.0.3",156,"Interface",42,""
"axon-common-5.0.3",156,"Annotation",2,""
"axon-common-5.0.3",156,"Enum",4,""
"axon-eventsourcing-5.0.3",100,"Class",61,""
"axon-eventsourcing-5.0.3",100,"Interface",24,""
"axon-eventsourcing-5.0.3",100,"Annotation",7,""
"axon-modelling-5.0.3",92,"Interface",29,""
"axon-modelling-5.0.3",92,"Class",60,""
"axon-modelling-5.0.3",92,"Annotation",3,""
"axon-test-5.0.3",78,"Interface",19,""
"axon-test-5.0.3",78,"Class",53,""
"axon-test-5.0.3",78,"Annotation",1,""
"axon-spring-boot-autoconfigure-5.0.3",75,"Class",67,""
"axon-spring-boot-autoconfigure-5.0.3",75,"Annotation",3,""
"axon-spring-boot-autoconfigure-5.0.3",75,"Enum",2,""
"axon-spring-boot-autoconfigure-5.0.3",75,"Interface",1,""
"axon-server-connector-5.0.3",72,"Class",56,""
"axon-server-connector-5.0.3",72,"Interface",10,""
"axon-server-connector-5.0.3",72,"Enum",2,""
"axon-conversion-5.0.3",35,"Class",28,""
"axon-conversion-5.0.3",35,"Interface",5,""
"axon-update-5.0.3",23,"Class",14,""
"axon-update-5.0.3",23,"Interface",3,""
"axon-update-5.0.3",23,"Enum",1,""
"axon-metrics-micrometer-5.0.3",16,"Class",16,""
"axon-tracing-opentelemetry-5.0.3",5,"Class",5,""
