"dependentArtifactName","reflectionCallerTypeName","reflectionTypes","Source Cypher File: Java/Java_Reflection_usage_detailed.cypher"
"axon-common-5.0.1","org.axonframework.common.property.DirectPropertyAccessStrategy","java.lang.reflect.Field",""
"axon-common-5.0.1","org.axonframework.common.TypeReflectionUtils$VarMap","java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable",""
"axon-common-5.0.1","org.axonframework.common.TypeReference$2","java.lang.reflect.Type",""
"axon-common-5.0.1","org.axonframework.common.ReflectionUtils","java.lang.reflect.AccessibleObject,java.lang.reflect.Executable,java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.ParameterizedType,java.lang.reflect.Type",""
"axon-common-5.0.1","org.axonframework.common.annotation.AnnotationUtils","java.lang.reflect.AnnotatedElement,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-common-5.0.1","org.axonframework.common.TypeReference$1","java.lang.reflect.Type",""
"axon-common-5.0.1","org.axonframework.common.configuration.Component$Identifier","java.lang.reflect.Type",""
"axon-common-5.0.1","org.axonframework.common.property.DirectlyAccessedProperty","java.lang.reflect.Field",""
"axon-common-5.0.1","org.axonframework.common.jdbc.ConnectionWrapperFactory","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Proxy",""
"axon-common-5.0.1","org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","java.lang.reflect.TypeVariable",""
"axon-common-5.0.1","org.axonframework.common.property.MethodAccessedProperty","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-common-5.0.1","org.axonframework.common.annotation.PriorityAnnotationComparator","java.lang.reflect.AnnotatedElement",""
"axon-common-5.0.1","org.axonframework.common.ConstructorUtils","java.lang.reflect.Constructor,java.lang.reflect.InvocationTargetException",""
"axon-common-5.0.1","org.axonframework.common.TypeReflectionUtils","java.lang.reflect.Array,java.lang.reflect.GenericArrayType,java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable,java.lang.reflect.WildcardType",""
"axon-common-5.0.1","org.axonframework.common.TypeReference","java.lang.reflect.ParameterizedType,java.lang.reflect.Type",""
"axon-common-5.0.1","org.axonframework.common.property.AbstractMethodPropertyAccessStrategy","java.lang.reflect.Method",""
"axon-common-5.0.1","org.axonframework.common.MemberAccessibilityCallback","java.lang.reflect.AccessibleObject",""
"axon-common-5.0.1","org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl","java.lang.reflect.ParameterizedType,java.lang.reflect.Type",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.EntityChildModelDefinition","java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.ParameterizedType",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.child.FieldChildEntityFieldDefinition","java.lang.reflect.Field,java.lang.reflect.Method",""
"axon-modelling-5.0.1","org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver","java.lang.reflect.AnnotatedElement,java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.ListEntityChildModelDefinition","java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.CommandTargetResolverDefinition","java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.RoutingKeyCommandTargetResolverDefinition","java.lang.reflect.AnnotatedElement,java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.AbstractEntityChildModelDefinition","java.lang.reflect.AnnotatedElement,java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.RoutingKeyEventTargetMatcherDefinition","java.lang.reflect.AnnotatedElement,java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.EventTargetMatcherDefinition","java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.RoutingKeyUtils","java.lang.reflect.AnnotatedElement,java.lang.reflect.Field",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.SingleEntityChildModelDefinition","java.lang.reflect.Member",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel","java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Modifier",""
