"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1668,"org.axonframework.eventsourcing.AbstractSnapshotTrigger.eventHandled(0),org.axonframework.eventsourcing.AbstractSnapshotter$Builder.spanFactory(0),org.axonframework.eventsourcing.AbstractSnapshotter.scheduleSnapshot(0),org.axonframework.eventsourcing.AbstractSnapshotter.scheduleSnapshot(1),org.axonframework.eventsourcing.FilteringEventStorageEngine.readEvents(0),org.axonframework.eventsourcing.FilteringEventStorageEngine.readSnapshot(0),org.axonframework.eventsourcing.FilteringEventStorageEngine.lastSequenceNumberFor(0),org.axonframework.eventsourcing.FilteringEventStorageEngine.createTokenAt(0),org.axonframework.eventsourcing.AggregateLoadTimeSnapshotTriggerDefinition.prepareTrigger(0)",""
"java.lang.Deprecated","Method",133,"org.axonframework.eventsourcing.AbstractSnapshotter$Builder.spanFactory,org.axonframework.eventsourcing.EventSourcingRepository$Builder.spanFactory,org.axonframework.eventsourcing.MultiStreamableMessageSource.builder,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder.snapshotFilter,org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$Builder.snapshotFilter,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine$Builder.snapshotFilter,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine.domainEventFields,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine.trackedEventFields,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine.setGapTimeout",""
"org.springframework.context.annotation.Bean","Method",122,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration.eventStorageEngine,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration.platformConnectionManager,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurerModule",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",78,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.eventScheduler,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.deadlineManager,org.axonframework.springboot.autoconfig.JpaAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.JpaAutoConfiguration.tokenStore",""
"java.lang.FunctionalInterface","Interface",65,"org.axonframework.eventsourcing.conflictresolution.ConflictExceptionSupplier,org.axonframework.eventsourcing.conflictresolution.ContextAwareConflictExceptionSupplier,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataWithGapsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.TimestampWriter,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTokenAtStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendEventsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.LastSequenceNumberForStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateHeadTokenStatementBuilder",""
"javax.annotation.Nullable","Parameter",62,"org.axonframework.eventsourcing.eventstore.EventStorageEngine.readEvents(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2),org.axonframework.deadline.GenericDeadlineMessage.asDeadlineMessage(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(2),org.axonframework.deadline.jobrunr.JobRunrDeadlineManager.schedule(2)",""
"javax.annotation.Nonnull","Method",60,"org.axonframework.commandhandling.gateway.DefaultCommandGateway.registerDispatchInterceptor,org.axonframework.eventhandling.MultiEventHandlerInvoker.delegates,org.axonframework.eventhandling.GenericEventMessage.getTimestamp,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor.handle,org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper.wrapHandler,org.axonframework.messaging.MessageDispatchInterceptor.handle,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition.wrapHandler,org.axonframework.messaging.interceptors.BeanValidationInterceptor.handle,org.axonframework.messaging.interceptors.LoggingInterceptor.handle",""
"java.lang.annotation.Target","Annotation",44,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.common.Priority,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay",""
"java.lang.annotation.Retention","Annotation",44,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.common.Priority,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay",""
"java.lang.Deprecated","Class",43,"org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder,org.axonframework.eventsourcing.MultiStreamableMessageSource,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.common.caching.EhCacheAdapter,org.axonframework.common.legacyjpa.SimpleEntityManagerProvider,org.axonframework.common.legacyjpa.PagingJpaQueryIterable,org.axonframework.eventhandling.deadletter.legacyjpa.EventMessageDeadLetterJpaConverter",""
