"filesPerCommit","commitCount","Source Cypher File: domains/git-history/queries/statistics/List_git_files_per_commit_distribution.cypher"
1,6785,""
2,2774,""
3,1320,""
4,864,""
5,601,""
6,437,""
7,345,""
8,281,""
9,208,""
10,194,""
11,161,""
12,135,""
13,153,""
14,170,""
15,216,""
16,98,""
17,96,""
18,93,""
19,106,""
20,87,""
21,65,""
22,91,""
23,54,""
24,54,""
25,64,""
26,47,""
27,56,""
28,38,""
29,44,""
30,42,""
31,30,""
32,35,""
33,31,""
34,25,""
35,33,""
36,35,""
37,23,""
38,26,""
39,24,""
40,37,""
41,19,""
42,24,""
43,28,""
44,29,""
45,20,""
46,24,""
47,15,""
48,18,""
49,17,""
50,17,""
51,15,""
52,18,""
53,20,""
54,17,""
55,17,""
56,10,""
57,23,""
58,22,""
59,18,""
60,8,""
61,9,""
62,12,""
63,16,""
64,14,""
65,13,""
66,13,""
67,12,""
68,12,""
69,10,""
70,14,""
71,14,""
72,6,""
73,9,""
74,9,""
75,8,""
76,8,""
77,8,""
78,6,""
79,9,""
80,16,""
81,5,""
82,12,""
83,16,""
84,13,""
85,8,""
86,10,""
87,6,""
88,7,""
89,3,""
90,6,""
91,9,""
92,18,""
93,8,""
94,9,""
95,13,""
96,10,""
97,7,""
98,5,""
99,9,""
100,7,""
101,7,""
102,3,""
103,7,""
104,6,""
105,9,""
106,8,""
107,2,""
108,3,""
109,12,""
110,8,""
111,5,""
112,4,""
113,8,""
114,10,""
115,2,""
116,6,""
117,4,""
118,6,""
119,5,""
120,8,""
121,6,""
122,4,""
123,2,""
125,5,""
126,2,""
127,3,""
128,8,""
129,5,""
130,2,""
131,4,""
132,2,""
133,5,""
134,2,""
135,2,""
136,2,""
138,2,""
139,4,""
140,5,""
141,2,""
142,5,""
143,2,""
144,2,""
145,4,""
146,3,""
147,1,""
148,4,""
149,6,""
150,7,""
151,3,""
152,4,""
153,6,""
154,5,""
155,2,""
156,1,""
157,2,""
158,3,""
159,2,""
160,3,""
161,2,""
162,2,""
163,6,""
164,1,""
165,1,""
166,1,""
167,3,""
169,1,""
170,2,""
171,1,""
172,1,""
173,2,""
174,3,""
175,1,""
176,5,""
177,2,""
178,1,""
179,3,""
180,4,""
181,6,""
182,3,""
183,4,""
184,3,""
185,1,""
186,4,""
187,2,""
188,1,""
189,1,""
190,3,""
191,2,""
192,2,""
193,5,""
194,3,""
195,1,""
196,3,""
197,2,""
198,1,""
199,2,""
