"codeFileExtension","firstThreeCodeFileLabels","codeFileCount","codeFileExamples","Source Cypher File: domains/git-history/queries/statistics/List_unresolved_git_files.cypher"
"jar","File,Artifact",11,"/axon-messaging-5.1.1.jar,/axon-update-5.1.1.jar,/axon-server-connector-5.1.1.jar,/axon-conversion-5.1.1.jar,/axon-common-5.1.1.jar,/axon-eventsourcing-5.1.1.jar",""
"MF","File,Java",1,"/META-INF/MANIFEST.MF",""
"class","Type,File",1094,"/java/lang/RuntimeException.class,/java/lang/IllegalArgumentException.class,/java/lang/Exception.class,/java/lang/InterruptedException.class,/java/util/concurrent/ExecutionException.class,/java/lang/Error.class",""
"xml","File,Xml",11,"/META-INF/maven/org.axonframework/axon-messaging/pom.xml,/META-INF/maven/org.axonframework/axon-update/pom.xml,/META-INF/maven/io.axoniq.framework/axon-server-connector/pom.xml,/META-INF/maven/org.axonframework/axon-conversion/pom.xml,/META-INF/maven/org.axonframework/axon-common/pom.xml,/META-INF/maven/org.axonframework/axon-eventsourcing/pom.xml",""
"properties","File,Java",10,"/META-INF/maven/org.axonframework/axon-messaging/pom.properties,/META-INF/maven/org.axonframework/axon-update/pom.properties,/META-INF/maven/io.axoniq.framework/axon-server-connector/pom.properties,/META-INF/maven/org.axonframework/axon-conversion/pom.properties,/META-INF/maven/org.axonframework/axon-common/pom.properties,/META-INF/maven/org.axonframework/axon-eventsourcing/pom.properties",""
