"resolved","extension","gitFileCount","fileLabels","gitFileExamples","Source Cypher File: domains/git-history/queries/statistics/List_git_files_by_resolved_label_and_extension.cypher"
false,"java",13974,"File,Git","eventsourcing/src/test/java/org/axonframework/eventsourcing/eventstore/AggregateBasedStorageEngineBackedEventStoreTestSuite.java,eventsourcing/src/test/java/org/axonframework/eventsourcing/eventstore/DcbBasedStorageEngineBackedEventStoreTestSuite.java,migration/src/test/java/org/axonframework/migration/Axon4ToAxon5TestTest.java,examples/university-java-springboot-3/src/test/java/org/axonframework/examples/university/CreateCourseCommandIT.java,examples/university-java-springboot-3/src/test/java/org/axonframework/examples/university/CreateCourseCommandTest.java,examples/university-java-springboot-3/src/test/java/org/axonframework/examples/university/UniversityTestApplicationIT.java,examples/university-java-springboot-3/src/test/java/org/axonframework/examples/university/UniversityTestApplicationITest.java,examples/university-java-springboot-4/src/test/java/org/axonframework/examples/university/CreateCourseCommandIT.java,examples/university-java-springboot-4/src/test/java/org/axonframework/examples/university/CreateCourseCommandTest.java",""
false,"xml",521,"File,Git","build/parent/pom.xml,extensions/spring/spring-boot-autoconfigure/pom.xml,migration/pom.xml,pom.xml,examples/pom.xml,extensions/kotlin/kotlin-test/pom.xml,extensions/kotlin/kotlin/pom.xml,extensions/kotlin/pom.xml,extensions/pom.xml",""
false,"adoc",497,"File,Git","docs/reference-guide/modules/migration/pages/paths/index.adoc,docs/reference-guide/modules/release-notes/pages/major-releases.adoc,docs/reference-guide/modules/tuning/pages/command-processing.adoc,docs/reference-guide/modules/tuning/pages/event-processing.adoc,docs/reference-guide/modules/tuning/pages/index.adoc,docs/reference-guide/modules/tuning/pages/rdbms-tuning.adoc,docs/reference-guide/modules/tuning/partials/nav.adoc,docs/reference-guide/modules/migration/pages/index.adoc,docs/reference-guide/modules/migration/pages/openrewrite-code-conversion.adoc",""
false,"png",199,"File,Git","examples/university-demo-kotlin/docs/images/AxonServer_DCBContext_Creation.png,examples/university-demo-kotlin/docs/images/EventModeling_GWT_SubscribeStudent.png,examples/university-demo-kotlin/docs/images/FacultyContext_EventModeling.png,docs/reference-guide/modules/commands/images/distributed-command-bus.png,docs/af5-getting-started/modules/ROOT/images/AxonServer_DCBContext_Creation.png,docs/getting-started/modules/ROOT/images/AxonServer_DCBContext_Creation.png,docs/getting-started/modules/ROOT/images/AxonServer_DCBEvents_Search.png,docs/af5-getting-started/modules/ROOT/images/AxonServer_DCBEvents_Search.png,docs/af5-getting-started/modules/ROOT/images/EventModeling_CreateCourse_Done.png",""
false,"properties",160,"File,Git","migration/src/test/resources/migration-versions.properties,axon-server-connector/src/test/resources/junit-platform.properties,axon-server-connector/src/test/resources/log4j2.properties,examples/university-demo-kotlin/src/test/resources/application.properties,extensions/spring/spring-boot-autoconfigure/src/test/resources/application-custom.properties,extensions/spring/spring-boot-autoconfigure/src/test/resources/log4j2.properties,extensions/spring/spring-boot-autoconfigure/src/test/resources/test.jgroups.application.properties,extensions/spring/spring-boot-autoconfigure/src/test/resources/test.metrics.application.properties,extensions/spring/spring-boot-autoconfigure/src/test/resources/test.springcloud.application.properties",""
false,"xsl",160,"File,Git","documentation/src/main/docbook/styles/docbook/VERSION.xsl,documentation/src/main/docbook/styles/docbook/common/autoidx-kosek.xsl,documentation/src/main/docbook/styles/docbook/common/autoidx-kimber.xsl,documentation/src/main/docbook/styles/docbook/common/charmap.xsl,documentation/src/main/docbook/styles/docbook/common/common.xsl,documentation/src/main/docbook/styles/docbook/common/gentext.xsl,documentation/src/main/docbook/styles/docbook/common/insertfile.xsl,documentation/src/main/docbook/styles/docbook/common/l10n.xsl,documentation/src/main/docbook/styles/docbook/common/labels.xsl",""
false,"as",97,"File,Git","sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/ChangeContactNameCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/CreateContactCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/RegisterAddressCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/RemoveAddressCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/NotificationImagesCollection.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/NewAddressController.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/NewContactController.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/RemoveAddressController.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/RemoveContactController.as",""
false,"yml",93,"File,Git","migration/src/main/resources/META-INF/rewrite/axon4-to-axoniq5-postgresql.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-extension-spring.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-bom.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-common.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-conversion.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-eventsourcing.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-extension-amqp.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-extension-cdi.yml,migration/src/main/resources/META-INF/rewrite/axon4-to-axon5-extension-jgroups.yml",""
false,"md",71,"File,Git","CLAUDE.md,axon-5/api-changes.md,axon-5/api-changes/01-overview-and-dependencies.md,axon-5/api-changes/02-processing-context.md,axon-5/api-changes/03-messages-and-stream.md,axon-5/api-changes/04-commands.md,axon-5/api-changes/05-event-store-and-processors.md,axon-5/api-changes/06-configuration.md,axon-5/api-changes/07-entities-and-test-fixtures.md",""
false,"svg",65,"File,Git",".idea/icon.svg,documentation/src/main/resources/images/callouts/10.svg,documentation/src/main/resources/images/callouts/11.svg,documentation/src/main/resources/images/callouts/1.svg,documentation/src/main/resources/images/callouts/14.svg,documentation/src/main/resources/images/callouts/15.svg,documentation/src/main/resources/images/callouts/12.svg,documentation/src/main/resources/images/callouts/13.svg,documentation/src/main/resources/images/callouts/2.svg",""
false,"kt",47,"File,Git","examples/university-demo-kotlin/src/main/kotlin/UniversityKotlinApplication.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/FacultyTags.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/events/CourseCreated.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/events/CourseRenamed.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/events/FacultyEvent.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/events/StudentEnrolledInFaculty.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/events/StudentSubscribedToCourse.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/write/create_course/CreateCourse.kt,examples/university-demo-kotlin/src/main/kotlin/faculty/write/create_course/CreateCourseState.kt",""
false,"gif",17,"File,Git","docs/reference-guide/modules/messaging-concepts/images/axoniq-console-flow.gif,docs/old-reference-guide/modules/messaging-concepts/images/axoniq-console-flow.gif,reference-guide/src/main/resources/images/callouts/1.gif,reference-guide/src/main/resources/images/callouts/10.gif,reference-guide/src/main/resources/images/callouts/11.gif,reference-guide/src/main/resources/images/callouts/12.gif,reference-guide/src/main/resources/images/callouts/3.gif,reference-guide/src/main/resources/images/callouts/4.gif,reference-guide/src/main/resources/images/callouts/5.gif",""
false,"proto",17,"File,Git","axon-server-api/src/main/proto/command.proto,axon-server-api/src/main/proto/common.proto,axon-server-api/src/main/proto/control.proto,axon-server-api/src/main/proto/event.proto,axon-server-api/src/main/proto/query.proto,axon-server-api/src/main/proto/messaging_api.proto,axon-server-api/src/main/proto/messaging_messages.proto,axon-server-api/src/main/proto/platform_api.proto,axon-server-api/src/main/proto/eventstore_messages.proto",""
false,"ParameterResolverFactory",15,"File,Git","eventsourcing/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,test/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.ParameterResolverFactory,test/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.ParameterResolverFactory,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.ParameterResolverFactory,test/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.ParameterResolverFactory,core/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,axon-4-code-base/eventsourcing/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory",""
false,"HandlerEnhancerDefinition",14,"File,Git","messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.HandlerEnhancerDefinition,modelling/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.HandlerEnhancerDefinition,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition,legacy-saga/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition,legacy-aggregate/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition,legacy-aggregate/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.HandlerEnhancerDefinition,legacy-saga/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.HandlerEnhancerDefinition,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.HandlerEnhancerDefinition,modelling/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition",""
