"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"create-react-router","create-react-router","react-router-7.13.2",false,false,false,1,26,8,26,3,1,3,"./index.ts -> ./copy-template.ts,./index.ts -> ./loading-indicator.ts,./index.ts -> ./prompt.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.13.2",false,false,false,2,13,4,13,3,1,3,"./index.ts -> ./prompts-confirm.ts,./index.ts -> ./prompts-multi-select.ts,./index.ts -> ./prompts-text.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.13.2",false,false,false,3,7,2,7,1,1,1,"./index.ts -> ./prompts-select.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.13.2",false,false,false,4,1,1,1,1,1,1,"./index.ts -> ./prompts-prompt-base.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.13.2",false,false,false,5,1,1,1,1,1,1,"./index.ts -> ./utils.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"react-router","react-router","react-router-7.13.2",false,false,false,1,26,8,26,10,2,10,"./lib/types/route-module-annotations.ts -> ./index-react-server.ts,./lib/dom/ssr/links.ts -> ./index.ts,./lib/dom/ssr/links.ts -> ./lib/dom/ssr/entry.ts,./lib/dom/ssr/links.ts -> ./lib/dom/ssr/routeModules.ts","react-router -> react-router","react-router -> react-router",""
"react-router-dev","react-router-dev","react-router-7.13.2",false,false,false,1,26,8,26,10,3,10,"./cli/run.ts -> ./cli/commands.ts,./vite/rsc/plugin.ts -> ./vite/has-dependency.ts,./vite/rsc/plugin.ts -> ./vite/load-dotenv.ts,./vite/cloudflare-dev-proxy.ts -> ./vite/node-adapter.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.13.2",false,false,false,2,13,4,13,8,2,8,"./vite/rsc/plugin.ts -> ./routes.ts,./cli/run.ts -> ./cli/useJavascript.ts,./cli/run.ts -> ./config/format.ts,./cli/run.ts -> ./typegen/index.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.13.2",false,false,false,3,7,2,7,6,1,6,"./cli/run.ts -> ./config/config.ts,./cli/run.ts -> ./config/routes.ts,./cli/run.ts -> ./vite/has-rsc-plugin.ts,./cli/run.ts -> ./vite/plugin.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-fs-routes","react-router-fs-routes","react-router-7.13.2",false,false,false,1,26,8,26,1,1,1,"./index.ts -> ./flatRoutes.ts","react-router-fs-routes -> react-router-fs-routes","react-router-fs-routes -> react-router-fs-routes",""
"react-router-fs-routes","react-router-fs-routes","react-router-7.13.2",false,false,false,2,13,4,13,2,1,2,"./index.ts -> ./manifest.ts,./index.ts -> ./normalizeSlashes.ts","react-router-fs-routes -> react-router-fs-routes","react-router-fs-routes -> react-router-fs-routes",""
"react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter","react-router-7.13.2",false,false,false,1,26,8,26,2,1,2,"./defineRoutes.ts -> ./manifest.ts,./defineRoutes.ts -> ./normalizeSlashes.ts","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter",""
