"word","frequency","Source Cypher File: domains/git-history/queries/statistics/Words_for_git_author_Wordcloud_with_frequency.cypher"
"Matt Brophy",1792,""
"Remix Run Bot",378,""
"Varun Chawla",1,""
"Roman Baiocco",1,""
"André M.",1,""
"Tim Dorr",342,""
"Nandan",1,""
"Roli Bosch",1,""
"nimrossum",1,""
"Matteo Collina",1,""
"George Chang",3,""
"Jacob Ebey",220,""
"EdgeOneDev",1,""
"Edmund Hung",3,""
"rossipedia",9,""
"Tanawit Kritwongwiman",1,""
"Nowon Lee",1,""
"AnandShiva",1,""
"chandershekhar22",1,""
"Fróði Karlsson",2,""
"joseph0926",5,""
"dimmageiras",1,""
"Richard Käll",1,""
"Andrei",4,""
"Rahul Mishra",1,""
"Erlend Seppola",1,""
"dadamssg",2,""
"Dogxi",1,""
"Stefan",1,""
"Brooks Lybrand",111,""
"Haruto Takeuchi",2,""
"Mark Dalgleish",386,""
"RFCreate",1,""
"Nathan Brown",7,""
"Pedro Cattori",405,""
"Chanmi Lee | Kate",1,""
"Michaël De Boey",197,""
"black5box",1,""
"keshavjoshi-ca",1,""
"Ardit Dine",1,""
"sunnyraindy",1,""
"Qz",1,""
"Shubham Chaudhary",1,""
"Rafael ヤスヒデ 須藤",4,""
"Kirill Groshkov",1,""
"Fernando",1,""
"Alex Anderson",6,""
"Peter Neave",1,""
"Jonas Adler",1,""
"SailorStat",1,""
"Juan P. Prieto",2,""
"Josh Larson",2,""
"Yaroslav Petryk",1,""
"ytori",2,""
"Masashi Kawafuji",2,""
"Aidan Alcayde",1,""
"Hiroshi Ogawa",29,""
"Robert Soriano",1,""
"우혁",2,""
"Brandon Johnson",1,""
"Michael Jackson",1906,""
"chenxiang",1,""
"Henrique Limas",2,""
"Christian Mattsson",2,""
"Johan",1,""
"Alexandra de Groof",1,""
"Geoff (Github) Hubbard",1,""
"Tommy D. Rossi",2,""
"Richard Scarrott",1,""
"caprolactam",1,""
"Marlon Buckley",1,""
"Nathan Bierema",1,""
"Yashar Ibrahimkhalilov",1,""
"Mehdi Achour",17,""
"Clemens",1,""
"Huy ""Hugh"" Nguyen",2,""
"Nihal K",1,""
"Lê Tấn Khôi",1,""
"Tim Fisher",1,""
"Alem Tuzlak",2,""
"Slava Knyazev",2,""
"Weiliang Li",1,""
"Mateusz Burzyński",6,""
"James Garbutt",3,""
"Dmitriy",2,""
"Andrew Magalhães",1,""
"Reda",1,""
"viva-jake",1,""
"Dmitry Khorkin",1,""
"Ilya",1,""
"Manuel Obregozo",1,""
"Cam Thompson",2,""
"Yuri Poliantsev",1,""
"Mark Malstrom",1,""
"FT",1,""
"kilavvy",1,""
"davidbielik",5,""
"Tom Wang",1,""
"clonemycode",1,""
"Nowell Strite",1,""
"chris",1,""
