"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: domains/external-dependencies/queries/External_module_usage_overall_for_Typescript.cypher"
"node:url",3,2,4,6,139,645,"<copyTemplate> of module <copy-template> imports <node:url> from external module <node:url>,<copyTemplate> of module <copy-template> imports <.fileURLToPath> from external module <node:url>,<reactRouterVitePlugin> of module <vite> imports <.pathToFileURL> from external module <node:url>,<reactRouterVitePlugin> of module <plugin> imports <.pathToFileURL> from external module <node:url>",""
"@architect/functions",2,1,4,4,139,645,"<createArcTableSessionStorage> of module <react-router-architect> imports <tables> from external module <functions>,<createArcTableSessionStorage> of module <react-router-architect> imports <functions> from external module <functions>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <tables> from external module <functions>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <functions> from external module <functions>",""
"@architect/tables",2,1,6,10,139,645,"<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.get> from external module <tables>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.put> from external module <tables>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.delete> from external module <tables>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.get> from external module <tables>",""
"@babel/babel-parser",2,2,3,5,139,645,"<removeExports> of module <remove-exports> imports <ParseResult> from external module <babel-parser>,<decorateComponentExportsWithProps> of module <with-props> imports <ParseResult> from external module <babel-parser>,<decorateComponentExportsWithProps> of module <with-props> imports <ParseResult.program> from external module <babel-parser>",""
"@mjackson/node-fetch-server",2,2,4,28,139,645,"<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external module <node-fetch-server>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external module <node-fetch-server>,<createRequestListener> of module <react-router-node> imports <createRequestListener> from external module <node-fetch-server>,<createRequestListener> of module <server> imports <createRequestListener> from external module <node-fetch-server>",""
"@types/api-gateway-proxy",2,5,24,34,139,645,"<RequestHandler> of module <react-router-architect> imports <APIGatewayProxyEventV2> from external module <api-gateway-proxy>,<RequestHandler> of module <react-router-architect> imports <APIGatewayEventRequestContextV2> from external module <api-gateway-proxy>,<RequestHandler> of module <react-router-architect> imports <APIGatewayProxyResultV2> from external module <api-gateway-proxy>,<RequestHandler> of module <server> imports <APIGatewayProxyEventV2> from external module <api-gateway-proxy>",""
"@types/express",2,4,26,30,139,645,"<GetLoadContextFunction> of module <react-router-express> imports <e.Request> from external module <express>,<GetLoadContextFunction> of module <react-router-express> imports <e.Response> from external module <express>,<GetLoadContextFunction> of module <server> imports <e.Request> from external module <express>,<GetLoadContextFunction> of module <server> imports <e.Response> from external module <express>",""
"@types/express-serve-static-core",2,3,6,6,139,645,"<GetLoadContextFunction> of module <react-router-express> imports <ParamsDictionary> from external module <express-serve-static-core>,<GetLoadContextFunction> of module <server> imports <ParamsDictionary> from external module <express-serve-static-core>,<RequestHandler> of module <server> imports <ParamsDictionary> from external module <express-serve-static-core>,<RequestHandler> of module <react-router-express> imports <ParamsDictionary> from external module <express-serve-static-core>",""
"@types/handler",2,1,4,4,139,645,"<RequestHandler> of module <react-router-architect> imports <Context> from external module <handler>,<RequestHandler> of module <react-router-architect> imports <Callback> from external module <handler>,<RequestHandler> of module <server> imports <Context> from external module <handler>,<RequestHandler> of module <server> imports <Callback> from external module <handler>",""
"@types/jsesc",2,1,2,4,139,645,"<reactRouterVitePlugin> of module <vite> imports <jsesc> from external module <jsesc>,<reactRouterVitePlugin> of module <plugin> imports <jsesc> from external module <jsesc>",""
