"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",20,231,1,76,3,11.55,21.91004335915381,33,1,8,1,1.65,1.7554426642213128,0.15503875968992248,1.2403100775193798,0.15503875968992248,0.2558139534883721,0.27216165336764536,"vite,plugin,commands,config",""
"@types/process",17,42,1,5,2,2.470588235294118,1.5458673560021057,24,1,4,1,1.411764705882353,0.7952062255644574,0.15503875968992248,0.6201550387596899,0.15503875968992248,0.2188782489740082,0.1232877869092182,"create-react-router,loading-indicator,prompts-prompt-base,utils",""
"dist",15,80,1,26,4,5.333333333333333,6.309478885734052,31,1,5,1,2.066666666666667,1.4375905768565218,0.15503875968992248,0.7751937984496124,0.15503875968992248,0.3204134366925065,0.22288225997775532,"routes,vite,plugin,commands",""
"@types/path",13,41,1,7,2,3.153846153846154,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.15503875968992248,0.7751937984496124,0.15503875968992248,0.2623732856290996,0.18327626805379468,"utils,flatRoutes,react-router-fs-routes,normalizeSlashes",""
"node:fs",10,21,1,4,2,2.1,0.9944289260117533,14,1,3,1,1.4,0.8432740427115679,0.15503875968992248,0.46511627906976744,0.15503875968992248,0.21705426356589144,0.13074016166070818,"utils,flatRoutes,react-router-fs-routes,vite",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.15503875968992248,0.46511627906976744,0.15503875968992248,0.22394487510766578,0.11263304763670991,"utils,vite,plugin,commands",""
"promises",8,31,2,7,3.5,3.875,2.1001700611413083,16,1,4,1.5,2,1.3093073414159542,0.15503875968992248,0.6201550387596899,0.23255813953488372,0.31007751937984496,0.20299338626603944,"utils,vite,plugin,commands",""
"@types/module",7,7,1,1,1,1,0,9,1,2,1,1.2857142857142856,0.4879500364742666,0.15503875968992248,0.31007751937984496,0.15503875968992248,0.19933554817275748,0.07565116844562272,"vite,plugin,commands,run",""
"@types/babel__generator",6,10,1,2,2,1.6666666666666667,0.5163977794943222,9,1,3,1,1.5,0.8366600265340756,0.15503875968992248,0.46511627906976744,0.15503875968992248,0.23255813953488372,0.1297147327959807,"vite,plugin,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333335,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.15503875968992248,0.31007751937984496,0.15503875968992248,0.18087855297157623,0.06329430859904853,"vite,plugin,server,fileStorage",""
