"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel",17,58,1,23,4,2300,"ExportNamedDeclaration.declaration,ClassDeclaration.id,ExportSpecifier.local,FunctionDeclaration.id,VariableDeclaration.declarations,ExportDefaultDeclaration.declaration,ExportNamedDeclaration.specifiers,Expression.type,VariableDeclarator.id,AssignmentExpression.left,ParseResult,MemberExpression.object,ExpressionStatement.expression,ExportSpecifier.exported,ExportDeclaration.type,Identifier.name,LVal.type",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.node,NodePath.parentPath,NodePath.isProgram,NodePath.remove",""
"remove-exports","no namespace",2,2,1,23,4,2300,"findReferencedIdentifiers,deadCodeElimination",""
"vite","no namespace",124,240,6,129,25,2150,"Connect.IncomingMessage.url,dist,picocolors,join,ServerResponse.end,Logger.error,PreviewServer.middlewares,ResolvedBuildEnvironmentOptions.outDir,ResolvedConfig.environments,init,relative,transformWithEsbuild,resolve,ResolvedConfig.base,Logger.info,UserConfig.logLevel,UserConfig.server,Connect.Server.use,PluginOption,createLogger,path.join,existsSync,normalizePath,path.extname,path.normalize,ResolvedEnvironmentOptions.build,readFile,ServerResponse.setHeader,ServerResponse.statusCode,UserConfig.base,isRunnableDevEnvironment,HotBroadcaster.send,ResolvedConfig.root,ViteBuilder.build,ViteDevServer,EnvironmentOptions.resolve,DevEnvironment.moduleGraph,ViteBuilder.environments,ResolvedConfig.logger,ResolvedConfig.command,UserConfig.plugins,ResolvedServerOptions.watch,RunnableDevEnvironment.runner,Environment.config,ResolvedConfig.mode,Environment.name,PluginContext.environment,ViteDevServer.ssrFixStacktrace,EnvironmentOptions.optimizeDeps,Plugin.name,rename,ResolvedServerOptions.middlewareMode,defaultClientConditions,Dirent.isFile,ResolvedConfig,ViteDevServer.ssrLoadModule,DevEnvironment.name,UserConfig.build,ResolvedBuildOptions.assetsDir,ResolvedConfig.configFile,ResolvedConfig.server,PluginContainer.buildStart,UserConfig.environments,ModuleRunner.import,PreviewServer,Hash.digest,URL.href,ManifestChunk.assets,readdirSync,ViteDevServer.hot,ManifestChunk.css,ViteDevServer.pluginContainer,ViteDevServer.environments,ViteDevServer.middlewares,ViteDevServer.config,Hash.update,ManifestChunk.file,cp,loadConfigFromFile,rm,Dirent.parentPath,Dirent.name,rmSync,Dirent.path,DevEnvironment.reloadModule,ConfigEnv.isSsrBuild,HotUpdatePluginContext.environment,ModuleNode.url,Logger.warn,ModuleNode.file,ViteDevServer.transformRequest,ConfigEnv.command,mkdir,PluginContext.resolve,createHash,.pathToFileURL,ConfigEnv.mode,EnvironmentOptions,ResolvedId.id,readdir,createServer,ResolvedConfig.build,Plugin,UserConfig.root,version,ESBuildOptions,node",""
"vite","@types",22,51,6,129,25,2150,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,path.PlatformPath.basename,transformAsync,path.PlatformPath.resolve,GeneratorResult.code,jsesc,BabelFileResult.map,path.PlatformPath.posix,path.PlatformPath.relative,pick,global.NodeJS.Process.cwd,global.NodeJS.Process.exit,global.NonSharedBuffer.toString,global.NodeJS.Require.resolve,path.PlatformPath.join,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,path.PlatformPath.dirname,GeneratorResult,BabelFileResult.code",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isExpression,NodePath.isExportNamedDeclaration,NodePath.isExportDefaultDeclaration,NodePath.scope,NodePath.get,NodePath.node,NodePath.isIdentifier,NodePath.replaceWith,NodePath.isVariableDeclaration,Scope.generateUidIdentifier,NodePath.isFunctionDeclaration",""
"with-props","@babel",10,14,1,21,4,2100,"variableDeclaration,importSpecifier,identifier,variableDeclarator,ParseResult.program,Program.body,callExpression,ParseResult,importDeclaration,stringLiteral",""
"cloudflare","no namespace",14,20,1,15,4,1500,"EnvironmentResolveOptions.externalConditions,ResolvedConfig.server,EnvironmentOptions.resolve,ConfigEnv.mode,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,GetPlatformProxyOptions,Connect.Server.use,ResolvedConfig.plugins,Plugin,Plugin.name,ResolvedServerOptions.middlewareMode,ViteDevServer.config,UserConfig.root",""
"cloudflare","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,4,1500,"EnvironmentResolveOptions.externalConditions,ResolvedConfig.server,EnvironmentOptions.resolve,ConfigEnv.mode,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,GetPlatformProxyOptions,Connect.Server.use,ResolvedConfig.plugins,Plugin,Plugin.name,ResolvedServerOptions.middlewareMode,ViteDevServer.config,UserConfig.root",""
