"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_occurrence.cypher"
"react-router",29,0,"@playground/perf-routes,@playground/split-route-modules,@playground/framework,@playground/framework-vite-7-beta,@playground/rsc-vite-7-framework,@playground/framework-vite-6,@playground/rsc-vite,@playground/split-route-modules-spa,react-router-scripts","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/split-route-modules,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework-vite-7-beta",""
"react",26,0,"@playground/perf-routes,@playground/split-route-modules,@playground/framework,@playground/framework-vite-7-beta,@playground/rsc-vite-7-framework,@playground/framework-vite-6,@playground/rsc-vite,@playground/split-route-modules-spa,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/split-route-modules,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework-vite-7-beta",""
"react-dom",26,0,"@playground/perf-routes,@playground/split-route-modules,@playground/framework,@playground/framework-vite-7-beta,@playground/rsc-vite-7-framework,@playground/framework-vite-6,@playground/rsc-vite,@playground/split-route-modules-spa,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/split-route-modules,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework-vite-7-beta",""
"isbot",22,0,"@playground/perf-routes,@playground/split-route-modules,@playground/framework,@playground/framework-vite-7-beta,@playground/framework-vite-6,@playground/split-route-modules-spa,integration,integration-vite-8-template,integration-vite-6-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/split-route-modules,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework-vite-7-beta",""
"@react-router/node",21,0,"@playground/perf-routes,@playground/split-route-modules,@playground/framework,@playground/framework-vite-7-beta,@playground/framework-vite-6,@playground/split-route-modules-spa,integration,integration-vite-8-template,integration-vite-6-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/split-route-modules,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework-vite-7-beta",""
"express",15,0,"@playground/rsc-vite-7-framework,@playground/rsc-vite,integration,integration-vite-8-template,integration-vite-6-template,integration-rsc-vite-framework,integration-vite-plugin-cloudflare-template,integration-vite-5-template,integration-rsc-vite","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/rsc-vite-7-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/vite-8-template",""
"@react-router/serve",13,0,"@playground/perf-routes,@playground/split-route-modules,@playground/framework,@playground/framework-vite-7-beta,@playground/framework-vite-6,integration-vite-8-template,integration-vite-6-template,integration-rsc-vite-framework,integration-vite-5-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/split-route-modules,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/framework-vite-7-beta",""
"compression",8,0,"@playground/rsc-vite-7-framework,@playground/rsc-vite,integration-rsc-vite-framework,integration-rsc-vite,@react-router/serve,@playground/middleware,@playground/rsc-vite-framework,@playground/framework-express","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/rsc-vite-7-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/rsc-vite-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/rsc-vite",""
"@react-router/express",8,0,"integration,integration-vite-8-template,integration-vite-6-template,integration-vite-5-template,integration-vite-7-beta-template,@react-router/serve,@playground/middleware,@playground/framework-express","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/vite-8-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/vite-6-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/vite-5-template",""
"@mjackson/node-fetch-server",7,0,"@playground/rsc-vite-7-framework,@playground/rsc-vite,integration-rsc-vite-framework,integration-rsc-vite,@react-router/serve,@react-router/node,@playground/rsc-vite-framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/rsc-vite-7-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/playground/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/rsc-vite-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/./source/react-router-7.18.1/integration/helpers/rsc-vite",""
