"word","frequency","Source Cypher File: domains/git-history/queries/statistics/Words_for_git_author_Wordcloud_with_frequency.cypher"
"viaduc",1,""
"jettro",16,""
"Maxim Fedorov",2,""
"fedgehog",2,""
"Loïc Dias Da Silva",1,""
"Frank Versnel",24,""
"Ming Fang",1,""
"Ted Steen",2,""
"Jettro Coenradie",117,""
"Erik van oosten",1,""
"Martin Tilma",4,""
"Ben Tels",7,""
"no_author",1,""
