"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: domains/git-history/queries/statistics/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.1.1","AxonFramework-5.1.1","","","Steven van Beelen","Allard Buijze","Mateusz Nowak",117,3067,6693,"2026-05-21","2026-05-22","2026-05-22",17,17,16,"fff5f9f26176f13bcd2824e006f71d61da2ac8b1","AxonFramework-5.1.1/update/src/test/resources/META-INF/maven/org.axonframework/axon-modelling/pom.properties",1,1,""
"AxonFramework-5.1.1/.claude",".claude","AxonFramework-5.1.1","AxonFramework-5.1.1","Mateusz Nowak","Steven van Beelen","Jan Galinski",5,5,14,"2026-02-19","2026-02-24","2026-03-23",77,109,103,"f86e96cf1f82bb61b9c269c928ea1afba539c052","AxonFramework-5.1.1/.claude/skills/issue-from-notes/references/examples.md",2,1,""
"AxonFramework-5.1.1/.claude/rules","rules","AxonFramework-5.1.1/.claude",".claude","Mateusz Nowak","Steven van Beelen","Jan Galinski",5,2,9,"2026-02-19","2026-02-19","2026-03-23",77,109,109,"f86e96cf1f82bb61b9c269c928ea1afba539c052","AxonFramework-5.1.1/.claude/rules/type-safety.md",3,1,""
"AxonFramework-5.1.1/.claude/skills/issue-from-notes","skills/issue-from-notes","AxonFramework-5.1.1/.claude",".claude","Steven van Beelen","Mateusz Nowak","Jan Galinski",5,2,11,"2026-02-16","2026-02-24","2026-03-23",77,111,103,"f86e96cf1f82bb61b9c269c928ea1afba539c052","AxonFramework-5.1.1/.claude/skills/issue-from-notes/references/examples.md",4,2,""
"AxonFramework-5.1.1/.claude/skills/issue-from-notes/references","references","AxonFramework-5.1.1/.claude/skills/issue-from-notes","issue-from-notes","Steven van Beelen","Mateusz Nowak","Jan Galinski",5,1,8,"2026-02-16","2026-02-16","2026-03-23",77,111,111,"f86e96cf1f82bb61b9c269c928ea1afba539c052","AxonFramework-5.1.1/.claude/skills/issue-from-notes/references/examples.md",5,1,""
"AxonFramework-5.1.1/.github",".github","AxonFramework-5.1.1","AxonFramework-5.1.1","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",31,16,790,"2025-12-01","2026-04-28","2026-04-28",41,188,40,"ffe75820f3cb4bb5d167941acb0f05e2c801c30c","AxonFramework-5.1.1/.github/workflows/slack-release-notification.yml",2,1,""
"AxonFramework-5.1.1/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","AxonFramework-5.1.1/.github",".github","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",7,4,61,"2025-08-13","2026-02-23","2026-02-23",105,298,104,"fa509a0b37d60e0d49b0a95686836dc59e5dc146","AxonFramework-5.1.1/.github/ISSUE_TEMPLATE/4_documentation_change.md",3,1,""
"AxonFramework-5.1.1/.github/workflows","workflows","AxonFramework-5.1.1/.github",".github","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",31,8,759,"2025-12-01","2026-04-28","2026-04-28",41,188,40,"ffe75820f3cb4bb5d167941acb0f05e2c801c30c","AxonFramework-5.1.1/.github/workflows/slack-release-notification.yml",3,1,""
"AxonFramework-5.1.1/.idea",".idea","AxonFramework-5.1.1","AxonFramework-5.1.1","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",6,4,68,"2025-12-16","2025-12-16","2026-02-23",105,173,173,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.1.1/.idea/inspectionProfiles/Project_Default.xml",2,1,""
"AxonFramework-5.1.1/.idea/copyright","copyright","AxonFramework-5.1.1/.idea",".idea","Steven van Beelen","Allard Buijze","Jan Galinski",3,1,28,"2025-01-09","2025-01-09","2026-02-23",105,514,514,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.1.1/.idea/copyright/Axon_Framework_copyright_template.xml",3,1,""
