"artifactName","packageName","dependentArtifactName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_Breakdown_Backward_Only.cypher"
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","SimpleEntityLifecycleHandler<-EventSourcingRepository",0.25,5,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","EntityLifecycleHandler<-EventSourcingRepository",0.25,5,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","InitializingEntityEvolver<-EventSourcingRepository",0.25,5,3,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","axon-modelling-5.1.2","org.axonframework.modelling.annotation","AnnotatedEntityMetamodel<-EntityIdResolverDefinition",0.2,3,2,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","axon-modelling-5.1.2","org.axonframework.modelling.annotation","AnnotatedEntityMetamodel<-AnnotationBasedEntityIdResolverDefinition",0.2,3,2,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","axon-modelling-5.1.2","org.axonframework.modelling.entity","EntityChildMetamodel<-PolymorphicEntityMetamodel$Builder",0.14285714285714285,8,6,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","axon-modelling-5.1.2","org.axonframework.modelling.entity","EntityChildMetamodel<-PolymorphicEntityMetamodelBuilder",0.14285714285714285,8,6,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","axon-modelling-5.1.2","org.axonframework.modelling.entity","EntityChildMetamodel<-EntityMetamodelBuilder",0.14285714285714285,8,6,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","axon-modelling-5.1.2","org.axonframework.modelling.entity","EntityChildMetamodel<-ConcreteEntityMetamodel",0.14285714285714285,8,6,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","axon-modelling-5.1.2","org.axonframework.modelling.entity","ChildAmbiguityException<-ConcreteEntityMetamodel",0.14285714285714285,8,6,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","axon-modelling-5.1.2","org.axonframework.modelling.entity","EntityChildMetamodel<-ConcreteEntityMetamodel$Builder",0.14285714285714285,8,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-Message",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-MessageHandlerInterceptor",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-DefaultMessageDispatchInterceptorChain",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-MessageDispatchInterceptorChain",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-MessageDispatchInterceptor",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-DefaultMessageDispatchInterceptorChain$InterceptingDispatcher",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-MessageHandlerInterceptorChain",0.1111111111111111,10,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","axon-messaging-5.1.2","org.axonframework.messaging.core","ProcessingContext<-SubscribableEventSource",0.1111111111111111,10,8,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","AnnotationBasedEventSourcedEntityFactoryDefinition<-EventSourcedEntity",0,1,1,""
