"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionOverReferencesUtilities.cypher"
"org.axonframework.messaging.Message","Message","axon-messaging-4.12.1",0.028206880838459784,41.04422037196333,210,207,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.12.1",0.029785661492978566,11.737469678941903,165,164,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-messaging-4.12.1",0.005698005698005698,10.685112467685183,27,26,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-messaging-4.12.1",0.022841143530798705,5.480571177088706,117,114,3,""
"org.axonframework.common.TypeReflectionUtils$VarMap","TypeReflectionUtils$VarMap","axon-messaging-4.12.1",0,2.8870904304867264,6,3,3,""
"org.axonframework.common.AxonTransientException","AxonTransientException","axon-messaging-4.12.1",0,2.600629616923374,14,13,1,""
"org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition","XStreamAutoConfiguration$XStreamConfiguredCondition","axon-spring-boot-autoconfigure-4.12.1",0,2.508910243121957,9,5,4,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema$Builder","SagaSchema$Builder","axon-modelling-4.12.1",0,2.4440544167991938,2,1,1,""
"org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$AvroConfiguredCondition","AvroSerializerAutoConfiguration$AvroConfiguredCondition","axon-spring-boot-autoconfigure-4.12.1",0,1.721498412972912,5,3,2,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","axon-messaging-4.12.1",0,1.634704930751102,13,12,1,""
"org.axonframework.common.DefaultIdentifierFactory","DefaultIdentifierFactory","axon-messaging-4.12.1",0,1.539414793011287,2,1,1,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-messaging-4.12.1",0.034408602150537634,1.3896374717758342,31,27,4,""
"org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties","DistributedCommandBusProperties$JGroupsProperties","axon-spring-boot-autoconfigure-4.12.1",0,1.2311085166126343,3,2,1,""
"org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties$Gossip","DistributedCommandBusProperties$JGroupsProperties$Gossip","axon-spring-boot-autoconfigure-4.12.1",0,1.196375540802986,2,1,1,""
"org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$OnMissingDefaultSchemaStoreCondition","AvroSerializerAutoConfiguration$OnMissingDefaultSchemaStoreCondition","axon-spring-boot-autoconfigure-4.12.1",0,1.1309395403611282,3,2,1,""
"org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$OnMissingDefaultSchemaStoreCondition$SchemaStoreIsMissingCondition","AvroSerializerAutoConfiguration$OnMissingDefaultSchemaStoreCondition$SchemaStoreIsMissingCondition","axon-spring-boot-autoconfigure-4.12.1",0,1.1112415689789572,2,1,1,""
"org.axonframework.common.ExceptionUtils","ExceptionUtils","axon-messaging-4.12.1",0.03571428571428571,1.0958959598933808,8,7,1,""
"org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl","TypeReflectionUtils$VarMap$ParameterizedTypeImpl","axon-messaging-4.12.1",0,1.0701806853071543,2,1,1,""
"org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","axon-messaging-4.12.1",0,1.0701806853071543,2,1,1,""
"org.axonframework.axonserver.connector.util.ContextAddingInterceptor","ContextAddingInterceptor","axon-server-connector-4.12.1",0,0.9997042353362876,2,1,1,""
