"codeUnitName","shortCodeUnitName","projectName","betweenness","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionFragileStructuralBridges.cypher"
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.0",9915.865223665227,0.03246160232461602,220,214,6,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.0",9548.700162908986,0.04701588664662946,153,132,21,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.0",6666.769047619046,0.021831616659202868,234,229,5,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.0",4751.992908072319,0.05714285714285714,71,68,3,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-common-5.0.0",4382.404761904764,0.05172413793103448,29,25,4,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.0",4154.451031321619,0.07142857142857142,57,54,3,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.0",2006.4198412698413,0.027942863100823688,139,136,3,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.0",1362,0.07439024390243902,43,41,2,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.0",1108.6499999999999,0.06884057971014493,24,23,1,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.0",742.9452380952382,0.04984779299847793,73,70,3,""
"org.axonframework.messaging.core.configuration.MessagingConfigurationDefaults","MessagingConfigurationDefaults","axon-messaging-5.0.0",717.4222222222222,0.05706214689265537,60,1,59,""
"org.axonframework.axonserver.connector.ErrorCode","ErrorCode","axon-server-connector-5.0.0",709.0333333333333,0.04710144927536232,27,8,19,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.0",652.25,0.04541062801932367,46,45,1,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.0",642,0.08108108108108109,39,38,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.0",591.1333333333334,0,16,15,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-common-5.0.0",486.7575757575758,0.023529411764705882,35,32,3,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.0",410.8666666666667,0.06648936170212766,48,47,1,""
