"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","axon-common-5.0.0",330.5,3,2,1,""
"org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl","TypeReflectionUtils$VarMap$ParameterizedTypeImpl","axon-common-5.0.0",330.5,3,2,1,""
"org.axonframework.messaging.core.annotation.ClasspathHandlerEnhancerDefinition","ClasspathHandlerEnhancerDefinition","axon-messaging-5.0.0",66,3,1,2,""
"org.axonframework.extension.springboot.autoconfig.CBORMapperAutoConfiguration","CBORMapperAutoConfiguration","axon-spring-boot-autoconfigure-5.0.0",62,3,1,2,""
"org.axonframework.axonserver.connector.InstructionAckSource","InstructionAckSource","axon-server-connector-5.0.0",61,2,1,1,""
"org.axonframework.messaging.core.MessageTypeNotResolvedException","MessageTypeNotResolvedException","axon-messaging-5.0.0",54.06666666666665,2,1,1,""
"org.axonframework.messaging.commandhandling.annotation.Command","Command","axon-messaging-5.0.0",51.916666666666664,3,1,2,""
"org.axonframework.messaging.core.EmptyContext","EmptyContext","axon-messaging-5.0.0",39.716666666666676,3,1,2,""
"org.axonframework.test.matchers.IgnoreField","IgnoreField","axon-test-5.0.0",31.333333333333332,3,1,2,""
"org.axonframework.eventsourcing.eventstore.TooManyTagsOnEventMessageException","TooManyTagsOnEventMessageException","axon-eventsourcing-5.0.0",30,3,1,2,""
"org.axonframework.axonserver.connector.query.AxonServerRemoteQueryHandlingException","AxonServerRemoteQueryHandlingException","axon-server-connector-5.0.0",29.33333333333332,3,1,2,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext$Status","UnitOfWork$UnitOfWorkProcessingContext$Status","axon-messaging-5.0.0",26,3,2,1,""
"org.axonframework.modelling.annotation.TargetEntityId","TargetEntityId","axon-modelling-5.0.0",22,2,1,1,""
"org.axonframework.axonserver.connector.command.AxonServerCommandDispatchException","AxonServerCommandDispatchException","axon-server-connector-5.0.0",22,2,1,1,""
"org.axonframework.messaging.tracing.SpanUtils","SpanUtils","axon-messaging-5.0.0",20.5,3,1,2,""
"org.axonframework.test.matchers.MapStringEntryMatcher","MapStringEntryMatcher","axon-test-5.0.0",20,3,1,2,""
"org.axonframework.axonserver.connector.TopologyChangeListener","TopologyChangeListener","axon-server-connector-5.0.0",20,3,2,1,""
"org.axonframework.axonserver.connector.query.AxonServerNonTransientRemoteQueryHandlingException","AxonServerNonTransientRemoteQueryHandlingException","axon-server-connector-5.0.0",18.333333333333336,3,1,2,""
"org.axonframework.axonserver.connector.command.AxonServerNonTransientRemoteCommandHandlingException","AxonServerNonTransientRemoteCommandHandlingException","axon-server-connector-5.0.0",18.333333333333336,3,1,2,""
"org.axonframework.common.ProcessUtils","ProcessUtils","axon-common-5.0.0",17,2,1,1,""
