"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: domains/archetypes/labels/ArchetypeBottleneck.cypher"
"axon-messaging-5.1.1","annotation","org.axonframework.messaging.core.annotation",1349.6,1,""
"axon-messaging-5.1.1","core","org.axonframework.messaging.core",1184.1666666666665,2,""
"axon-messaging-5.1.1","sequencing","org.axonframework.messaging.core.sequencing",452.7333333333333,3,""
"axon-messaging-5.1.1","unitofwork","org.axonframework.messaging.core.unitofwork",392.6666666666667,4,""
"axon-messaging-5.1.1","conversion","org.axonframework.messaging.core.conversion",351.8666666666666,5,""
"axon-messaging-5.1.1","annotation","org.axonframework.messaging.eventhandling.annotation",240.99999999999997,6,""
"axon-messaging-5.1.1","annotation","org.axonframework.messaging.commandhandling.annotation",232.73333333333332,7,""
"axon-eventsourcing-5.1.1","eventstore","org.axonframework.eventsourcing.eventstore",232.39999999999998,8,""
"axon-eventsourcing-5.1.1","store","org.axonframework.eventsourcing.snapshot.store",196,9,""
"axon-messaging-5.1.1","transaction","org.axonframework.messaging.core.unitofwork.transaction",177.66666666666666,10,""
