"artifactName","dependencyTypeIsInterface","artifactDependencies","artifactDependencyPackages","dependentPackagesRate","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: Artifact_Dependencies/Usage_and_spread_of_internal_artifact_dependents.cypher"
"axon-conversion-5.0.2",true,1,1,75,75,75,75,0,75,3,3,3,0,3,23.333333333333336,23.333333333333336,23.333333333333336,0,23.333333333333336,""
"axon-conversion-5.0.2",false,1,2,75,75,75,75,0,75,3,3,3,0,3,20,20,20,0,20,""
"axon-eventsourcing-5.0.2",true,3,25,79.16666666666667,37.5,100,79.16666666666667,36.084391824351606,100,3,8,6.333333333333333,2.886751345948129,8,11.538461538461538,46.15384615384615,28.52564102564103,17.31659315287192,27.884615384615387,""
"axon-eventsourcing-5.0.2",false,3,17,66.66666666666667,25,100,66.66666666666667,38.18813079129867,75,2,8,5.333333333333333,3.0550504633038935,6,3.8461538461538463,31.73076923076923,21.474358974358974,15.334453479366264,28.846153846153847,""
"axon-messaging-5.0.2",true,2,9,41.228070175438596,17.543859649122805,64.91228070175438,41.228070175438596,33.49453174041541,17.543859649122805,10,37,23.5,19.091883092036785,10,5.263157894736842,19.82456140350877,12.543859649122806,10.296467164646218,5.263157894736842,""
"axon-messaging-5.0.2",false,2,8,47.368421052631575,7.017543859649122,87.71929824561403,47.368421052631575,57.06475777996699,7.017543859649122,4,50,27,32.526911934581186,4,0.7017543859649122,36.84210526315789,18.7719298245614,25.555087179724346,0.7017543859649122,""
"axon-modelling-5.0.2",true,2,14,100,100,100,100,0,100,7,7,7,0,7,33.33333333333333,47.31182795698925,40.32258064516129,9.884288339166797,33.33333333333333,""
"axon-modelling-5.0.2",false,2,10,92.85714285714286,85.71428571428572,100,92.85714285714286,10.101525445522102,85.71428571428572,6,7,6.5,0.7071067811865476,6,23.655913978494624,24.731182795698924,24.193548387096776,0.7603298722436,23.655913978494624,""
"axon-server-connector-5.0.2",true,3,19,66.66666666666667,40,80,66.66666666666667,23.09401076758503,80,2,4,3.3333333333333335,1.1547005383792515,4,11.11111111111111,34.72222222222222,19.90740740740741,12.904962837746623,13.88888888888889,""
"axon-server-connector-5.0.2",false,3,17,73.33333333333334,40,100,73.33333333333333,30.550504633038933,80,2,5,3.6666666666666665,1.5275252316519468,4,11.11111111111111,38.888888888888886,26.38888888888889,14.095682729294749,29.166666666666664,""
"axon-spring-boot-autoconfigure-5.0.2",true,2,5,28.571428571428573,28.571428571428573,28.571428571428573,28.571428571428573,0,28.571428571428573,2,2,2,0,2,5.555555555555555,22.22222222222222,13.888888888888888,11.785113019775793,5.555555555555555,""
"axon-spring-boot-autoconfigure-5.0.2",false,3,12,33.333333333333336,28.571428571428573,42.85714285714286,33.333333333333336,8.247860988423227,28.571428571428573,2,3,2.3333333333333335,0.5773502691896258,2,4.166666666666666,11.11111111111111,7.407407407407407,3.4952937200327545,6.944444444444445,""
"axon-test-5.0.2",true,2,12,60,40,80,60,28.284271247461902,40,2,4,3,1.4142135623730951,2,20.54794520547945,41.0958904109589,30.821917808219176,14.529591394244127,20.54794520547945,""
"axon-test-5.0.2",false,2,6,70,40,100,70,42.42640687119285,40,2,5,3.5,2.1213203435596424,2,12.32876712328767,17.80821917808219,15.06849315068493,3.8745577051317657,12.32876712328767,""
"axon-update-5.0.2",false,1,2,100,100,100,100,0,100,5,5,5,0,5,86.95652173913044,86.95652173913044,86.95652173913044,0,86.95652173913044,""
