"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling",7,22,165,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection",7,6,165,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway",7,5,165,1,""
"axon-common-5.0.3","org.axonframework.common.lifecycle",7,4,165,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion",7,2,165,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.conversion",7,2,165,1,""
"axon-test-5.0.3","org.axonframework.test.matchers",4,23,125,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception",4,21,125,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util",4,12,125,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query",4,11,125,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay.annotation",4,10,125,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command",4,6,125,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway",4,5,125,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion",4,2,125,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation",8,51,106,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore",8,44,106,1,""
"axon-common-5.0.3","org.axonframework.common",8,31,106,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception",8,21,106,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",8,18,106,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation",8,17,106,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation",8,11,106,1,""
"axon-conversion-5.0.3","org.axonframework.conversion",8,9,106,1,""
"axon-common-5.0.3","org.axonframework.common.infra",8,8,106,1,""
"axon-common-5.0.3","org.axonframework.common.util",8,6,106,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception",8,6,106,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway",8,2,106,1,""
"axon-test-5.0.3","org.axonframework.test.fixture",2,32,99,1,""
"axon-common-5.0.3","org.axonframework.common",2,31,99,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry",2,13,99,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation",2,10,99,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.conversion",2,2,99,1,""
"axon-test-5.0.3","org.axonframework.test.fixture",3,32,92,1,""
"axon-common-5.0.3","org.axonframework.common",3,31,92,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled",3,24,92,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.configuration",3,14,92,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation",3,10,92,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception",3,6,92,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway",3,2,92,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core",10,78,79,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",10,40,79,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",10,19,79,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork",10,15,79,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction",10,5,79,1,""
"axon-common-5.0.3","org.axonframework.common",12,31,78,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",12,19,78,1,""
"axon-common-5.0.3","org.axonframework.common.jdbc",12,11,78,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token",12,8,78,1,""
"axon-common-5.0.3","org.axonframework.common.jpa",12,4,78,1,""
"axon-common-5.0.3","org.axonframework.common.configuration",0,46,73,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",0,40,73,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",0,16,73,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",0,12,73,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing",0,11,73,1,""
"axon-test-5.0.3","org.axonframework.test.util",0,11,73,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.tracing",0,7,73,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway",0,5,73,1,""
"axon-test-5.0.3","org.axonframework.test",0,4,73,1,""
"axon-test-5.0.3","org.axonframework.test.extension",0,4,73,1,""
"axon-test-5.0.3","org.axonframework.test.matchers",1,23,63,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child",1,14,63,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa",1,12,63,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation",1,7,63,1,""
"axon-common-5.0.3","org.axonframework.common.util",1,6,63,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay",1,4,63,1,""
"axon-common-5.0.3","org.axonframework.common.annotation",1,3,63,1,""
"axon-test-5.0.3","org.axonframework.test.server",1,2,63,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",5,19,62,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing",5,3,62,1,""
"axon-test-5.0.3","org.axonframework.test.server",5,2,62,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",9,40,52,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",9,16,52,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation",9,10,52,1,""
"axon-common-5.0.3","org.axonframework.common.util",9,6,52,1,""
"axon-common-5.0.3","org.axonframework.common.annotation",9,3,52,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation",6,51,45,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore",6,44,45,1,""
"axon-test-5.0.3","org.axonframework.test.matchers",6,23,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling",6,22,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception",6,21,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",6,18,45,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",6,16,45,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa",6,12,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay",6,4,45,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",11,40,44,1,""
"axon-common-5.0.3","org.axonframework.common",11,31,44,1,""
"axon-common-5.0.3","org.axonframework.common.annotation",11,3,44,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception",11,3,44,1,""
"axon-common-5.0.3","org.axonframework.common",18,31,14,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector",18,27,14,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",7,40,165,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling",7,18,165,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation",7,18,165,2,""
"axon-modelling-5.0.3","org.axonframework.modelling",7,16,165,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration",7,14,165,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing",7,6,165,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",4,18,125,2,""
"axon-conversion-5.0.3","org.axonframework.conversion",4,9,125,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation",4,6,125,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.tracing",4,5,125,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay",4,4,125,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query",8,11,106,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.tracing",8,6,106,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core",2,78,99,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util",2,12,99,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing",2,11,99,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",3,18,92,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation",3,11,92,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway",3,5,92,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventstreaming",10,16,79,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",10,12,79,2,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",12,40,78,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation",12,10,78,2,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util",12,7,78,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event",0,14,73,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception",0,3,73,2,""
"axon-common-5.0.3","org.axonframework.common.configuration",5,46,62,2,""
