"communityId","artifactCount","packageCount","typeCount","artifactNames","packageNames","typeNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Which_type_community_spans_several_artifacts_and_how_are_the_types_distributed.cypher"
4,8,34,120,"axon-common-5.0.3,axon-conversion-5.0.3,axon-eventsourcing-5.0.3,axon-metrics-micrometer-5.0.3,axon-tracing-opentelemetry-5.0.3,axon-messaging-5.0.3,axon-test-5.0.3,axon-server-connector-5.0.3","common,conversion,annotation,micrometer,reservoir,opentelemetry,commandhandling,gateway,tracing,core,correlation,interception,sequencing,eventhandling,replay,queryhandling,attributes,matchers,util,connector,command,query","IdentifierFactory,ObjectUtils,DefaultIdentifierFactory,Converter,CachingSupplier,EventSourcingHandler,TagsUtil,CapacityMonitor$1,MessageCountingMonitor,CapacityMonitor,MessageCountingMonitor$1,SlidingTimeWindowReservoir,OpenTelemetrySpanFactory$Builder,MetadataContextSetter,OpenTelemetrySpanFactory,MetadataContextGetter,OpenTelemetrySpan,GenericCommandResultMessage,GenericCommandMessage,CommandResultMessage,CommandHandler,FutureCommandResult,DefaultCommandGateway,CommandResult,ConvertingCommandGateway$ConvertingCommandResult,DefaultCommandBusSpanFactory$Builder,DefaultCommandBusSpanFactory,MessageTypeResolver,SimpleHandlerAttributes,ResultMessage,ConversionCache,HierarchicalMessageTypeResolver,ConversionCache$Target,GenericMessage,ClassBasedMessageTypeResolver,NamespaceMessageTypeResolver$Builder,NamespaceMessageTypeResolver,Message,MessageTypeNotResolvedException,MessageType,AbstractMessage,MessageDecorator,GenericResultMessage,DefaultParameterResolverFactory$MessageParameterResolver,HasHandlerAttributes,AnnotationMessageTypeResolver,DefaultParameterResolverFactory$MetadataParameterResolver,MessageHandler,AnnotatedHandlerAttributes,DefaultParameterResolverFactory,MessageHandlerTimeout,HandlerAttributes,AnnotatedMessageHandlingMemberDefinition,HandlerTypeResolver,MethodInvokingMessageHandlingMember,DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver,AnnotationMessageTypeResolver$AnnotationSpecification,PayloadParameterResolver,MessageStreamResolverUtils,MetadataValue,DelegatingMessageConverter,MessageOriginProvider,LoggingInterceptor,MessageHandlerInterceptor,ResultHandler,ExceptionHandler,FullConcurrencyPolicy,ExtractionSequencingPolicy,MetadataSequencingPolicy,NoOpSequencingPolicy,TerminalEventMessage,GenericEventMessage,EventHandler,EventPublishingUtils,GenericResetContext,ResetContext,ResetHandler,DefaultEventBusSpanFactory,TracingEventHandlingComponent,DefaultEventProcessorSpanFactory$Builder,DefaultEventProcessorSpanFactory,EventProcessorSpanFactory,DefaultEventBusSpanFactory$Builder,GenericQueryResponseMessage,GenericQueryMessage,GenericSubscriptionQueryUpdateMessage,QueryHandler,DefaultQueryUpdateEmitterSpanFactory,DefaultQueryBusSpanFactory$Builder,DefaultQueryUpdateEmitterSpanFactory$Builder,DefaultQueryBusSpanFactory,NoOpSpanFactory,Span,SpanAttributesProvider,NoOpSpanFactory$NoOpSpan,SpanFactory,MultiSpanFactory$MultiSpan,SpanUtils,SpanScope,MultiSpanFactory,PayloadTypeSpanAttributesProvider,AggregateIdentifierSpanAttributesProvider,MessageTypeSpanAttributesProvider,MessageIdSpanAttributesProvider,MessageNameSpanAttributesProvider,MetadataSpanAttributesProvider,PayloadsMatcher,MessageMonitorReport$Report$Ignored,RecordingMessageMonitor,RecordingMessageMonitor$1,MessageMonitorReport,MessageMonitorReport$Report$Success,MessageMonitorReport$Report,MessageMonitorReport$Report$Failure,MetadataConverter$1,TargetContextResolver,MetadataConverter,CommandConverter,QueryConverter,ProcessingInstructionUtils",""
0,6,18,80,"axon-common-5.0.3,axon-spring-boot-autoconfigure-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-test-5.0.3,axon-server-connector-5.0.3","configuration,autoconfig,core,correlation,sequencing,eventhandling,gateway,interception,segmenting,tracing,modelling,test,extension,fixture,matchers,util,event","AxonConfiguration,AxonAutoConfiguration,Metadata,LegacyResources,Metadata$MetadataCollector,SimpleCorrelationDataProvider,SequentialPerAggregatePolicy,EventSink,InterceptingEventSink,EventMessage,InterceptingEventBus,DelegatingEventBus,EventBus,EventBusConfigurationDefaults,EventAppender,DefaultEventGateway,ProcessingContextEventAppender,EventMessageHandlerInterceptorChain,EventMessageHandlerInterceptorChain$InterceptingHandler,SegmentMatcher,EventBusSpanFactory,PayloadBasedEntityEvolver,AxonAssertionError,AxonFrameworkExtension,AxonTestWhen$Event,RecordingComponentsRegistry,AxonTestGiven,AxonTestPhase$Then,CommandValidator,AxonTestFixture,AxonTestPhase$Then$Nothing,AxonTestPhase$When$Nothing,AxonTestWhen$Nothing,AxonTestPhase$When$Event,AxonTestPhase$Then$Command,AxonTestThenNothing,AxonTestPhase$Given,AxonTestThenCommand,AxonTestThenEvent,MessagesRecordingConfigurationEnhancer,AxonTestWhen$Command,AxonTestPhase$Then$MessageAssertions,AxonTestPhase$When$Command,AxonTestPhase$Then$Event,AxonTestPhase$Setup,AxonTestThenMessage,AxonTestFixture$Customization,AxonTestPhase,AxonTestPhase$Then$Message,RecordingEventSink,RecordingEventBus,AxonTestWhen,AxonTestPhase$When,Reporter,ExactClassMatcher,Matchers,ListMatcher,SequenceMatcher,ListWithAnyOfMatcher,EmptyCollectionMatcher,FieldFilter,EqualsMatcher,DeepEqualsMatcher,ListWithAllOfMatcher,PredicateMatcher,ExactSequenceMatcher,MapStringEntryMatcher$Matching,MatchAllFieldFilter,NonTransientFieldsFilter,AllFieldsFilter,MapStringEntryMatcher,NonStaticFieldsFilter,NullOrVoidMatcher,PayloadMatcher,DescriptionUtils,AggregateBasedAxonServerEventStorageEngine,StreamingEventMessageStream,AxonServerMessageStream,AggregateBasedAxonServerEventStorageEngine$AggregateSource,TaggedEventConverter",""
3,6,23,88,"axon-eventsourcing-5.0.3,axon-spring-boot-autoconfigure-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-test-5.0.3,axon-common-5.0.3","eventsourcing,configuration,eventstore,autoconfig,gateway,interception,core,annotation,unitofwork,transaction,eventhandling,pooled,monitoring,queryhandling,modelling,repository,fixture,common","EventSourcingRepository,EntityMissingAfterFirstEventException,EventSourcingRepository$EventSourcedEntity,EntityMissingAfterLoadOrCreateException,EventSourcingConfigurationDefaults,EventStorageEngine,InterceptingEventStore$InterceptingAppender,EventStoreTransaction,EventStore,StorageEngineBackedEventStore,MultiTagResolver,InterceptingEventStore$InterceptingEventStoreTransaction,InterceptingEventStore,TagResolver,NoOpTransactionAutoConfiguration,JdbcTransactionAutoConfiguration,JpaTransactionAutoConfiguration,ConvertingCommandGateway,CommandDispatcher,CommandGateway,ContextAwareCommandDispatcher,CommandSequencingInterceptor,SimpleContext,Context$ResourceKey,ApplicationContext,MessageHandlerInterceptorChain,EmptyContext,InterceptorChainParameterResolverFactory,SourceIdParameterResolverFactory$SourceIdParameterResolver,AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,ResultParameterResolverFactory,ResultParameterResolverFactory$ExceptionResultParameterResolver,UnitOfWork$UnitOfWorkProcessingContext,UnitOfWork$UnitOfWorkProcessingContext$CauseAndPhase,UnitOfWork,TransactionalUnitOfWorkFactory,ProcessingLifecycle$Phase,ProcessingContext,UnitOfWorkConfiguration,UnitOfWork$UnitOfWorkProcessingContext$Status,ProcessingLifecycle$ErrorHandler,SimpleUnitOfWorkFactory,ProcessingLifecycle$DefaultPhases,ResourceOverridingProcessingContext,ProcessingLifecycle,LegacyMessageSupportingContext,ProcessingContextParameterResolverFactory$ProcessingContextParameterResolver,ProcessingContextParameterResolverFactory,TransactionManager,NoTransactionManager,Transaction,NoTransactionManager$1,SimpleEventBus,EventSubscribers,EventSchedulingProcessingContext,MessageMonitor$MonitorCallback,MultiMessageMonitor$1,NoOpMessageMonitorCallback,MonitoringEventDispatchInterceptor,MonitoringSubscriptionQueryUpdateDispatchInterceptor,MonitoringEventHandlerInterceptor,MonitoringCommandHandlerInterceptor,MonitoringQueryHandlerInterceptor,QueryUpdateEmitter,QueryUpdateEmitterParameterResolverFactory,QueryUpdateEmitterParameterResolverFactory$1,QueryGateway,EntityEvolvingComponent,RepositoryAlreadyRegisteredException,EntityEvolver,LoadedEntityNotOfExpectedTypeException,SimpleStateManager,SimpleEntityEvolvingComponent,MissingRepositoryException,StateManager,HierarchicalStateManagerConfigurationEnhancer,HierarchicalStateManager,InjectEntityParameterResolver,Repository$LifecycleManagement,SimpleRepositoryEntityLoader,Repository,InMemoryRepository,SimpleRepository$SimpleEntity,SimpleRepository,ManagedEntity,SimpleRepositoryEntityPersister,RecordingEventStore,DirectExecutor",""
7,6,18,46,"axon-common-5.0.3,axon-eventsourcing-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-test-5.0.3,axon-server-connector-5.0.3","common,infra,eventstore,jpa,commandhandling,core,annotation,interception,retry,eventhandling,replay,queryhandling,modelling,matchers,connector,command,query,util","ExceptionUtils,ProcessUtils,AxonNonTransientException,AxonException,ProcessRetriesExhaustedException,FilesystemStyleComponentDescriptor,DescribableComponent,FilesystemStyleComponentDescriptor$TreeRenderer$RenderContext,FilesystemStyleComponentDescriptor$TreeRenderer,ComponentDescriptorException,JacksonComponentDescriptor,FilesystemStyleComponentDescriptor$SymbolicLink,EventStoreException,SQLStateResolver,CommandDispatchException,CommandExecutionException,EventPublicationFailedException,RemoteNonTransientHandlingException,RemoteHandlingException,HandlerExecutionException,IllegalPayloadAccessException,RemoteExceptionDescription,MessageHandlerInvocationException,JSR303ViolationException,NonTransientExceptionClassesPredicate,AxonNonTransientExceptionClassesPredicate,TransactionMethodExecutionException,ResetNotSupportedException,QueryExecutionException,CompletedEmitterException,ConcurrencyException,MatcherExecutionException,AxonServerException,ErrorCode,InstructionAckSource,ErrorCode$ExceptionBuilder,DefaultInstructionAckSource,AxonServerRemoteCommandHandlingException,AxonServerCommandDispatchException,AxonServerNonTransientRemoteCommandHandlingException,AxonServerRemoteQueryHandlingException,AxonServerQueryDispatchException,QueryUpdateMessageStream,AxonServerNonTransientRemoteQueryHandlingException,GrpcExceptionParser,ExceptionConverter",""
8,6,28,158,"axon-eventsourcing-5.0.3,axon-metrics-micrometer-5.0.3,axon-spring-boot-autoconfigure-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-common-5.0.3","eventsourcing,annotation,reflection,configuration,micrometer,springboot,autoconfig,commandhandling,core,conversion,correlation,interception,gateway,monitoring,queryhandling,modelling,common,lifecycle","EventSourcedEntityFactory,CriteriaResolver,EventSourcedEntityFactoryDefinition,EventSourcedEntity,AnnotationBasedEventCriteriaResolverDefinition,CriteriaResolverDefinition,AnnotationBasedEventSourcedEntityFactoryDefinition,SimpleEventSourcedEntityModule$3,SimpleEventSourcedEntityModule$1,SimpleEventSourcedEntityModule$5,SimpleEventSourcedEntityModule$2,SimpleEventSourcedEntityModule$4,EventSourcedEntityModule$MessagingModelPhase,EventSourcedEntityModule,AnnotatedEventSourcedEntityModule,EventSourcedEntityModule$CriteriaResolverPhase,SimpleEventSourcedEntityModule,EventSourcedEntityModule$EntityFactoryPhase,EventSourcingConfigurer,EventSourcedEntityModule$EntityIdResolverPhase,EventProcessorLatencyMonitor$Builder,MessageTimerMonitor$1,MessageTimerMonitor,MetricsConfigurationEnhancer,EventProcessorLatencyMonitor,MessageTimerMonitor$Builder,MetricsProperties,MetricsProperties$Micrometer,MicrometerMetricsAutoConfiguration,MicrometerMetricsAutoConfiguration$1,InterceptorAutoConfiguration,CorrelationDataProviderAutoConfiguration,CommandPriorityCalculator,RoutingStrategy,MessageDispatchInterceptor,MessageHandlerInterceptor,MessageDispatchInterceptorChain,ConfigurationApplicationContext,MessagingConfigurer,MessagingConfigurationDefaults,ConfigurationParameterResolverFactory,MessageConverter,DefaultCorrelationDataProviderRegistry,MultiCorrelationDataProvider,CorrelationDataProviderRegistry,CorrelationDataProvider,DefaultHandlerInterceptorRegistry$2,DispatchInterceptorFactory,DefaultDispatchInterceptorRegistry$1,DefaultDispatchInterceptorRegistry$3,HandlerInterceptorFactory,DispatchInterceptorRegistry,DefaultDispatchInterceptorRegistry$4,DefaultDispatchInterceptorRegistry$5,DefaultHandlerInterceptorRegistry$3,DefaultHandlerInterceptorRegistry$GenericInterceptorDefinition,DefaultHandlerInterceptorRegistry,DefaultDispatchInterceptorRegistry,DefaultHandlerInterceptorRegistry$4,DefaultHandlerInterceptorRegistry$1,HandlerInterceptorRegistry,DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition,CorrelationDataInterceptor,DefaultDispatchInterceptorRegistry$2,SubscribableEventSourceDefinition,DelegatingEventConverter,EventGateway,NoOpMessageMonitor,MessageMonitor,MultiMessageMonitor,DefaultMessageMonitorRegistry$1,DefaultMessageMonitorRegistry$3,DefaultMessageMonitorRegistry,DefaultMessageMonitorRegistry$GenericMonitorDefinition,MessageMonitorFactory,DefaultMessageMonitorRegistry$4,DefaultMessageMonitorRegistry$5,DefaultMessageMonitorRegistry$2,MessageMonitorRegistry,QueryHandlingComponent,SimpleQueryHandlingComponent,QueryPriorityCalculator,QueryHandlingModule$SetupPhase,QueryHandlingModule,SimpleQueryHandlingModule,QueryHandlingModule$QueryHandlerPhase,EntityIdResolver,EntityIdResolutionException,AnnotationBasedEntityIdResolverDefinition,AnnotationBasedEntityIdResolver,EntityIdResolverDefinition,InjectEntityParameterResolverFactory,TargetEntityId,InjectEntityParameterResolverFactoryConfigurationEnhancer,InjectEntity,ModellingConfigurer,StateBasedEntityModule$RepositoryPhase,SimpleStateBasedEntityModule$2,StateBasedEntityModule$MessagingMetamodelPhase,StateBasedEntityModule$PersisterPhase,StateBasedEntityModule$EntityIdResolverPhase,SimpleStateBasedEntityModule$3,SimpleStateBasedEntityModule,EntityModule,StateBasedEntityModule,EntityMetamodelConfigurationBuilder,ModellingConfigurationDefaults,SimpleStateBasedEntityModule$1,AnnotatedEntityIdResolver,AnnotatedEntityIdResolverDefinition,ConstructorUtils,TypeReference$2,TypeReference$1,TypeReference,HierarchicalConfiguration,DefaultDecoratorDefinition,DecoratorDefinition,ComponentDefinition$2,LazyInitializedComponentDefinition,LifecycleHandler,DefaultAxonApplication,ApplicationConfigurer,ComponentRegistry,ComponentDefinition$ComponentCreator,ComponentBuilder,DecoratorDefinition$2,ComponentDefinition$1,AbstractComponent,DefaultComponentRegistry$LocalConfiguration,BaseModule,ComponentDefinition,OverridePolicy,DecoratedComponent,Components,DefaultAxonApplication$LifecycleState,InstantiatedComponentDefinition,Module,DefaultAxonApplication$AxonConfigurationImpl,Component,ComponentOverrideException,ComponentDefinition$IncompleteComponentDefinition,AmbiguousComponentMatchException,DefaultComponentRegistry,LifecycleRegistry,DecoratorDefinition$CompletedDecoratorDefinition,ComponentDecorator,DuplicateModuleRegistrationException,Component$Identifier,ComponentFactory,DecoratorDefinition$PartialDecoratorDefinition,ModuleBuilder,ComponentNotFoundException,ComponentLifecycleHandler,ConfigurationEnhancer,Configuration,DecoratorDefinition$1,AbstractComponent$HandlerRegistration,LifecycleHandlerInvocationException",""
1,5,20,73,"axon-eventsourcing-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-test-5.0.3,axon-common-5.0.3","annotation,reflection,jpa,replay,child,test,extension,matchers,common,digest,io,util","EventCriteriaBuilder,AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod,AnnotationBasedEventCriteriaResolver,AnnotationBasedEventSourcedEntityFactory$IdTypeParameterResolver,EntityCreator,AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator,AnnotationBasedEventSourcedEntityFactory,InjectEntityId,SQLErrorCodesResolver,AnnotationRoutingStrategy,AnnotationRoutingStrategy$RoutingKeyResolver,CommandDispatcherParameterResolverFactory,CommandDispatcherParameterResolverFactoryConfigurationEnhancer,CommandDispatcherParameterResolverFactory$1,Command,HierarchicalParameterResolverFactory,Message,MessageIdentifierParameterResolverFactory$MessageIdentifierParameterResolver,MultiParameterResolverFactory,MessageIdentifierParameterResolverFactory,FixedValueParameterResolver,AggregateTypeParameterResolverFactory,AggregateType,SourceIdParameterResolverFactory,SourceId,ParameterResolver,SimpleResourceParameterResolverFactory,ParameterResolverFactory,MessageIdentifier,ClasspathParameterResolverFactory,AbstractAnnotatedParameterResolverFactory,ParameterResolverFactoryUtils,ConfigurationParameterResolverConfigurationEnhancer,ClasspathParameterResolverConfigurationEnhancer,HierarchicalParameterResolverFactoryConfigurationEnhancer,TimestampParameterResolverFactory$TimestampParameterResolver,TimestampParameterResolverFactory,SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,EventAppenderParameterResolverFactoryConfigurationEnhancer,Timestamp,SequenceNumberParameterResolverFactory,SequenceNumber,EventAppenderParameterResolverFactory,Event,EventAppenderParameterResolverFactory$1,ReplayStatus,ReplayParameterResolverFactory$ReplayParameterResolver,ReplayContextParameterResolverFactory,ReplayParameterResolverFactory,ReplayContext,ReplayContextParameterResolverFactory$ReplayContextParameterResolver,QueryResponse,Query,FieldChildEntityFieldDefinition,FixtureResourceParameterResolverFactory,FixtureExecutionException,FixtureResourceParameterResolverFactory$FailingParameterResolver,AxonTestFixtureProvider,ProvidedAxonTestFixture,ProvidedAxonTestFixtureUtils,IgnoreField,ReflectionUtils,TypeReflectionUtils$VarMap$UnresolvedTypeVariableException,TypeReflectionUtils,TypeReflectionUtils$VarMap,TypeReflectionUtils$VarMap$ParameterizedTypeImpl,Priority,IdentifierValidator,AxonConfigurationException,AnnotationUtils,Digester,IOUtils,MavenArtifactVersionResolver",""
2,5,21,94,"axon-common-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-test-5.0.3,axon-server-connector-5.0.3","common,property,util,commandhandling,configuration,distributed,interception,retry,tracing,core,sequencing,conversion,modelling,annotation,entity,child,fixture","StringUtils,DirectPropertyAccessStrategy,PropertyAccessException,PropertyAccessStrategy,BeanPropertyAccessStrategy,AbstractMethodPropertyAccessStrategy,MethodAccessedProperty,Property,UniformPropertyAccessStrategy,DirectlyAccessedProperty,PriorityTask,PriorityRunnable,PriorityCallable,DuplicateCommandHandlerSubscriptionException,MetadataRoutingStrategy,CommandMessage,NoHandlerForCommandException,SimpleCommandBus,CommandHandlingComponent,CommandBus,SimpleCommandHandlingComponent,CommandHandlerRegistry,UnresolvedRoutingKeyPolicy,CommandHandler,CommandHandlingModule$CommandHandlerPhase,CommandHandlingModule,SimpleCommandHandlingModule,CommandHandlingModule$SetupPhase,DistributedCommandBus,DistributedCommandBus$DistributedHandler,InterceptingCommandBus,InterceptingCommandBus$InterceptingHandler,CommandMessageHandlerInterceptorChain$InterceptingHandler,CommandMessageHandlerInterceptorChain,RetryingCommandBus,CommandBusSpanFactory,TracingCommandBus$TracingHandler,TracingCommandBus,QualifiedName,MessageHandler,RetryScheduler,RoutingKeySequencingPolicy,PropertySequencingPolicy,EventConverter,PropertyBasedEntityIdResolver,TargetEntityIdMemberMismatchException,PolymorphicEntityMetamodel$Builder,EntityMetamodel,PolymorphicEntityMetamodel,EntityCommandHandler,PolymorphicEntityMetamodelBuilder,EntityAlreadyExistsForCreationalCommandHandlerException,EntityMissingForInstanceCommandHandlerException,ConcreteEntityMetamodel,ConcreteEntityMetamodel$Builder,EntityMetamodelBuilder,ChildEntityNotFoundException,WrongPolymorphicEntityTypeException,EntityCommandHandlingComponent,CommandTargetResolverDefinition,ListEntityChildModelDefinition,UnknownRoutingKeyException,RoutingKeyUtils,RoutingKeyEventTargetMatcher,EventTargetMatcherDefinition,EntityMember,AnnotatedEntityModelRoutingKeyMatcher,AnnotatedEntityMetamodel,RoutingKeyCommandTargetResolverDefinition,AnnotatedEntityMetamodelFactory,EntityChildModelDefinition,AbstractEntityChildModelDefinition,SingleEntityChildModelDefinition,RoutingKeyEventTargetMatcherDefinition,RoutingKeyCommandTargetResolver,AbstractEntityChildMetamodel,AbstractEntityChildMetamodel$Builder,ListEntityChildMetamodel,SingleEntityChildMetamodel,ListEntityChildMetamodel$Builder,EventTargetMatcher,GetterEvolverChildEntityFieldDefinition,ChildEntityFieldDefinition,ChildAmbiguityException,EntityChildMetamodel,GetterSetterChildEntityFieldDefinition,CommandTargetResolver,SingleEntityChildMetamodel$Builder,RecordingCommandBus,CallbackBehavior,DefaultCallbackBehavior,PriorityTaskSchedulers,PriorityExecutorService",""
5,5,20,67,"axon-common-5.0.3,axon-spring-boot-autoconfigure-5.0.3,axon-messaging-5.0.3,axon-test-5.0.3,axon-server-connector-5.0.3","common,configuration,lifecycle,util,springboot,actuator,axonserver,autoconfig,connection,distributed,processing,streaming,segmenting,server,connector,command,event,query","AxonThreadFactory,DefaultComponentRegistry$1,SearchScope,ShutdownLatch$ActivityHandle,ShutdownInProgressException,ShutdownLatch,ExecutorServiceFactory,TagsConfigurationProperties,HealthStatus,AxonServerStatusAggregator,AxonServerHealthIndicator,AxonServerActuatorAutoConfiguration,AxonServerAutoConfiguration,AxonServerAutoConfiguration$1,AxonServerConnectionDetails,AxonServerTestContainerConnectionDetailsFactory,AxonServerTestContainerConnectionDetailsFactory$AxonServerContainerConnectionDetails,AxonServerDockerComposeConnectionDetailsFactory,DistributedCommandBusConfiguration,PayloadConvertingCommandBusConnector,CommandBusConnector$Handler,DelegatingCommandBusConnector,PayloadConvertingCommandBusConnector$ConvertingResultMessageCallback,CommandBusConnector$ResultCallback,DistributedCommandBusConfigurationEnhancer,CommandBusConnector,EventProcessor,StreamingEventProcessor,WrappedTrackerStatus,RemovedTrackerStatus,EventTrackerStatusChangeListener,AddedTrackerStatus,EventTrackerStatus,DistributedQueryBusConfiguration,AxonServerContainer,TagsConfiguration,AxonServerConfiguration$EventStoreConfiguration,TopologyChange,TopologyChange$Type,AxonServerConfiguration$Builder,TopologyChange$HandlerSubscription,AxonServerConfiguration$HeartbeatConfiguration,TopologyChangeListener,AxonServerConfiguration,AxonServerConnectionManager,AxonServerConfigurationEnhancer,AxonServerConfiguration$Eventhandling,ManagedChannelCustomizer,ConnectionManager,AxonServerConnectionManager$Builder,AxonServerConfiguration$Eventhandling$ProcessorSettings,TopologyChange$1,AxonServerConfiguration$FlowControlConfiguration,AxonServerCommandBusConnector,AxonServerCommandBusConnector$FutureResultCallback,EventProcessorInfoUtils,EventProcessorControlService,EventProcessorControlService$AxonProcessorInstructionHandler,AxonServerQueryBusConnector$LocalSegmentAdapter,QueryResponseMessageStream,AxonServerQueryBusConnector,AxonServerQueryBusConnector$AxonServerUpdateCallback,GrpcMessageSizeInterceptor,GrpcMessageSizeInterceptor$1$1,GrpcMessageSizeInterceptor$1,GrpcMessageSizeExceededException,GrpcMessageSizeWarningThresholdReachedException",""
13,5,13,78,"axon-common-5.0.3,axon-eventsourcing-5.0.3,axon-spring-boot-autoconfigure-5.0.3,axon-messaging-5.0.3,axon-server-connector-5.0.3","common,jdbc,jpa,annotation,eventstore,inmemory,springboot,autoconfig,util,token,eventstreaming,event","CollectionUtils,PersistenceExceptionResolver,FactoryBasedEntityManagerProvider,EventTags,EventTag,NoAppendCondition,GlobalIndexConsistencyMarker,EventCoordinator$1,DefaultAppendCondition,Position,EventCoordinator$Handle,ConsistencyMarker,AnnotationBasedTagResolver,PayloadBasedTagResolver,ConsistencyMarkers,DefaultSourcingCondition,EventStorageEngine$AppendTransaction,GenericTaggedEventMessage,AggregateBasedConsistencyMarker,TaggedEventMessage,TooManyTagsOnEventMessageException,ConsistencyMarkers$InfinityConsistencyMarker,GlobalIndexPosition,DefaultEventStoreTransaction,ConsistencyMarkers$OriginConsistencyMarker,AggregateBasedConsistencyMarker$AggregateSequencer,AppendEventsTransactionRejectedException,StartPosition,AggregateBasedEventStorageEngineUtils,AnnotationBasedTagResolver$TagResolutionException,MetadataBasedTagResolver,EmptyAppendTransaction,AppendCondition,StreamSpliterator,AggregateSequenceNumberPosition,AbstractConsistencyMarker,SourcingCondition,EventCoordinator,InMemoryEventStorageEngine$1,InMemoryEventStorageEngine$MapBackedMessageStream,InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream,InMemoryEventStorageEngine,InMemoryEventStorageEngine$MapBackedStreamingEventMessageStream,AggregateEventEntry,AggregateBasedJpaEventStorageEngine,AggregateBasedJpaEventStorageEngine$1,AggregateBasedJpaEventStorageEngine$TokenAndEvent,AggregateBasedJpaEventStorageEngineConfiguration,AggregateBasedJpaEventStorageEngine$AggregateSource,GapAwareTrackingTokenOperations,JpaPollingEventCoordinator$1,JpaPollingEventCoordinator,AggregateBasedJpaEventStorageEngine$2,JpaEventStorageEngineConfigurationProperties,JpaEventStoreAutoConfiguration,JpaEventStoreAutoConfiguration$AggregateBasedJpaEventStorageEngineConfigurationEnhancer,RegisterDefaultEntities,DefaultEntityRegistrar,GapAwareTrackingToken,EventCriteria,OrEventCriteria,TagAndTypeFilteredEventCriteria,Tag,EventCriterion,TagFilteredEventCriteria,EventTypeRestrictableOrEventCriteria,StreamingCondition,DefaultStreamingCondition,OrEventCriteriaBuilder,AnyEvent,StartingFrom,EventTypeRestrictableEventCriteria,EventsCondition,AggregateBasedAxonServerEventStorageEngine$1,ConditionConverter,AxonServerEventStorageEngine$AxonServerAppendTransaction,AxonServerEventStorageEngine,AxonServerEventStorageEngineFactory",""
10,4,14,54,"axon-spring-boot-autoconfigure-5.0.3,axon-messaging-5.0.3,axon-modelling-5.0.3,axon-common-5.0.3","autoconfig,annotation,sequencing,eventhandling,tracing,modelling,util","SecurityAutoConfiguration,MethodCommandHandlerDefinition$MethodCommandHandlingMember,CommandHandlingMember,AnnotatedCommandHandlingComponent,MethodCommandHandlerDefinition,ChainedMessageHandlerInterceptorMember,MultiHandlerEnhancerDefinition,HandlerEnhancerDefinition,UnsupportedHandlerException,ClasspathHandlerEnhancerDefinition,AnnotatedHandlerInspector,MessageHandlingMember,SequencingPolicy,HandlerDefinition,AnnotatedHandlerInspector$ExecutableSignature,WrappedMessageHandlingMember,MultiHandlerDefinition,ClasspathHandlerDefinition,HandlerComparator,MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember,MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,NoMoreInterceptors,MessageInterceptingMember,MessageHandlerInterceptorMemberChain,MessageHandlerInterceptorDefinition,FallbackSequencingPolicy,SequentialPolicy,HierarchicalSequencingPolicy,SimpleEventHandlingComponent,EventHandlerRegistry,EventHandler,NoHandlerForEventException,AnnotatedEventHandlingComponent,EventHandlingMember,MethodEventHandlerDefinition$MethodEventMessageHandlingMember,MethodEventHandlerDefinition,MethodSequencingPolicyEventHandlerDefinition,MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember,ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,DisallowReplay,AllowReplay,ReplayAwareMessageHandlerWrapper,QueryHandlingMember,AnnotatedQueryHandlingComponent,MethodQueryHandlerDefinition,MethodQueryHandlerDefinition$MethodQueryHandlingMember,TracingHandlerEnhancerDefinition$Builder,TracingHandlerEnhancerDefinition,TracingHandlerEnhancerDefinition$1,StateEvolvingException,AnnotationBasedEntityEvolvingComponent,PriorityAnnotationComparator,ClasspathResolver",""
