"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: domains/git-history/queries/statistics/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/fixture.client-component","fixture.client-component","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,1,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/fixture.client-component/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/fixture.server-component","fixture.server-component","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,1,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/fixture.server-component/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx","mdx","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,2,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx/route.mdx",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post","mdx-glob.$post","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,8,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts","posts","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post","mdx-glob.$post","Matt Brophy","Mark Dalgleish",,2,7,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts/world/world.mdx",7,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts/hello","hello","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts","posts","Matt Brophy","Mark Dalgleish",,2,3,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts/hello/hello.mdx",8,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts/world","world","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts","posts","Matt Brophy","Mark Dalgleish",,2,3,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob.$post/posts/world/world.mdx",8,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob._index","mdx-glob._index","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,1,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/mdx-glob._index/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/optimistic","optimistic","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,4,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/optimistic/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/server-loader","server-loader","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,2,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/app/routes/server-loader/styles.module.css",6,1,""
"react-router-7.16.0/playground/rsc-vite-7-framework/public","public","react-router-7.16.0/playground/rsc-vite-7-framework","rsc-vite-7-framework","Matt Brophy","Mark Dalgleish",,2,1,4,"2026-03-23","2026-03-23","2026-04-02",67,77,77,"65ee49cfd34783123139408c510ad40482ca0bc1","react-router-7.16.0/playground/rsc-vite-7-framework/public/favicon.ico",4,1,""
"react-router-7.16.0/playground/rsc-vite-framework","rsc-vite-framework","react-router-7.16.0/playground","playground","Matt Brophy","Mark Dalgleish","Jacob Ebey",5,47,48,"2026-03-23","2026-04-21","2026-04-21",48,76,47,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.16.0/playground/rsc-vite-framework/vite.config.ts",3,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app","app","react-router-7.16.0/playground/rsc-vite-framework","rsc-vite-framework","Matt Brophy","Jacob Ebey","Mark Dalgleish",3,38,22,"2026-03-23","2026-04-21","2026-04-21",48,76,47,"f533d2e286bfa45e583db6d1a17a9ca9ded34d52","react-router-7.16.0/playground/rsc-vite-framework/app/routes/server-loader/styles.module.css",4,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","react-router-7.16.0/playground/rsc-vite-framework/app","app","Matt Brophy","Mark Dalgleish","Jacob Ebey",3,32,16,"2026-02-05","2026-04-21","2026-04-21",48,122,47,"f533d2e286bfa45e583db6d1a17a9ca9ded34d52","react-router-7.16.0/playground/rsc-vite-framework/app/routes/server-loader/styles.module.css",5,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/_index","_index","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,3,3,"2025-07-28","2025-07-28","2025-08-07",305,315,315,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/_index/styles.css",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/client-loader","client-loader","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish","Jacob Ebey",3,2,6,"2025-07-28","2026-04-21","2026-04-21",48,315,47,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/client-loader/styles.module.css",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/client-loader-hydrate","client-loader-hydrate","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish","Jacob Ebey",3,2,6,"2025-07-28","2026-04-21","2026-04-21",48,315,47,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/client-loader-hydrate/styles.module.css",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/client-loader-without-server-loader","client-loader-without-server-loader","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish","Jacob Ebey",3,2,6,"2025-07-28","2026-04-21","2026-04-21",48,315,47,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/client-loader-without-server-loader/styles.module.css",6,1,""
