"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.12.1","org.axonframework.common.legacyjpa",9,4,132,3,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector",0,30,129,3,""
"axon-test-4.12.1","org.axonframework.test.utils",6,4,119,3,""
"axon-messaging-4.12.1","org.axonframework.queryhandling",11,47,115,3,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",11,31,115,3,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",4,41,96,3,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",10,26,87,3,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.heartbeat",14,5,56,3,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query",12,21,36,3,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",16,28,13,3,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",2,32,174,4,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",3,99,141,4,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query.subscription",3,6,141,4,""
"axon-messaging-4.12.1","org.axonframework.deadline.annotation",5,5,136,4,""
"axon-messaging-4.12.1","org.axonframework.common",9,27,132,4,""
"axon-test-4.12.1","org.axonframework.test.saga",6,21,119,4,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.gateway",6,5,119,4,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jpa",4,6,96,4,""
"axon-messaging-4.12.1","org.axonframework.common.lock",10,11,87,4,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.util",14,9,56,4,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",15,28,11,4,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.quartz",2,6,174,5,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector",3,30,141,5,""
"axon-messaging-4.12.1","org.axonframework.monitoring",3,6,141,5,""
