"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"jakarta.annotation.Nonnull","Parameter",3382,"org.axonframework.axonserver.connector.MetadataConverter.convertGrpcToMetadataValues(0),org.axonframework.axonserver.connector.MetadataConverter.convertMetadataValuesToGrpc(0),org.axonframework.axonserver.connector.util.PriorityExecutorService.awaitTermination(1),org.axonframework.axonserver.connector.util.PriorityExecutorService.submit(0),org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAll(0),org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAll(2),org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAny(0),org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAny(2),org.axonframework.axonserver.connector.util.PriorityExecutorService.execute(0)",""
"jakarta.annotation.Nonnull","Method",833,"org.axonframework.axonserver.connector.MetadataConverter.convertGrpcToMetadataValues,org.axonframework.axonserver.connector.MetadataConverter.convertMetadataValuesToGrpc,org.axonframework.axonserver.connector.util.PriorityExecutorService.shutdownNow,org.axonframework.axonserver.connector.util.PriorityExecutorService.submit,org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAll,org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAny,org.axonframework.axonserver.connector.query.QueryUpdateMessageStream.buildResponseMessage,org.axonframework.axonserver.connector.query.QueryUpdateMessageStream.createAxonException,org.axonframework.axonserver.connector.query.QueryResponseMessageStream.buildResponseMessage",""
"jakarta.annotation.Nullable","Parameter",399,"org.axonframework.axonserver.connector.util.ExceptionConverter.convertToErrorMessage(1),org.axonframework.axonserver.connector.query.AxonServerQueryBusConnector.query(1),org.axonframework.axonserver.connector.query.AxonServerQueryBusConnector.subscriptionQuery(1),org.axonframework.axonserver.connector.query.QueryConverter.convertQueryUpdate(1),org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1.commit(0),org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1.afterCommit(1),org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1.rollback(0),org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine.appendEvents(1),org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine.source(1)",""
"jakarta.annotation.Nullable","Method",99,"org.axonframework.test.fixture.RecordingCommandBus.resultOf,org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory.createInstance,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel.getExpectedRepresentation,org.axonframework.modelling.entity.child.CommandTargetResolver.getTargetChildEntity,org.axonframework.modelling.entity.child.ChildEntityFieldDefinition.getChildValue,org.axonframework.modelling.entity.ConcreteEntityMetamodel.evolve,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory.createInstance,org.axonframework.messaging.commandhandling.gateway.CommandGateway.sendAndWait,org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactory.createInstance",""
"org.axonframework.common.annotation.Internal","Class",75,"org.axonframework.axonserver.connector.MetadataConverter,org.axonframework.axonserver.connector.query.AbstractQueryResponseMessageStream,org.axonframework.axonserver.connector.query.QueryConverter,org.axonframework.axonserver.connector.query.QueryResponseMessageStream,org.axonframework.axonserver.connector.query.FlowControlledResponseSender,org.axonframework.axonserver.connector.event.TaggedEventConverter,org.axonframework.axonserver.connector.event.SourcingEventMessageStream,org.axonframework.axonserver.connector.event.ConditionConverter,org.axonframework.axonserver.connector.event.EventProcessorInfoUtils",""
"jakarta.annotation.Nonnull","Field",70,"org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector$FutureResultCallback.result,org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector$FutureResultCallback.command,org.axonframework.test.fixture.AxonTestFixture$Customization.fieldFilters,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule.properties,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration.executorServiceFactory,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.commandConverter,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.delegate,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.schema,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.claimTimeout",""
"java.lang.FunctionalInterface","Interface",55,"org.axonframework.axonserver.connector.ErrorCode$ExceptionBuilder,org.axonframework.axonserver.connector.ManagedChannelCustomizer,org.axonframework.axonserver.connector.InstructionAckSource,org.axonframework.axonserver.connector.TargetContextResolver,org.axonframework.axonserver.connector.TopologyChangeListener,org.axonframework.test.matchers.FieldFilter,org.axonframework.modelling.annotation.EntityIdResolverDefinition,org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodelFactory",""
"java.lang.annotation.Target","Annotation",42,"org.axonframework.extension.springboot.util.RegisterDefaultEntities,org.axonframework.extension.springboot.util.ConditionalOnQualifiedBean,org.axonframework.extension.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.RoutingKey,org.axonframework.messaging.commandhandling.annotation.Command",""
"java.lang.annotation.Retention","Annotation",42,"org.axonframework.extension.springboot.util.RegisterDefaultEntities,org.axonframework.extension.springboot.util.ConditionalOnQualifiedBean,org.axonframework.extension.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.RoutingKey,org.axonframework.messaging.commandhandling.annotation.Command",""
"org.springframework.context.annotation.Bean","Method",36,"org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurationEnhancer,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.defaultAxonSchemaStore,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.collectAvroSchemasFromClassPath,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.specificRecordBaseClasspathAvroSchemaLoader,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration.messageHandlerLookup,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration.springEventSourcedEntityLookup,org.axonframework.extension.springboot.autoconfig.InterceptorAutoConfiguration.dispatchInterceptorEnhancer,org.axonframework.extension.springboot.autoconfig.InterceptorAutoConfiguration.handlerInterceptorEnhancer",""
