"artifactName","deprecatedElementType","elementUsingDeprecatedElement","deprecatedElement","Source Cypher File: Java/Java_deprecated_element_usage_detailed.cypher"
"axon-eventsourcing-5.0.1","Field","org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations.gapTimeoutThreshold","java.time.Clock clock",""
"axon-messaging-5.0.1","Annotation","org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy","org.axonframework.messaging.commandhandling.annotation.RoutingKey",""
"axon-messaging-5.0.1","Method","org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember.doHandleSync","java.lang.Object handleSync(org.axonframework.messaging.core.Message,org.axonframework.messaging.core.unitofwork.ProcessingContext,java.lang.Object)",""
"axon-messaging-5.0.1","Method","org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember.handleSync","java.lang.Object handleSync(org.axonframework.messaging.core.Message,org.axonframework.messaging.core.unitofwork.ProcessingContext,java.lang.Object)",""
"axon-messaging-5.0.1","Class","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain","org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext",""
"axon-messaging-5.0.1","Method","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain.handle","java.lang.Object handleSync(org.axonframework.messaging.core.Message,org.axonframework.messaging.core.unitofwork.ProcessingContext,java.lang.Object,org.axonframework.messaging.core.annotation.MessageHandlingMember)",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.GenericEventMessage.<init>","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils.lambda$asEventMessage$0","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$Builder.<init>","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask.lambda$releaseSegmentsIfTooManyClaimed$13","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor.releaseSegment","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>","java.time.Clock clock",""
"axon-messaging-5.0.1","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$Builder.<init>","java.time.Clock clock",""
"axon-modelling-5.0.1","Annotation","org.axonframework.modelling.annotation.TargetEntityId","org.axonframework.messaging.commandhandling.annotation.RoutingKey",""
"axon-modelling-5.0.1","Annotation","org.axonframework.modelling.entity.annotation.RoutingKeyUtils","org.axonframework.messaging.commandhandling.annotation.RoutingKey",""
