"dependentArtifactName","numberOfReflectionCaller","someReflectionCaller","someReflectionTypes","Source Cypher File: Java/Java_Reflection_usage.cypher"
"axon-tracing-opentelemetry-5.0.1",5,"org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory","",""
"axon-common-5.0.1",150,"org.axonframework.common.property.DirectPropertyAccessStrategy,org.axonframework.common.ClassUtils,org.axonframework.common.lock.NoOpLock,org.axonframework.common.jdbc.PersistenceExceptionResolver,org.axonframework.common.configuration.ModuleBuilder,org.axonframework.common.jdbc.ConnectionWrapperFactory$NoOpCloseHandler,org.axonframework.common.IdentifierFactory,org.axonframework.common.caching.package-info,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.DecoratorDefinition$2,org.axonframework.common.lock.PessimisticLockFactory,org.axonframework.common.configuration.DecoratorDefinition$1,org.axonframework.common.TypeReference$2,org.axonframework.common.infra.ComponentDescriptor,org.axonframework.common.annotation.Internal,org.axonframework.common.configuration.DefaultAxonApplication,org.axonframework.common.property.BeanPropertyAccessStrategy,org.axonframework.common.BuilderUtils","java.lang.reflect.Field,java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable,java.lang.reflect.AccessibleObject,java.lang.reflect.Executable,java.lang.reflect.InvocationTargetException,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.AnnotatedElement,java.lang.reflect.Proxy,java.lang.reflect.Constructor,java.lang.reflect.Array,java.lang.reflect.GenericArrayType,java.lang.reflect.WildcardType",""
"axon-server-connector-5.0.1",72,"org.axonframework.axonserver.connector.MetadataConverter$1,org.axonframework.axonserver.connector.util.ProcessingInstructionUtils,org.axonframework.axonserver.connector.ErrorCode$ExceptionBuilder,org.axonframework.axonserver.connector.query.AxonServerRemoteQueryHandlingException,org.axonframework.axonserver.connector.AxonServerRegistration,org.axonframework.axonserver.connector.util.ExceptionConverter,org.axonframework.axonserver.connector.util.PriorityTaskSchedulers,org.axonframework.axonserver.connector.AxonServerConnectionManager,org.axonframework.axonserver.connector.Handlers,org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector,org.axonframework.axonserver.connector.event.TaggedEventConverter,org.axonframework.axonserver.connector.util.UpstreamAwareStreamObserver,org.axonframework.axonserver.connector.event.StreamingEventMessageStream,org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector$FutureResultCallback,org.axonframework.axonserver.connector.TopologyChange,org.axonframework.axonserver.connector.event.EventProcessorControlService,org.axonframework.axonserver.connector.event.ConditionConverter,org.axonframework.axonserver.connector.util.GrpcMessageSizeWarningThresholdReachedException,org.axonframework.axonserver.connector.event.AxonServerEventStorageEngine","",""
"axon-modelling-5.0.1",93,"org.axonframework.modelling.entity.child.GetterEvolverChildEntityFieldDefinition,org.axonframework.modelling.entity.ConcreteEntityMetamodel$Builder,org.axonframework.modelling.entity.EntityMetamodel,org.axonframework.modelling.repository.ManagedEntity,org.axonframework.modelling.entity.annotation.EntityChildModelDefinition,org.axonframework.modelling.entity.child.EventTargetMatcher,org.axonframework.modelling.entity.EntityMissingForInstanceCommandHandlerException,org.axonframework.modelling.HierarchicalStateManager,org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent,org.axonframework.modelling.entity.annotation.RoutingKeyEventTargetMatcher,org.axonframework.modelling.repository.SimpleRepositoryEntityPersister,org.axonframework.modelling.repository.Repository$LifecycleManagement,org.axonframework.modelling.annotation.InjectEntityParameterResolver,org.axonframework.modelling.configuration.StateBasedEntityModule,org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException,org.axonframework.modelling.entity.EntityMetamodelBuilder,org.axonframework.modelling.PropertyBasedEntityIdResolver,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.modelling.configuration.ModellingConfigurer","java.lang.reflect.Member,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.ParameterizedType,java.lang.reflect.Field,java.lang.reflect.Method,java.lang.reflect.AnnotatedElement,java.lang.reflect.Modifier",""
"axon-eventsourcing-5.0.1",100,"org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.GenericTaggedEventMessage,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.EventCoordinator$1,org.axonframework.eventsourcing.eventstore.AggregateBasedEventStorageEngineUtils,org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver$TagResolutionException,org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.eventstore.InterceptingEventStore,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolverDefinition,org.axonframework.eventsourcing.eventstore.TooManyTagsOnEventMessageException,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.eventstore.AppendCondition,org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingAppender,org.axonframework.eventsourcing.eventstore.ConsistencyMarkers,org.axonframework.eventsourcing.eventstore.EventStore,org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId","java.lang.reflect.Method,java.lang.reflect.AnnotatedElement,java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Modifier,java.lang.reflect.InvocationTargetException",""
"axon-test-5.0.1",73,"org.axonframework.test.matchers.ListWithAnyOfMatcher,org.axonframework.test.fixture.AxonTestPhase$Then$Nothing,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.test.matchers.PayloadMatcher,org.axonframework.test.fixture.AxonTestFixture,org.axonframework.test.fixture.AxonTestPhase$Setup,org.axonframework.test.fixture.AxonTestFixture$Customization,org.axonframework.test.fixture.AxonTestPhase$Then$MessageAssertions,org.axonframework.test.matchers.IgnoreField,org.axonframework.test.AxonAssertionError,org.axonframework.test.fixture.RecordingEventBus,org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer,org.axonframework.test.util.CallbackBehavior,org.axonframework.test.util.MessageMonitorReport$Report$Ignored,org.axonframework.test.util.RecordingMessageMonitor$1,org.axonframework.test.matchers.NullOrVoidMatcher,org.axonframework.test.matchers.ExactClassMatcher,org.axonframework.test.server.AxonServerContainer,org.axonframework.test.fixture.AxonTestPhase$Then$Command","java.lang.reflect.Field,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.Modifier",""
"axon-spring-boot-autoconfigure-5.0.1",70,"org.axonframework.extension.springboot.TokenStoreProperties,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration,org.axonframework.extension.springboot.util.ConditionalOnQualifiedBean,org.axonframework.extension.springboot.autoconfig.UpdateCheckerAutoConfiguration$1,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration,org.axonframework.extension.springboot.util.OnMissingQualifiedBeanCondition,org.axonframework.extension.springboot.autoconfig.ObjectMapperAutoConfiguration$JacksonConfiguredCondition$EventsJacksonCondition,org.axonframework.extension.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory,org.axonframework.extension.springboot.util.OnQualifiedBeanCondition,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration$AvroConfiguredCondition,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration,org.axonframework.extension.springboot.autoconfig.UpdateCheckerAutoConfiguration$NotTestEnvironmentCondition,org.axonframework.extension.springboot.MetricsProperties,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration$OnMissingDefaultSchemaStoreCondition,org.axonframework.extension.springboot.DistributedCommandBusProperties,org.axonframework.extension.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.extension.springboot.autoconfig.ObjectMapperAutoConfiguration$JacksonConfiguredCondition$MessagesJacksonCondition,org.axonframework.extension.springboot.MetricsProperties$Micrometer,org.axonframework.extension.springboot.TimeoutProperties$MessageHandlerTimeoutProperties","",""
"axon-messaging-5.0.1",570,"org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,org.axonframework.messaging.core.MessageDispatchInterceptor,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.core.annotation.ClasspathHandlerDefinition,org.axonframework.messaging.core.timeout.UnitOfWorkTimeoutInterceptorBuilder,org.axonframework.messaging.eventhandling.GenericEventMessage,org.axonframework.messaging.core.annotation.MessageHandler,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.core.HierarchicalMessageTypeResolver,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingHandler,org.axonframework.messaging.core.MessageHandlerInterceptor,org.axonframework.messaging.core.unitofwork.SimpleUnitOfWorkFactory,org.axonframework.messaging.core.Metadata$MetadataCollector,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.Oracle11TokenTableFactory,org.axonframework.messaging.core.annotation.AggregateType,org.axonframework.messaging.core.retry.AsyncRetryScheduler,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContext,org.axonframework.messaging.core.EmptyApplicationContext,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorContext","java.lang.reflect.Type,java.lang.reflect.Executable,java.lang.reflect.Method,java.lang.reflect.Parameter,java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Member,java.lang.reflect.Constructor,java.lang.reflect.Modifier,java.lang.reflect.WildcardType,java.lang.reflect.AnnotatedElement",""
"axon-metrics-micrometer-5.0.1",13,"org.axonframework.extension.metrics.micrometer.GlobalMetricRegistry,org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.MetricsConfigurerModule,org.axonframework.extension.metrics.micrometer.reservoir.SlidingTimeWindowReservoir,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder","",""
"axon-conversion-5.0.1",30,"org.axonframework.conversion.CachingSupplier,org.axonframework.conversion.json.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.AvroConverterStrategy,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.ConversionException,org.axonframework.conversion.converter.InputStreamToByteArrayConverter,org.axonframework.conversion.converter.ByteArrayToStringConverter,org.axonframework.conversion.ChainedConverter$RouteCalculator,org.axonframework.conversion.package-info,org.axonframework.conversion.json.ByteArrayToJsonNodeConverter,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.json.JacksonConverter,org.axonframework.conversion.converter.BlobToInputStreamConverter,org.axonframework.conversion.json.JsonNodeToObjectNodeConverter,org.axonframework.conversion.converter.StringToByteArrayConverter","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Type,java.lang.reflect.Constructor",""
