"dependency","usedByPackages","usedByTypes","providesPackages","providesTypes","interfaceRate","someProvidedPackages","someProvidedTypes","Source Cypher File: Artifact_Dependencies/Most_used_internal_dependencies_acreoss_artifacts.cypher"
"axon-common-5.0.1",87,445,10,67,40.3,"org.axonframework.common,org.axonframework.common.io,org.axonframework.common.annotation,org.axonframework.common.jdbc,org.axonframework.common.util","ProcessUtils,DateTimeUtils,Registration,CollectionUtils,AxonNonTransientException",""
"axon-messaging-5.0.1",26,193,32,127,51.97,"org.axonframework.messaging.monitoring,org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.distributed,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.commandhandling.configuration","NoOpMessageMonitor,MessageMonitor,MessageMonitor$MonitorCallback,NoOpMessageMonitorCallback,MultiMessageMonitor",""
"axon-conversion-5.0.1",15,36,3,8,25,"org.axonframework.conversion,org.axonframework.conversion.avro,org.axonframework.conversion.json","ConversionException,Converter,ChainingContentTypeConverter,CachingSupplier,AvroConverterConfiguration",""
"axon-modelling-5.0.1",4,13,6,16,68.75,"org.axonframework.modelling,org.axonframework.modelling.annotation,org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.configuration","EntityIdResolver,StateManager,ConcurrencyException,EntityEvolver,EntityIdResolverDefinition",""
"axon-eventsourcing-5.0.1",4,15,2,22,40.91,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","GlobalIndexPosition,EventStore,AggregateSequenceNumberPosition,AggregateBasedConsistencyMarker,TaggedEventMessage",""
"axon-server-connector-5.0.1",3,5,1,5,20,"org.axonframework.axonserver.connector","TopologyChangeListener,AxonServerConfiguration,TagsConfiguration,AxonServerConnectionManager,AxonServerConfigurationEnhancer",""
"axon-update-5.0.1",2,4,3,5,40,"org.axonframework.update,org.axonframework.update.detection,org.axonframework.update.configuration","UpdateCheckerHttpClient,UpdateChecker,UpdateCheckerReporter,TestEnvironmentDetector,UsagePropertyProvider",""
"axon-test-5.0.1",1,2,1,1,0,"org.axonframework.test.server","AxonServerContainer",""
