"dependencyArtifactName","dependencyTypeIsInterface","usedInArtifacts","usedInPackages","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: Artifact_Dependencies/Usage_and_spread_of_internal_artifact_dependencies.cypher"
"axon-common-5.0.1",false,7,78,71.42857142857143,100,88.30110991765127,12.140453358102407,85.96491228070175,3,49,11.142857142857142,16.717541400462885,5,16.43835616438356,86.95652173913044,36.257774753187476,23.78772836311563,31,""
"axon-common-5.0.1",true,7,58,28.571428571428573,100,68.78088077336197,27.92090066871297,75,2,33,8.285714285714285,11.101265479128731,4,13.88888888888889,33.33333333333333,21.93852373922412,6.360066052162425,20.54794520547945,""
"axon-conversion-5.0.1",false,1,4,7.017543859649122,7.017543859649122,7.017543859649122,0,7.017543859649122,4,4,4,0,4,0.7017543859649122,0.7017543859649122,0.7017543859649122,0,0.7017543859649122,""
"axon-conversion-5.0.1",true,1,11,19.298245614035086,19.298245614035086,19.298245614035086,0,19.298245614035086,11,11,11,0,11,5.43859649122807,5.43859649122807,5.43859649122807,0,5.43859649122807,""
"axon-eventsourcing-5.0.1",false,1,2,40,40,40,0,40,2,2,2,0,2,11.11111111111111,11.11111111111111,11.11111111111111,0,11.11111111111111,""
"axon-eventsourcing-5.0.1",true,1,2,40,40,40,0,40,2,2,2,0,2,11.11111111111111,11.11111111111111,11.11111111111111,0,11.11111111111111,""
"axon-messaging-5.0.1",true,4,22,80,100,90,11.547005383792516,80,4,7,5.5,1.7320508075688772,4,37.5,49,43.72692959198704,5.36512774408111,41.0958904109589,""
"axon-messaging-5.0.1",false,5,22,28.571428571428573,100,69.71428571428571,33.600291543924655,80,2,7,4.4,2.5099800796022267,4,11.428571428571429,29.166666666666664,20.915983839404078,8.507578304510883,23.655913978494624,""
"axon-modelling-5.0.1",true,1,3,42.85714285714286,42.85714285714286,42.85714285714286,0,42.85714285714286,3,3,3,0,3,12,12,12,0,12,""
"axon-modelling-5.0.1",false,1,2,28.571428571428573,28.571428571428573,28.571428571428573,0,28.571428571428573,2,2,2,0,2,4,4,4,0,4,""
"axon-server-connector-5.0.1",false,1,3,42.85714285714286,42.85714285714286,42.85714285714286,0,42.85714285714286,3,3,3,0,3,7.142857142857143,7.142857142857143,7.142857142857143,0,7.142857142857143,""
"axon-update-5.0.1",true,1,2,28.571428571428573,28.571428571428573,28.571428571428573,0,28.571428571428573,2,2,2,0,2,4.285714285714286,4.285714285714286,4.285714285714286,0,4.285714285714286,""
