"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",38115,23.829023707112135,""
"MODIFIES",38115,23.829023707112135,""
"UPDATES",26373,16.48807142142643,""
"COMMITTED",13460,8.415024507352205,""
"CREATES",7557,4.724542362708813,""
"HAS_PARENT",7502,4.690157047114134,""
"HAS_COMMIT",6730,4.207512253676103,""
"DELETES",5884,3.6786035810743223,""
"HAS_FILE",3573,2.2337951385415624,""
"CHANGED_TOGETHER_WITH",1801,1.125962788836651,""
"RENAMES",1699,1.0621936580974292,""
"HAS_NEW_NAME",1032,0.6451935580674202,""
"HAS_AUTHOR",999,0.6245623687106132,""
"HAS_TAG",902,0.5639191757527258,""
"ON_COMMIT",902,0.5639191757527258,""
"DEPENDS_ON",887,0.5545413624087226,""
"HAS_KEY",668,0.41762528758627593,""
"HAS_VALUE",668,0.41762528758627593,""
"CONTAINS",596,0.3726117835350605,""
"HAS_COMMITTER",356,0.2225667700310093,""
"OF_TYPE",339,0.21193858157447237,""
"EXPORTS",309,0.19318295488646595,""
"REFERENCES",197,0.12316194858457538,""
"DECLARES",186,0.11628488546563968,""
"DECLARES_DEV_DEPENDENCY",169,0.10565669700910274,""
"DECLARES_DEPENDENCY",161,0.10065519655896768,""
"HAS_MEMBER",104,0.06501950585175553,""
"HAS_TYPE_ARGUMENT",94,0.05876763028908673,""
"DECLARES_SCRIPT",91,0.056892067620286084,""
"RETURNS",82,0.051265379613884166,""
"HAS_PARAMETER",73,0.04563869160748224,""
"CONTAINS_VALUE",51,0.03188456536961089,""
"RESOLVES_TO",41,0.025632689806942083,""
"IS_DESCRIBED_IN_NPM_PACKAGE",33,0.020631189356807043,""
"INITIALIZED_WITH",32,0.02000600180054016,""
"REQUIRES_CONCEPT",28,0.01750525157547264,""
"INCLUDES_CONCEPT",19,0.011878563569070721,""
"COPIES",15,0.009377813344003201,""
"COPY_OF",12,0.007502250675202561,""
"USES",11,0.006877063118935681,""
"DECLARES_PEER_DEPENDENCY",8,0.00500150045013504,""
"CALLS",6,0.0037511253376012804,""
"CONTAINS_PROJECT",6,0.0037511253376012804,""
"DECLARES_ENGINE",6,0.0037511253376012804,""
"EXTENDS",6,0.0037511253376012804,""
"HAS_ARGUMENT",6,0.0037511253376012804,""
"HAS_CONFIG",6,0.0037511253376012804,""
"HAS_NPM_PACKAGE",6,0.0037511253376012804,""
"HAS_ROOT",6,0.0037511253376012804,""
"MEMBER",6,0.0037511253376012804,""
"PARENT",6,0.0037511253376012804,""
"IN_REPOSITORY",5,0.0031259377813344005,""
"REFERENCED_PROJECTS",5,0.0031259377813344005,""
"CONSTRAINED_BY",4,0.00250075022506752,""
"HAS_HEAD",2,0.00125037511253376,""
"DECLARES_PUBLISH_CONFIG",1,0.00062518755626688,""
"HAS_BRANCH",1,0.00062518755626688,""
