"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"create-react-router","create-react-router","react-router-7.13.0",false,false,false,1,340,88,117,21,9,9,"./index.ts -> ./copy-template.ts,./index.ts -> ./loading-indicator.ts,./index.ts -> ./prompt.ts,./prompt.ts -> ./prompts-confirm.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.13.0",false,false,false,2,942,60,97,5,2,5,"./index.ts -> ./prompts-confirm.ts,./index.ts -> ./prompts-multi-select.ts,./prompt.ts -> ./prompts-prompt-base.ts,./index.ts -> ./prompts-select.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.13.0",false,false,false,3,496,49,75,1,1,1,"./index.ts -> ./prompts-prompt-base.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"react-router","react-router","react-router-7.13.0",false,false,false,1,340,88,117,205,40,49,"./vendor/turbo-stream-v2/turbo-stream.ts -> ./vendor/turbo-stream-v2/flatten.ts,./vendor/turbo-stream-v2/turbo-stream.ts -> ./vendor/turbo-stream-v2/unflatten.ts,./vendor/turbo-stream-v2/flatten.ts -> ./vendor/turbo-stream-v2/utils.ts,./vendor/turbo-stream-v2/turbo-stream.ts -> ./vendor/turbo-stream-v2/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.13.0",false,false,false,2,942,60,97,819,35,49,"./index-react-server-client.ts -> ./dom-export.ts,./lib/context.ts -> ./dom-export.ts,./lib/errors.ts -> ./dom-export.ts,./lib/dom/dom.ts -> ./dom-export.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.13.0",false,false,false,3,496,49,75,436,35,44,"./lib/server-runtime/serverHandoff.ts -> ./dom-export.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server-client.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server.ts,./index-react-server-client.ts -> ./lib/actions.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.13.0",false,false,false,4,141,42,42,111,35,19,"./lib/server-runtime/serverHandoff.ts -> ./lib/actions.ts,./lib/server-runtime/serverHandoff.ts -> ./lib/errors.ts,./dom-export.ts -> ./lib/dom/ssr/markup.ts,./index-react-server-client.ts -> ./lib/dom/ssr/markup.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.13.0",false,false,false,5,116,35,6,115,34,5,"./dom-export.ts -> ./lib/types/utils.ts,./index-react-server-client.ts -> ./lib/types/utils.ts,./index-react-server.ts -> ./lib/types/utils.ts,./lib/context.ts -> ./lib/types/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.13.0",false,false,false,6,3,1,3,3,1,3,"./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/flatten.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/unflatten.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router-architect","react-router-architect","react-router-7.13.0",false,false,false,1,340,88,117,4,2,4,"./server.ts -> ./binaryTypes.ts,./server.ts -> ./index.ts,./index.ts -> ./server.ts,./index.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
"react-router-architect","react-router-architect","react-router-7.13.0",false,false,false,2,942,60,97,2,2,2,"./index.ts -> ./binaryTypes.ts,./server.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
