"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-4.12.2","eventhandling","org.axonframework.eventhandling",883.8333333333334,1,""
"axon-messaging-4.12.2","messaging","org.axonframework.messaging",600.95,2,""
"axon-messaging-4.12.2","serialization","org.axonframework.serialization",560,3,""
"axon-configuration-4.12.2","config","org.axonframework.config",469.8333333333333,4,""
"axon-server-connector-4.12.2","connector","org.axonframework.axonserver.connector",451.5,5,""
"axon-messaging-4.12.2","tracing","org.axonframework.tracing",410.5666666666667,6,""
"axon-messaging-4.12.2","annotation","org.axonframework.messaging.annotation",320.66666666666663,7,""
"axon-messaging-4.12.2","queryhandling","org.axonframework.queryhandling",319.66666666666663,8,""
"axon-eventsourcing-4.12.2","eventstore","org.axonframework.eventsourcing.eventstore",244.3,9,""
"axon-messaging-4.12.2","commandhandling","org.axonframework.commandhandling",240.78333333333333,10,""
