"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-conversion-5.1.0","conversion","org.axonframework.conversion",1,0.8731561865470123,1,""
"axon-server-connector-5.1.0","event","io.axoniq.framework.axonserver.connector.event",1,0.5348416455139047,2,""
"axon-server-connector-5.1.0","configuration","io.axoniq.framework.axonserver.connector.configuration",1,0.4634930643297942,3,""
"axon-common-5.1.0","annotation","org.axonframework.common.annotation",1,0.3761990762319598,4,""
"axon-messaging-5.1.0","subscribing","org.axonframework.messaging.eventhandling.processing.subscribing",1,0.24964357456149056,5,""
"axon-messaging-5.1.0","streaming","org.axonframework.messaging.eventhandling.processing.streaming",1,0.09852254556853479,6,""
"axon-server-connector-5.1.0","snapshot","io.axoniq.framework.axonserver.connector.snapshot",1,0.03397494638621801,7,""
"axon-messaging-5.1.0","annotation","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation",0.9901687641492063,0.0395339157169361,8,""
"axon-common-5.1.0","lifecycle","org.axonframework.common.lifecycle",0.9799184272492267,0.25981231898382273,9,""
"axon-server-connector-5.1.0","command","io.axoniq.framework.axonserver.connector.command",0.9772071902113608,0.20783543562212736,10,""
