"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionSilentCoordinators.cypher"
"org.axonframework.extension.springboot.actuator.axonserver","axonserver","axon-spring-boot-autoconfigure-5.0.2",24,5,2,3,""
"org.axonframework.extension.springboot.util.jpa","jpa","axon-spring-boot-autoconfigure-5.0.2",3,2,1,1,""
"org.axonframework.messaging.commandhandling.retry","retry","axon-messaging-5.0.2",0,168,0,168,""
"org.axonframework.messaging.core.reflection","reflection","axon-messaging-5.0.2",0,44,0,44,""
"org.axonframework.messaging.tracing.attributes","attributes","axon-messaging-5.0.2",0,28,0,28,""
"org.axonframework.conversion.converter","converter","axon-conversion-5.0.2",0,7,0,7,""
"org.axonframework.common.digest","digest","axon-common-5.0.2",0,1,0,1,""
"org.axonframework.update.common","common","axon-update-5.0.2",0,2,1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation","axon-messaging-5.0.2",0,31,1,30,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation","axon-messaging-5.0.2",0,18,1,17,""
"org.axonframework.extension.springboot.actuator","actuator","axon-spring-boot-autoconfigure-5.0.2",0,2,2,0,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir","axon-metrics-micrometer-5.0.2",0,2,2,0,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc","axon-eventsourcing-5.0.2",0,26,2,24,""
"org.axonframework.common.io","io","axon-common-5.0.2",0,2,2,0,""
