"codeUnitName","shortCodeUnitName","projectName","betweenness","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionFragileStructuralBridges.cypher"
"org.axonframework.eventhandling","eventhandling","axon-messaging-4.12.1",883.8333333333334,0.1864406779661017,7683,6120,1563,""
"org.axonframework.messaging","messaging","axon-messaging-4.12.1",601.1166666666667,0.17708333333333334,10184,10051,133,""
"org.axonframework.serialization","serialization","axon-messaging-4.12.1",560,0.19516908212560385,1947,1771,176,""
"org.axonframework.config","config","axon-configuration-4.12.1",469.8333333333333,0.20584415584415586,10438,428,10010,""
