"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"create-react-router","create-react-router","react-router-7.11.0",false,false,false,1,334,86,113,21,9,9,"./index.ts -> ./copy-template.ts,./index.ts -> ./loading-indicator.ts,./index.ts -> ./prompt.ts,./prompt.ts -> ./prompts-confirm.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.11.0",false,false,false,2,937,59,95,5,2,5,"./index.ts -> ./prompts-confirm.ts,./index.ts -> ./prompts-multi-select.ts,./prompt.ts -> ./prompts-prompt-base.ts,./index.ts -> ./prompts-select.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.11.0",false,false,false,3,469,49,74,1,1,1,"./index.ts -> ./prompts-prompt-base.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"react-router","react-router","react-router-7.11.0",false,false,false,1,334,86,113,202,40,48,"./lib/rsc/server.rsc.ts -> ./dom-export.ts,./lib/rsc/server.rsc.ts -> ./index-react-server-client.ts,./lib/router/utils.ts -> ./index-react-server.ts,./lib/rsc/server.rsc.ts -> ./index-react-server.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.11.0",false,false,false,2,937,59,95,815,35,48,"./lib/router/utils.ts -> ./dom-export.ts,./lib/server-runtime/build.ts -> ./dom-export.ts,./lib/server-runtime/cookies.ts -> ./dom-export.ts,./lib/server-runtime/data.ts -> ./dom-export.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.11.0",false,false,false,3,469,49,74,409,35,43,"./lib/server-runtime/serverHandoff.ts -> ./dom-export.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server-client.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server.ts,./lib/server-runtime/serverHandoff.ts -> ./lib/context.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.11.0",false,false,false,4,140,42,41,110,35,18,"./lib/server-runtime/serverHandoff.ts -> ./lib/errors.ts,./lib/router/utils.ts -> ./lib/dom/ssr/markup.ts,./lib/rsc/server.rsc.ts -> ./lib/dom/ssr/markup.ts,./lib/server-runtime/build.ts -> ./lib/dom/ssr/markup.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.11.0",false,false,false,5,116,35,6,115,34,5,"./lib/router/utils.ts -> ./lib/types/utils.ts,./lib/server-runtime/build.ts -> ./lib/types/utils.ts,./lib/server-runtime/cookies.ts -> ./lib/types/utils.ts,./lib/server-runtime/data.ts -> ./lib/types/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.11.0",false,false,false,6,3,1,3,3,1,3,"./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/flatten.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/unflatten.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router-architect","react-router-architect","react-router-7.11.0",false,false,false,1,334,86,113,4,2,4,"./server.ts -> ./binaryTypes.ts,./server.ts -> ./index.ts,./index.ts -> ./server.ts,./index.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
