"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration","configuration",2463,15546,74,39,28,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",2321,9770,96,46,20,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","event",1282,4029,72,29,18,3,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",1263,4885,65,28,18,3,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","configuration",1237,4801,66,41,25,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception","interception",1084,5770,46,25,11,1,""
"axon-test-5.0.2","org.axonframework.test.fixture","fixture",972,3461,73,39,16,3,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation","annotation",858,3265,64,30,19,3,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","entity",800,2887,35,21,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",749,2715,47,29,14,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","eventstore",700,2610,64,29,10,2,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","autoconfig",658,2833,103,37,34,6,""
"axon-modelling-5.0.2","org.axonframework.modelling.configuration","configuration",585,2279,41,29,10,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","queryhandling",533,2104,48,23,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed","distributed",513,1412,38,23,10,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.interception","interception",500,1550,15,15,6,0,""
