"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: Artifact_Dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-test-5.0.3",6,4,66.67,78,30,38.46,"axon-messaging-5.0.3",true,9,21,"org.axonframework.messaging.monitoring,org.axonframework.messaging.commandhandling","MessageMonitor,MessageMonitor$MonitorCallback,CommandHandler,CommandMessage","org.axonframework.test.util,org.axonframework.test.fixture","RecordingMessageMonitor,RecordingMessageMonitor$1,RecordingCommandBus,AxonTestPhase$Given",""
"axon-server-connector-5.0.3",5,4,80,72,21,29.17,"axon-messaging-5.0.3",false,11,31,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.distributed","CommandDispatchException,NoHandlerForCommandException,GenericCommandResultMessage,CommandExecutionException","org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector","AxonServerCommandDispatchException,ErrorCode,CommandConverter,AxonServerConfigurationEnhancer",""
"axon-server-connector-5.0.3",5,4,80,72,25,34.72,"axon-messaging-5.0.3",true,15,30,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.distributed","CommandMessage,CommandResultMessage,CommandBusConnector$Handler,CommandBusConnector","org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector","CommandConverter,AxonServerCommandBusConnector,AxonServerCommandBusConnector$FutureResultCallback,AxonServerConfigurationEnhancer",""
"axon-conversion-5.0.3",5,4,80,35,7,20,"axon-common-5.0.3",false,2,4,"org.axonframework.common,org.axonframework.common.annotation","BuilderUtils,Assert,AxonNonTransientException,Internal","org.axonframework.conversion.avro,org.axonframework.conversion","SpecificRecordBaseConverterStrategy,ChainedConverter$Route,ChainedConverter,ConversionException",""
"axon-server-connector-5.0.3",5,4,80,72,10,13.89,"axon-common-5.0.3",true,3,14,"org.axonframework.common,org.axonframework.common.infra","Registration,ComponentDescriptor,DescribableComponent,ComponentDefinition","org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector","AxonServerQueryBusConnector$LocalSegmentAdapter,AxonServerRegistration,TaggedEventConverter,AxonServerEventStorageEngine",""
"axon-conversion-5.0.3",5,4,80,35,8,22.86,"axon-common-5.0.3",true,1,2,"org.axonframework.common.infra","ComponentDescriptor,DescribableComponent","org.axonframework.conversion.avro,org.axonframework.conversion","AvroConverter,PassThroughConverter,ChainingContentTypeConverter,Jackson2Converter",""
"axon-spring-boot-autoconfigure-5.0.3",7,3,42.86,75,5,6.67,"axon-server-connector-5.0.3",false,1,4,"org.axonframework.axonserver.connector","TagsConfiguration,AxonServerConnectionManager,AxonServerConfigurationEnhancer,AxonServerConfiguration","org.axonframework.extension.springboot,org.axonframework.extension.springboot.autoconfig","TagsConfigurationProperties,AxonServerAutoConfiguration,AxonServerActuatorAutoConfiguration,AxonServerHealthIndicator",""
"axon-eventsourcing-5.0.3",7,3,42.86,100,12,12,"axon-modelling-5.0.3",true,5,11,"org.axonframework.modelling,org.axonframework.modelling.annotation","EntityIdResolver,StateManager,EntityEvolver,EntityIdResolverDefinition","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing","SimpleEventSourcedEntityModule,SimpleEventSourcedEntityModule$2,EventSourcedEntityModule$EntityIdResolverPhase,AnnotatedEventSourcedEntityModule",""
"axon-test-5.0.3",6,2,33.33,78,9,11.54,"axon-messaging-5.0.3",false,4,7,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.eventhandling","GenericCommandResultMessage,GenericCommandMessage,GenericEventMessage,Metadata","org.axonframework.test.util,org.axonframework.test.fixture","RecordingCommandBus,AxonTestWhen,AxonTestGiven,CommandValidator",""
"axon-spring-boot-autoconfigure-5.0.3",7,2,28.57,75,9,12,"axon-messaging-5.0.3",false,8,12,"org.axonframework.messaging.commandhandling.distributed,org.axonframework.messaging.eventhandling.conversion","DistributedCommandBusConfiguration,DelegatingEventConverter,JpaTokenStore,JpaTokenStoreConfiguration","org.axonframework.extension.springboot.autoconfig,org.axonframework.extension.springboot","AxonServerAutoConfiguration,ConverterAutoConfiguration,JpaAutoConfiguration,NoOpTransactionAutoConfiguration",""
"axon-server-connector-5.0.3",5,2,40,72,8,11.11,"axon-eventsourcing-5.0.3",true,1,6,"org.axonframework.eventsourcing.eventstore","EventStorageEngine$AppendTransaction,TaggedEventMessage,AppendCondition,ConsistencyMarker","org.axonframework.axonserver.connector.event,org.axonframework.axonserver.connector","AxonServerEventStorageEngine,AggregateBasedAxonServerEventStorageEngine$1,AggregateBasedAxonServerEventStorageEngine,AxonServerEventStorageEngine$AxonServerAppendTransaction",""
"axon-server-connector-5.0.3",5,2,40,72,8,11.11,"axon-eventsourcing-5.0.3",false,1,9,"org.axonframework.eventsourcing.eventstore","EmptyAppendTransaction,AppendEventsTransactionRejectedException,EventStoreException,AggregateBasedConsistencyMarker","org.axonframework.axonserver.connector.event,org.axonframework.axonserver.connector","AggregateBasedAxonServerEventStorageEngine,AxonServerEventStorageEngine,AxonServerEventStorageEngine$AxonServerAppendTransaction,ErrorCode",""
"axon-eventsourcing-5.0.3",7,2,28.57,100,4,4,"axon-modelling-5.0.3",false,3,4,"org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation","EntityCommandHandlingComponent,AnnotatedEntityMetamodel,AnnotatedEntityIdResolverDefinition,ModellingConfigurer","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.annotation","SimpleEventSourcedEntityModule,AnnotatedEventSourcedEntityModule,EventSourcedEntity,EventSourcingConfigurer",""
"axon-spring-boot-autoconfigure-5.0.3",7,2,28.57,75,4,5.33,"axon-update-5.0.3",true,2,2,"org.axonframework.update,org.axonframework.update.configuration","UpdateCheckerReporter,UsagePropertyProvider","org.axonframework.extension.springboot.autoconfig,org.axonframework.extension.springboot","UpdateCheckerAutoConfiguration$1,UpdateCheckerProperties$1,UpdateCheckerProperties,UpdateCheckerAutoConfiguration",""
"axon-spring-boot-autoconfigure-5.0.3",7,2,28.57,75,3,4,"axon-common-5.0.3",false,4,4,"org.axonframework.common,org.axonframework.common.annotation","AxonConfigurationException,Internal,FactoryBasedEntityManagerProvider,SearchScope","org.axonframework.extension.springboot.autoconfig,org.axonframework.extension.springboot","ConverterAutoConfiguration,EventProcessorProperties,JpaEventStoreAutoConfiguration$AggregateBasedJpaEventStorageEngineConfigurationEnhancer",""
"axon-test-5.0.3",6,2,33.33,78,15,19.23,"axon-common-5.0.3",true,3,7,"org.axonframework.common,org.axonframework.common.infra","Registration,ComponentDescriptor,ConfigurationEnhancer,AxonConfiguration","org.axonframework.test.fixture,org.axonframework.test.util","RecordingEventBus,RecordingEventStore,RecordingCommandBus,RecordingEventSink",""
"axon-spring-boot-autoconfigure-5.0.3",7,2,28.57,75,16,21.33,"axon-common-5.0.3",true,3,11,"org.axonframework.common.jdbc,org.axonframework.common.jpa","PersistenceExceptionResolver,ConnectionProvider,EntityManagerProvider,ComponentDefinition","org.axonframework.extension.springboot.autoconfig,org.axonframework.extension.springboot.util.jpa","JpaEventStoreAutoConfiguration$AggregateBasedJpaEventStorageEngineConfigurationEnhancer,JpaAutoConfiguration,JpaEventStoreAutoConfiguration,JdbcTransactionAutoConfiguration",""
"axon-metrics-micrometer-5.0.3",3,2,66.67,16,3,18.75,"axon-common-5.0.3",true,1,3,"org.axonframework.common.configuration","ConfigurationEnhancer,Configuration,ComponentRegistry","org.axonframework.extension.metrics.micrometer.springboot,org.axonframework.extension.metrics.micrometer","MicrometerMetricsAutoConfiguration$1,MicrometerMetricsAutoConfiguration,MetricsConfigurationEnhancer",""
