"fromMemberName","toMemberName","fromIncomingDependencies","fromOutgoingDependencies","toIncomingDependencies","toOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_10d_Bridges_Stream.cypher"
"io.axoniq.framework.springboot.actuator.axonserver","io.axoniq.framework.springboot.actuator",2,3,2,0,""
"org.axonframework.conversion","org.axonframework.conversion.converter",682,30,0,7,""
"io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.springboot.service.connection",5,135,5,4,""
"org.axonframework.extension.metrics.micrometer","org.axonframework.extension.metrics.micrometer.reservoir",18,232,2,0,""
"org.axonframework.common","org.axonframework.common.lock",978,31,17,21,""
"org.axonframework.common","org.axonframework.common.digest",978,31,0,1,""
"org.axonframework.common","org.axonframework.common.caching",978,31,22,43,""
