"projectFileName","moduleName","dependentProjectFileName","dependentModulePathName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_Breakdown_Backward_Only_for_Typescript.cypher"
"react-router","./lib/router/router.ts","react-router","./lib/router/instrumentation.ts","Router<-instrumentClientSideRouter",0.75,7,1,""
"react-router","./lib/server-runtime/routes.ts","react-router","./index.ts","ServerRouteManifest<-ServerBuild",0.75,7,1,""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts","MiddlewareNextFunction<-MiddlewareFunction",0.7142857142857143,36,6,""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts","data<-convertRouteMatchToUiMatch",0.7142857142857143,36,6,""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts","RouterContext<-RouterContextProvider",0.7142857142857143,36,6,""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts","MiddlewareFunction<-RouteObject",0.7142857142857143,36,6,""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts","RouterContext<-createContext",0.7142857142857143,36,6,""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts","MiddlewareFunction<-BaseRouteObject",0.7142857142857143,36,6,""
"react-router","./lib/server-runtime/data.ts","react-router","./index.ts","AppLoadContext<-RequestHandler",0.6666666666666666,5,1,""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts","fetchAndApplyManifestPatches<-useFogOFWarDiscovery",0.6363636363636364,18,4,""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts","isFogOfWarEnabled<-useFogOFWarDiscovery",0.6363636363636364,18,4,""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts","fetchAndApplyManifestPatches<-getPatchRoutesOnNavigationFunction",0.6363636363636364,18,4,""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts","isFogOfWarEnabled<-getPatchRoutesOnNavigationFunction",0.6363636363636364,18,4,""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts","warnOnceAboutSigningSessionCookie<-createCookieSessionStorage",0.6,12,3,""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts","createSession<-createCookieSessionStorage",0.6,12,3,""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts","createSessionStorage<-createMemorySessionStorage",0.6,12,3,""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts","createSessionStorage<-createMemorySessionStorage",0.6,12,3,""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts","warnOnceAboutSigningSessionCookie<-createCookieSessionStorage",0.6,12,3,""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts","createSession<-createCookieSessionStorage",0.6,12,3,""
"react-router-dev","./vite/plugin.ts","react-router-dev","./vite/styles.ts","LoadCssContents<-getStylesForPathname",0.5,3,1,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterInit<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterSubscriber<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","isMutationMethod<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","IDLE_FETCHER<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","BlockerFunction<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterState<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","Router<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","IDLE_BLOCKER<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","IDLE_NAVIGATION<-createRouter",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","StaticHandlerContext<-EntryContext",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterState<-DataRouterStateContext",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","Router<-DataRouterStateContext",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","GetScrollPositionFunction<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","GetScrollRestorationKeyFunction<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterSubscriber<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","Fetcher<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","FutureConfig<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","BlockerFunction<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterState<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","Blocker<-Router",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","Router<-useFogOFWarDiscovery",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","RouterState<-getPatchRoutesOnNavigationFunction",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","Router<-getPatchRoutesOnNavigationFunction",0.4666666666666667,77,28,""
"react-router","./lib/router/router.ts","react-router","./index.ts","StaticHandlerContext<-StaticHandler",0.4666666666666667,77,28,""
