"projectFileName","moduleName","dependentProjectFileName","dependentModulePathName","forwardToBackwardBalance","numberForward","numberBackward","forwardDependencyExamples","backwardDependencyExamples","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_for_Typescript.cypher"
"react-router","./lib/router/router.ts","react-router","./lib/router/instrumentation.ts",0.75,7,1,"createRouter->instrumentClientSideRouter,createRouter->InstrumentRouteFunction,createStaticHandler->InstrumentRouteFunction,createRouter->InstrumentRouterFunction,createStaticHandler->getRouteInstrumentationUpdates,createRouter->getRouteInstrumentationUpdates,RouterInit->ClientInstrumentation","Router<-instrumentClientSideRouter",""
"react-router","./lib/server-runtime/routes.ts","react-router","./index.ts",0.75,7,1,"createStaticHandlerDataRoutes->redirectDocument,createStaticHandlerDataRoutes->MiddlewareFunction,createStaticHandlerDataRoutes->redirect,createStaticHandlerDataRoutes->decodeViaTurboStream,createStaticHandlerDataRoutes->SingleFetchRedirectSymbol,createStaticHandlerDataRoutes->DataRouteObject,createStaticHandlerDataRoutes->replace","ServerRouteManifest<-ServerBuild",""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts",0.7142857142857143,36,6,"Await->TrackedPromise,RouterContextProvider->RouterContext,createContext->RouterContext,createStaticHandler->RouteObject,matchRoutes->RouteObject,redirect->redirect,createStaticHandler->isRouteErrorResponse,createStaticHandler->ErrorResponseImpl,RSCRouteMatch->Params","MiddlewareFunction<-RouteObject,MiddlewareNextFunction<-MiddlewareFunction,RouterContext<-createContext,data<-convertRouteMatchToUiMatch,RouterContext<-RouterContextProvider,MiddlewareFunction<-BaseRouteObject",""
"react-router","./lib/server-runtime/data.ts","react-router","./index.ts",0.6666666666666666,5,1,"callRouteHandler->ActionFunction,callRouteHandler->DataWithResponseInit,callRouteHandler->LoaderFunctionArgs,callRouteHandler->ActionFunctionArgs,callRouteHandler->LoaderFunction","AppLoadContext<-RequestHandler",""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts",0.6363636363636364,18,4,"getPatchRoutesOnNavigationFunction->PatchRoutesOnNavigationFunction,getPatchRoutesOnNavigationFunction->RouterState,getPartialManifest->RouterState,getPatchRoutesOnNavigationFunction->createPath,fetchAndApplyManifestPatches->Router,useFogOFWarDiscovery->Router,getPartialManifest->Router,getPatchRoutesOnNavigationFunction->Router,fetchAndApplyManifestPatches->RouteModules","fetchAndApplyManifestPatches<-getPatchRoutesOnNavigationFunction,isFogOfWarEnabled<-getPatchRoutesOnNavigationFunction,fetchAndApplyManifestPatches<-useFogOFWarDiscovery,isFogOfWarEnabled<-useFogOFWarDiscovery",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts",0.6,12,3,"createSessionStorage->createCookie,createSessionStorage->isCookie,isSession->IsSessionFunction,createSessionStorage->SessionStorage,SessionIdStorageStrategy->Cookie,warnOnceAboutSigningSessionCookie->Cookie,createSessionStorage->Cookie,SessionIdStorageStrategy->CookieSignatureOptions,createSessionStorage->SessionIdStorageStrategy","createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage,createSessionStorage<-createMemorySessionStorage",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts",0.6,12,3,"SessionStorage->Session,createSession->Session,CreateSessionFunction->Session,SessionIdStorageStrategy->CookieSignatureOptions,createSessionStorage->SessionIdStorageStrategy,createSessionStorage->isCookie,SessionIdStorageStrategy->Cookie,warnOnceAboutSigningSessionCookie->Cookie,createSessionStorage->Cookie","createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage,createSessionStorage<-createMemorySessionStorage",""
"react-router-dev","./vite/plugin.ts","react-router-dev","./vite/styles.ts",0.5,3,1,"reactRouterVitePlugin->isCssModulesFile,reactRouterVitePlugin->getCssStringFromViteDevModuleCode,reactRouterVitePlugin->getStylesForPathname","LoadCssContents<-getStylesForPathname",""
"react-router","./lib/router/router.ts","react-router","./index.ts",0.4666666666666667,77,28,"createRouter->RouterContextProvider,createStaticHandler->RouterContextProvider,RouterInit->PatchRoutesOnNavigationFunction,NavigationStates->DataRouteMatch,Navigation->DataRouteMatch,StaticHandler->DataRouteMatch,RouterState->DataRouteMatch,createStaticHandler->DataStrategyMatch,createRouter->DataStrategyMatch","Fetcher<-RouterState,Navigation<-RouterState,RevalidationState<-RouterState,Blocker<-RouterState,Fetcher<-Router,BlockerFunction<-Router,GetScrollPositionFunction<-Router,RouterState<-Router,RouterSubscriber<-Router",""
"react-router","./lib/server-runtime/server.ts","react-router","./index.ts",0.42857142857142855,5,2,"CreateRequestHandlerFunction->RequestHandler,createRequestHandler->ServerBuild,CreateRequestHandlerFunction->ServerBuild,RequestHandler->AppLoadContext,createRequestHandler->CreateRequestHandlerFunction","CreateRequestHandlerFunction<-createRequestHandler,RequestHandler<-CreateRequestHandlerFunction",""
