"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-4.12.1","AxonFramework-4.12.1","","","Steven van Beelen","Allard Buijze","dependabot[bot]",213,2294,9815,"2025-07-24","2025-08-07","2025-08-07",83,97,83,"fff5f9f26176f13bcd2824e006f71d61da2ac8b1","AxonFramework-4.12.1/tracing-opentelemetry/src/test/java/org/axonframework/tracing/opentelemetry/OpenTelemetrySpanTest.java",1,1,""
"AxonFramework-4.12.1/.github",".github","AxonFramework-4.12.1","AxonFramework-4.12.1","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",25,14,516,"2025-05-26","2025-08-04","2025-08-04",86,156,86,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-4.12.1/.github/workflows/slack-release-notification.yml",2,1,""
"AxonFramework-4.12.1/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","AxonFramework-4.12.1/.github",".github","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",5,3,46,"2020-10-22","2024-07-30","2024-07-30",456,1833,456,"fa509a0b37d60e0d49b0a95686836dc59e5dc146","AxonFramework-4.12.1/.github/ISSUE_TEMPLATE/3_bug_report.md",3,1,""
"AxonFramework-4.12.1/.github/workflows","workflows","AxonFramework-4.12.1/.github",".github","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",25,7,494,"2023-04-14","2025-08-04","2025-08-04",86,929,86,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-4.12.1/.github/workflows/slack-release-notification.yml",3,1,""
"AxonFramework-4.12.1/.mvn/wrapper",".mvn/wrapper","AxonFramework-4.12.1","AxonFramework-4.12.1","Steven van Beelen","Allard Buijze","Tim te Beek",13,2,62,"2018-07-15","2024-07-30","2024-07-30",456,2663,456,"f89c41adfbfda2656db9987aaa87525f17308740","AxonFramework-4.12.1/.mvn/wrapper/maven-wrapper.properties",3,2,""
"AxonFramework-4.12.1/assembly","assembly","AxonFramework-4.12.1","AxonFramework-4.12.1","Allard Buijze","Steven van Beelen","Gerard Klijs",6,1,47,"2010-02-16","2024-07-30","2024-07-30",456,5734,456,"fe95401de37055093f4e79fbe39a807a9d041240","AxonFramework-4.12.1/assembly/axon-full.xml",2,1,""
"AxonFramework-4.12.1/axon","axon","AxonFramework-4.12.1","AxonFramework-4.12.1","Steven van Beelen","Allard Buijze","Marc Gathier",35,26,665,"2025-02-11","2025-08-04","2025-08-04",86,260,86,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-4.12.1/axon-server-connector/src/test/java/org/axonframework/axonserver/connector/event/axon/QueryResultStreamAdapterTest.java",2,1,""
"AxonFramework-4.12.1/axon-server-connector","axon-server-connector","AxonFramework-4.12.1","AxonFramework-4.12.1","Steven van Beelen","dependabot[bot]","Allard Buijze",78,150,3809,"2025-07-24","2025-08-07","2025-08-07",83,97,83,"fff5f9f26176f13bcd2824e006f71d61da2ac8b1","AxonFramework-4.12.1/axon-server-connector/src/test/resources/logback.xml",2,1,""
"AxonFramework-4.12.1/axon-server-connector/src","src","AxonFramework-4.12.1/axon-server-connector","axon-server-connector","Steven van Beelen","Allard Buijze","Milan Savic",45,149,1426,"2025-07-24","2025-08-04","2025-08-04",86,97,86,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-4.12.1/axon-server-connector/src/test/resources/logback.xml",3,1,""
"AxonFramework-4.12.1/axon-server-connector/src/main","main","AxonFramework-4.12.1/axon-server-connector/src","src","Steven van Beelen","Allard Buijze","Milan Savic",43,99,1303,"2025-07-24","2025-08-04","2025-08-04",86,97,86,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-4.12.1/axon-server-connector/src/main/resources/axonserver_download.txt",4,1,""
