"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",9,70,1,42,3,7.777777777777779,13.122288079616467,25,100,60,68.04152637485971,29.23779836601269,158,1,88,8,17.555555555555557,27.40032441008277,2.2988505747126435,36.36363636363637,10.602409638554217,13.685432420239685,10.435523139773466,"axon-test-4.12.2,axon-disruptor-4.12.2,axon-eventsourcing-4.12.2,axon-tracing-opentelemetry-4.12.2",""
"jakarta.persistence",4,8,1,3,2,2,0.816496580927726,4.285714285714286,20,15.555555555555555,13.849206349206348,7.629374615057308,17,3,8,3,4.25,2.5,0.963855421686747,3.296703296703297,2.0771866374797754,2.1037329983373985,0.9639500336692277,"axon-eventsourcing-4.12.2,axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2,axon-modelling-4.12.2",""
"javax.persistence",4,11,2,4,2.5,2.75,0.9574271077563381,5.714285714285714,30,21.11111111111111,19.484126984126984,10.131722531797111,17,3,8,3,4.25,2.5,0.963855421686747,3.296703296703297,2.0771866374797754,2.1037329983373985,0.9639500336692277,"axon-eventsourcing-4.12.2,axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2,axon-modelling-4.12.2",""
"com.fasterxml",2,5,1,4,2.5,2.5,2.1213203435596424,5.714285714285714,10,7.857142857142858,7.857142857142858,3.030457633656632,15,3,12,7.5,7.5,6.363961030678928,1.4457831325301205,3.296703296703297,2.3712432146167086,2.3712432146167086,1.308798199521771,"axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2",""
"com.github",2,3,1,2,1.5,1.5,0.7071067811865476,2.857142857142857,10,6.428571428571429,6.428571428571429,5.050762722761053,7,1,6,3.5,3.5,3.5355339059327378,0.7228915662650602,1.098901098901099,0.9108963325830797,0.9108963325830797,0.2658788903177274,"axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2",""
"com.google",2,4,1,3,2,2,1.4142135623730951,12.5,27.272727272727273,19.886363636363637,19.886363636363637,10.445895631164907,11,1,10,5.5,5.5,6.363961030678928,1.1494252873563218,6.802721088435374,3.9760731878958477,3.9760731878958477,3.997483796996433,"axon-test-4.12.2,axon-server-connector-4.12.2",""
"com.thoughtworks",2,3,1,2,1.5,1.5,0.7071067811865476,2.857142857142857,10,6.428571428571429,6.428571428571429,5.050762722761053,10,2,8,5,5,4.242640687119285,0.963855421686747,2.197802197802198,1.5808288097444725,1.5808288097444725,0.8725321330145139,"axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2",""
"io.axoniq",2,9,1,8,4.5,4.5,4.949747468305833,10,72.72727272727273,41.36363636363637,41.36363636363637,44.35487991079253,74,2,72,37,37,49.49747468305833,2.197802197802198,48.97959183673469,25.588697017268444,25.588697017268444,33.07972068973174,"axon-spring-boot-autoconfigure-4.12.2,axon-server-connector-4.12.2",""
"org.apache",2,2,1,1,1,1,0,1.4285714285714286,10,5.714285714285714,5.714285714285714,6.0609152673132645,12,3,9,6,6,4.242640687119285,1.0843373493975903,3.296703296703297,2.1905203230504435,2.1905203230504435,1.5643789638060654,"axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2",""
"org.jobrunr",2,3,1,2,1.5,1.5,0.7071067811865476,2.857142857142857,10,6.428571428571429,6.428571428571429,5.050762722761053,5,1,4,2.5,2.5,2.1213203435596424,0.4819277108433735,1.098901098901099,0.7904144048722362,0.7904144048722362,0.43626606650725697,"axon-messaging-4.12.2,axon-spring-boot-autoconfigure-4.12.2",""
