"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",79,354,387,1795,121,1516,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",70,158,281,799,121,1516,"Logger,LoggerFactory",""
"javax.persistence",15,27,82,311,121,1516,"MappedSuperclass,IdClass,Id,Entity,Table,Index,Query,EntityManager,TypedQuery",""
"com.fasterxml.jackson.annotation",13,23,57,87,121,1516,"JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonCreator,JsonIgnore,JsonTypeInfo$As",""
"jakarta.persistence",10,25,73,299,121,1516,"Id,MappedSuperclass,IdClass,Index,Entity,Table,EntityExistsException,TypedQuery,EntityManager",""
"io.axoniq.axonserver.connector",7,23,32,129,121,1516,"AxonServerConnection,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,ResultStream,Registration,ReplyChannel,FlowControl,ResultStreamPublisher",""
"io.axoniq.axonserver.grpc",7,30,55,273,121,1516,"ErrorMessage$Builder,ErrorMessage,InstructionAck,InstructionAck$Builder,SerializedObject$Builder,SerializedObject,MetaDataValue$Builder,MetaDataValue,ProcessingInstruction$Builder",""
"org.hamcrest",5,27,59,370,121,1516,"Matcher,Description,TypeSafeMatcher,BaseMatcher,CoreMatchers,StringDescription,Matchers",""
"io.grpc",4,15,62,119,121,1516,"Channel,ManagedChannelBuilder,ClientInterceptor,Metadata,StatusRuntimeException,Metadata$AsciiMarshaller,Status$Code,Status,Metadata$Key",""
"reactor.core.publisher",4,27,49,198,121,1516,"Mono,Flux,FluxSink,FluxSink$OverflowStrategy,MonoSink,Signal,Sinks$EmitResult,Sinks$Many,Sinks$MulticastReplaySpec",""
"com.github.kagkarlsson.scheduler",3,5,8,49,121,1516,"Scheduler,ScheduledExecution,SchedulerState",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,121,1516,"ExecutionContext,TaskInstance,TaskWithDataDescriptor,Task,TaskInstanceId",""
"io.grpc.stub",3,6,7,27,121,1516,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"org.jobrunr.scheduling",3,5,7,34,121,1516,"JobScheduler,JobBuilder",""
"org.springframework.boot.actuate.health",3,4,7,24,121,1516,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator",""
"org.springframework.boot.autoconfigure",3,29,62,64,121,1516,"AutoConfigureBefore,AutoConfiguration,AutoConfigureAfter,AutoConfigurationPackages",""
"org.springframework.boot.autoconfigure.condition",3,42,77,174,121,1516,"ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnBean,AnyNestedCondition,ConditionalOnExpression,ConditionalOnMissingClass,AllNestedConditions,ConditionOutcome",""
"org.springframework.context.annotation",3,38,52,166,121,1516,"Bean,ConfigurationCondition$ConfigurationPhase,Primary,Role,Configuration,Conditional,Lazy,Condition,ConditionContext",""
"com.fasterxml.jackson.databind",2,9,17,75,121,1516,"JsonNode,DeserializationContext,JsonDeserializer,ObjectMapper,ObjectWriter,ObjectReader,ObjectMapper$DefaultTyping,DeserializationFeature",""
"com.thoughtworks.xstream.io",2,4,9,39,121,1516,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
"io.axoniq.axonserver.connector.event",2,16,23,101,121,1516,"PersistentStreamProperties,PersistentStreamSegment,EventQueryResultEntry,EventChannel,AggregateEventStream,EventStream,AppendEventsTransaction,PersistentStreamCallbacks,PersistentStream",""
"io.axoniq.axonserver.connector.query",2,3,5,36,121,1516,"QueryHandler,QueryHandler$UpdateHandler,QueryDefinition,QueryChannel,SubscriptionQueryResult",""
"io.axoniq.axonserver.grpc.control",2,7,16,96,121,1516,"CommandSubscription,TopologyChange,QuerySubscription,UpdateType,NodeInfo$Builder,NodeInfo,EventProcessorInfo$Builder,EventProcessorInfo,EventProcessorInfo$SegmentStatus",""
"io.axoniq.axonserver.grpc.event",2,6,12,69,121,1516,"EventWithToken,EventWithToken$Builder,Event,Event$Builder,Confirmation",""
"io.axoniq.axonserver.grpc.query",2,18,46,237,121,1516,"QueryRequest,QueryResponse,QueryResponse$Builder,QueryUpdate,SubscriptionQuery,QueryUpdate$Builder,QueryProviderOutbound,QueryProviderInbound,QueryRequest$Builder",""
"org.apache.avro",2,5,17,56,121,1516,"SchemaCompatibility$Incompatibility,Schema,AvroRuntimeException,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility,SchemaCompatibility$SchemaIncompatibilityType,InvalidAvroMagicException,SchemaNormalization",""
"org.apache.avro.message",2,8,11,33,121,1516,"BadHeaderException,BinaryMessageEncoder,SchemaStore,BinaryMessageDecoder,SchemaStore$Cache",""
"org.quartz",2,9,35,185,121,1516,"TriggerBuilder,JobBuilder,Trigger,JobDetail,SchedulerException,JobKey,Scheduler,SchedulerContext,Job",""
"org.springframework.beans.factory.annotation",2,10,11,28,121,1516,"Qualifier,Autowired",""
"org.springframework.beans.factory.config",2,3,4,7,121,1516,"ConfigurableListableBeanFactory,RuntimeBeanReference",""
"org.springframework.beans.factory.support",2,2,4,21,121,1516,"BeanDefinitionRegistry,BeanDefinitionRegistryPostProcessor,BeanDefinitionBuilder",""
"org.springframework.context",2,5,6,24,121,1516,"ApplicationContext,ApplicationContextAware",""
"reactor.core.scheduler",2,2,3,4,121,1516,"Scheduler,Schedulers",""
"com.fasterxml.jackson.core",1,3,4,7,121,1516,"JacksonException,JsonParser,JsonProcessingException",""
"com.fasterxml.jackson.databind.node",1,2,3,12,121,1516,"ObjectNode,JsonNodeType",""
"com.google.gson",1,1,4,7,121,1516,"JsonParser,JsonObject,JsonArray,JsonElement",""
"com.lmax.disruptor",1,7,9,25,121,1516,"RingBuffer,ExceptionHandler,WaitStrategy,BlockingWaitStrategy,EventHandler,LifecycleAware",""
"com.lmax.disruptor.dsl",1,4,5,21,121,1516,"Disruptor,ProducerType,EventHandlerGroup",""
"com.thoughtworks.xstream.converters",1,3,6,6,121,1516,"MarshallingContext,UnmarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,121,1516,"Dom4JReader,XomReader,XppDriver,CompactWriter",""
"com.thoughtworks.xstream.mapper",1,4,5,6,121,1516,"Mapper,CannotResolveClassException",""
"io.axoniq.axonserver.grpc.command",1,4,9,56,121,1516,"Command,CommandResponse,CommandResponse$Builder,Command$Builder",""
"io.opentelemetry.api.trace",1,3,9,47,121,1516,"Tracer,SpanBuilder,SpanContext,Span,StatusCode,SpanKind",""
"io.opentelemetry.context.propagation",1,4,9,18,121,1516,"TextMapGetter,TextMapPropagator,TextMapSetter,ContextPropagators",""
"jakarta.validation",1,2,5,15,121,1516,"Validation,ConstraintViolation,ValidatorFactory,Validator",""
"javax.cache.configuration",1,2,3,9,121,1516,"Factory,CacheEntryListenerConfiguration",""
"javax.cache.event",1,1,8,26,121,1516,"CacheEntryEventFilter,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryListenerException,CacheEntryEvent,CacheEntryRemovedListener",""
"javax.validation",1,2,5,15,121,1516,"ValidatorFactory,Validation,ConstraintViolation,Validator",""
"net.sf.ehcache",1,2,5,47,121,1516,"Element,Ehcache,CacheException",""
"net.sf.ehcache.event",1,2,3,7,121,1516,"RegisteredEventListeners,CacheEventListener",""
