"artifact","all","public","min","max","average","percentile25","percentile50","percentile75","percentile90","Source Cypher File: domains/internal-dependencies/queries/visibility/Global_relative_visibility_statistics_for_types.cypher"
"axon-common-5.1.0",175,136,0.5,0.9285714285714286,0.7216735769676946,0.5854700854700855,0.7843137254901961,0.8333333333333334,0.8828571428571428,""
"axon-conversion-5.1.0",41,34,0.75,0.9090909090909091,0.8318181818181818,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8787878787878788,""
"axon-eventsourcing-5.1.0",121,77,0.16666666666666666,0.8181818181818182,0.590219881128972,0.48333333333333334,0.5714285714285714,0.734920634920635,0.8,""
"axon-messaging-5.1.0",634,442,0.2222222222222222,0.9473684210526315,0.6678201306585462,0.6,0.6666666666666666,0.8333333333333334,0.877,""
"axon-metrics-micrometer-5.1.0",19,12,0.5,0.6666666666666666,0.5888888888888889,0.55,0.6,0.6333333333333333,0.6533333333333333,""
"axon-modelling-5.1.0",99,84,0.6428571428571429,0.9473684210526315,0.8352013213578893,0.7817460317460317,0.8181818181818182,0.9372549019607843,0.9436532507739938,""
"axon-server-connector-5.1.0",79,54,0.5,0.9230769230769231,0.6578632478632479,0.5138888888888888,0.675,0.75,0.7673076923076922,""
"axon-test-5.1.0",79,61,0.6,0.9166666666666666,0.7293939393939394,0.6,0.696969696969697,0.8333333333333334,0.8833333333333333,""
"axon-tracing-opentelemetry-5.1.0",6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,""
"axon-update-5.1.0",28,23,0.5,0.875,0.7730952380952381,0.8,0.8333333333333334,0.8571428571428571,0.8678571428571429,""
"axoniq-spring-boot-autoconfigure-5.1.0",26,18,0.5,0.8571428571428571,0.6580952380952381,0.6,0.6666666666666666,0.6666666666666666,0.780952380952381,""
