"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
,,,,,,1,1,1,1,1,1,1,"/axoniq-spring-boot-autoconfigure-5.1.0.jar -> /axon-server-connector-5.1.0.jar","","",""
,,,,,,2,1,1,1,1,1,1,"/axoniq-spring-boot-autoconfigure-5.1.0.jar -> /axon-eventsourcing-5.1.0.jar","","",""
,,,,,,3,1,1,1,1,1,1,"/axoniq-spring-boot-autoconfigure-5.1.0.jar -> /axon-modelling-5.1.0.jar","","",""
,,,,,,4,1,1,1,1,1,1,"/axoniq-spring-boot-autoconfigure-5.1.0.jar -> /axon-messaging-5.1.0.jar","","",""
,,,,,,5,1,1,1,1,1,1,"/axoniq-spring-boot-autoconfigure-5.1.0.jar -> /axon-conversion-5.1.0.jar","","",""
,,,,,,6,1,1,1,1,1,1,"/axoniq-spring-boot-autoconfigure-5.1.0.jar -> /axon-common-5.1.0.jar","","",""
