"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/topological-sort/Topological_Sort_Query.cypher"
"/axon-test-5.1.0.jar","axon-test-5.1.0",0,0,6,0,3,""
"/axon-tracing-opentelemetry-5.1.0.jar","axon-tracing-opentelemetry-5.1.0",1,0,6,0,2,""
"/axon-metrics-micrometer-5.1.0.jar","axon-metrics-micrometer-5.1.0",2,0,6,0,2,""
"/axon-update-5.1.0.jar","axon-update-5.1.0",3,0,6,0,1,""
"/axoniq-spring-boot-autoconfigure-5.1.0.jar","axoniq-spring-boot-autoconfigure-5.1.0",4,0,6,0,4,""
"/axon-server-connector-5.1.0.jar","axon-server-connector-5.1.0",5,1,6,1,5,""
"/axon-eventsourcing-5.1.0.jar","axon-eventsourcing-5.1.0",6,2,6,2,4,""
"/axon-modelling-5.1.0.jar","axon-modelling-5.1.0",7,3,6,2,3,""
"/axon-messaging-5.1.0.jar","axon-messaging-5.1.0",8,4,6,7,2,""
"/axon-conversion-5.1.0.jar","axon-conversion-5.1.0",9,5,6,5,1,""
"/axon-common-5.1.0.jar","axon-common-5.1.0",10,6,6,10,0,""
