"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","no namespace",129,229,4,133,25,3325,"isCSSRequest,EnvironmentModuleNode.file,HotUpdatePluginContext.environment,readFile,ResolvedConfig.environments,ResolvedBuildEnvironmentOptions.outDir,RollupOptions.onwarn,DevEnvironment.name,DevEnvironment.pluginContainer,TransformPluginContext.environment,EnvironmentPluginContainer.transform,EnvironmentModuleNode.id,ResolvedEnvironmentOptions.build,ViteDevServer.environments,EnvironmentModuleGraph.getModulesByFile,picocolors,createLogger,resolve,normalizePath,ViteDevServer.hot,relative,UserConfig.base,Logger.error,HotBroadcaster.send,path.dirname,DevEnvironment.moduleGraph,path.normalize,UserConfig.build,UserConfig.server,RollupLog.code,init,RollupLog.message,ResolvedConfig.base,Logger.info,UserConfig.logLevel,dist,BuildEnvironmentOptions.rollupOptions,RollupLog.pos,PluginOption,join,Environment.name,URL.href,UserConfig.environments,Connect.Server.use,cp,EnvironmentOptions,ViteBuilder.build,createServer,ServerResponse.end,Logger.warn,PreviewServer,PreviewServer.middlewares,Hash.update,Connect.IncomingMessage.url,ResolvedConfig.server,readdirSync,ViteDevServer.ssrLoadModule,ResolvedConfig.logger,ViteDevServer.transformRequest,ResolvedConfig.root,ResolvedBuildOptions.assetsDir,Plugin,ViteDevServer.config,ResolvedConfig.configFile,ModuleNode.url,ManifestChunk.assets,Dirent.isFile,ViteDevServer.pluginContainer,ResolvedConfig.build,ModuleNode.file,ManifestChunk.css,DevEnvironment.reloadModule,ServerResponse.setHeader,isRunnableDevEnvironment,ViteDevServer.middlewares,EnvironmentOptions.optimizeDeps,ResolvedConfig,rmSync,.pathToFileURL,Environment.config,rename,PluginContext.environment,existsSync,mkdir,rm,ConfigEnv.mode,ResolvedConfig.mode,ManifestChunk.file,PluginContainer.buildStart,ViteDevServer,defaultClientConditions,ResolvedConfig.command,UserConfig.plugins,ConfigEnv.isSsrBuild,ResolvedId.id,ResolvedServerOptions.middlewareMode,Dirent.name,Hash.digest,Dirent.path,ConfigEnv.command,EnvironmentOptions.resolve,ModuleRunner.import,ViteDevServer.ssrFixStacktrace,readdir,RunnableDevEnvironment.runner,loadConfigFromFile,PluginContext.resolve,Plugin.name,ViteBuilder.environments,UserConfig.root,createHash,node",""
"vite","@types",24,50,4,133,25,3325,"transformAsync,BabelFileResult.code,BabelFileResult.map,global.NodeRequire.resolve,path.PlatformPath.basename,pick,path.PlatformPath.join,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,path.PlatformPath.relative,path.PlatformPath.posix,global.Buffer.toString,path.PlatformPath.resolve,GeneratorResult,jsesc,path.PlatformPath.dirname,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,GeneratorResult.code,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,global.NodeJS.Process.env",""
"remove-exports","@babel",17,58,1,23,4,2300,"ExportSpecifier.local,Expression.type,ExportDeclaration.type,ClassDeclaration.id,ExportNamedDeclaration.declaration,ExportDefaultDeclaration.declaration,VariableDeclarator.id,ParseResult,VariableDeclaration.declarations,MemberExpression.object,AssignmentExpression.left,Identifier.name,ExpressionStatement.expression,FunctionDeclaration.id,ExportSpecifier.exported,LVal.type,ExportNamedDeclaration.specifiers",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.remove,NodePath.node,NodePath.parentPath",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.get,NodePath.isFunctionDeclaration,NodePath.scope,NodePath.isIdentifier,NodePath.replaceWith,NodePath.isExpression,Scope.generateUidIdentifier,NodePath.node,NodePath.isVariableDeclaration,NodePath.isExportDefaultDeclaration,NodePath.isExportNamedDeclaration",""
"with-props","@babel",10,14,1,21,4,2100,"Program.body,variableDeclarator,callExpression,identifier,importSpecifier,stringLiteral,importDeclaration,variableDeclaration,ParseResult.program,ParseResult",""
"cloudflare","no namespace",14,20,1,15,3,1500,"Plugin.name,Plugin,ConfigEnv.mode,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode,ResolvedConfig.server,ViteDevServer.middlewares,GetPlatformProxyOptions,UserConfig.root,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use",""
"cloudflare","@types",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,3,1500,"Plugin.name,Plugin,ConfigEnv.mode,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode,ResolvedConfig.server,ViteDevServer.middlewares,GetPlatformProxyOptions,UserConfig.root,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use",""
