"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",47,505,1,119,5,10.74468085106383,23.18401631288095,108,1,13,1,2.2978723404255312,2.3857811920610468,0.7194244604316546,9.35251798561151,0.7194244604316546,1.653145568651462,1.7163893468065088,"copy-template,create-react-router,prompts-confirm,prompts-multi-select",""
"@types",44,233,1,39,3,5.295454545454544,7.0002642656248,119,1,14,1,2.7045454545454546,3.0391212427473824,0.7194244604316546,10.071942446043165,0.7194244604316546,1.9457161543492476,2.186418160249915,"create-react-router,loading-indicator,prompts-prompt-base,prompts-select",""
"@babel",5,51,2,17,10,10.2,6.418722614352486,6,1,2,1,1.2,0.4472135954999579,0.7194244604316546,1.4388489208633093,0.7194244604316546,0.8633093525179856,0.3217363996402575,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7194244604316546,3.597122302158273,2.8776978417266186,2.398081534772182,1.4976014384648435,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4388489208633093,1.4388489208633093,1.4388489208633093,1.4388489208633093,0,"@react-router/react-router-node,@react-router/server",""
