"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,154,71,88,"./server.ts uses ./index.ts,./index.ts uses ./server.ts,./index.ts uses ./stream.ts,./index.ts uses ./copy-template.ts",""
3,43,22,33,"./index.ts uses ./sessions/fileStorage.ts,./config/config.ts uses ./config.ts,./vite/plugin.ts uses ./config.ts,./vite/plugin.ts uses ./manifest.ts",""
4,121,43,41,"./vite/rsc/virtual-route-config.ts uses ./routes.ts,./config/config.ts uses ./cli/detectPackageManager.ts,./vite/optimize-deps-entries.ts uses ./config/config.ts,./typegen/context.ts uses ./config/config.ts",""
5,48,23,17,"./vite/rsc/plugin.ts uses ./config/config.ts,./vite/rsc/plugin.ts uses ./config/routes.ts,./vite/rsc/virtual-route-config.ts uses ./config/routes.ts,./vite/rsc/plugin.ts uses ./typegen/index.ts",""
6,2,2,2,"./vendor/turbo-stream-v2/unflatten.ts uses ./lib/router/utils.ts,./lib/server-runtime/single-fetch.ts uses ./vendor/turbo-stream-v2/turbo-stream.ts",""
