"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/topological-sort/Topological_Sort_Query.cypher"
"org.axonframework.common.IdentifierValidator","IdentifierValidator",0,0,5,0,1,""
"org.axonframework.common.caching.NoCache","NoCache",1,0,5,0,3,""
"org.axonframework.common.caching.JCacheAdapter","JCacheAdapter",2,0,5,0,4,""
"org.axonframework.common.infra.JacksonComponentDescriptor","JacksonComponentDescriptor",3,0,5,0,5,""
"org.axonframework.common.jdbc.JdbcSQLErrorCodesResolver","JdbcSQLErrorCodesResolver",4,0,5,0,1,""
"org.axonframework.common.jdbc.ConnectionWrapperFactory","ConnectionWrapperFactory",5,0,5,0,2,""
"org.axonframework.common.jdbc.DataSourceConnectionProvider","DataSourceConnectionProvider",6,0,5,0,1,""
"org.axonframework.common.util.MavenArtifactVersionResolver","MavenArtifactVersionResolver",7,0,5,0,1,""
"org.axonframework.common.jpa.SimpleEntityManagerProvider","SimpleEntityManagerProvider",8,0,5,0,2,""
"org.axonframework.common.jpa.FactoryBasedEntityManagerProvider","FactoryBasedEntityManagerProvider",9,0,5,0,1,""
"org.axonframework.common.lock.NullLockFactory","NullLockFactory",10,0,5,0,3,""
"org.axonframework.eventsourcing.snapshot.inmemory.InMemorySnapshotStore","InMemorySnapshotStore",11,0,5,0,3,""
"org.axonframework.conversion.PassThroughConverter","PassThroughConverter",12,0,5,0,2,""
"org.axonframework.conversion.converter.BlobToInputStreamConverter","BlobToInputStreamConverter",13,0,5,0,2,""
"org.axonframework.conversion.converter.ByteArrayToStringConverter","ByteArrayToStringConverter",14,0,5,0,1,""
"org.axonframework.conversion.converter.InputStreamToByteArrayConverter","InputStreamToByteArrayConverter",15,0,5,0,2,""
"org.axonframework.conversion.converter.ByteArrayToInputStreamConverter","ByteArrayToInputStreamConverter",16,0,5,0,1,""
"org.axonframework.conversion.converter.StringToByteArrayConverter","StringToByteArrayConverter",17,0,5,0,1,""
"org.axonframework.conversion.jackson2.Jackson2Converter","Jackson2Converter",18,0,5,0,9,""
"org.axonframework.conversion.avro.GenericRecordToByteArrayConverter","GenericRecordToByteArrayConverter",19,0,5,0,3,""
"org.axonframework.conversion.avro.AvroConverter","AvroConverter",20,0,5,0,10,""
"org.axonframework.common.property.UniformPropertyAccessStrategy","UniformPropertyAccessStrategy",21,0,5,0,1,""
"org.axonframework.common.property.DirectPropertyAccessStrategy","DirectPropertyAccessStrategy",22,0,5,0,3,""
"org.axonframework.common.property.BeanPropertyAccessStrategy","BeanPropertyAccessStrategy",23,0,5,0,1,""
"org.axonframework.common.digest.Digester","Digester",24,0,5,0,1,""
